MSS,750
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.65397,332,0,0,34.007,2,8192,0,0,175,0,0,0,0.005648,0,0,0,0
0,3.1667,561,0,0,31.738,2,8192,0,0,287,0,0,0,0.005648,0,0,0,0
0,3.95852,701,0,1,60.021,2,8192,0,0,327,1,0,0,0.005648,0,1,0,1
0,1.51853,269,0,1,118.372,2,8192,0,0,84,1,0,0,0.005648,0,2,0,2
0,2.60656,462,0,2,78.176,2,8192,0,0,167,2,0,0,0.005648,0,4,0,4
0,4.87536,865,0,3,65.863,2,8192,0,0,284,3,0,0,0.005648,0,7,0,7
0,4.82826,858,0,4,122.269,2,8192,0,0,291,4,0,0,0.005648,0,11,0,11
0,4.60032,815,0,4,73.655,2,8192,0,0,324,4,0,0,0.005648,0,15,0,15
0,4.69637,832,0,4,76.722,2,8192,0,0,271,4,0,0,0.005648,0,19,0,19
0,4.75651,843,0,3,143.723,2,8192,0,0,317,3,0,0,0.005648,0,22,0,22
0,4.41346,782,0,4,79.751,2,8192,0,0,242,4,0,0,0.005648,0,26,0,26
0,4.53774,804,0,5,86.691,2,8192,0,0,250,5,0,0,0.005648,0,31,0,31
0,4.58134,812,0,5,54.12,2,8192,0,0,263,5,0,0,0.005648,0,36,0,36
0,4.75401,844,0,4,80.373,2,8192,0,0,292,4,0,0,0.005648,0,40,0,40
0,4.51688,800,0,4,118.753,2,8192,0,0,244,4,0,0,0.005648,0,44,0,44
0,4.80211,851,0,3,77.904,2,8192,0,0,288,3,0,0,0.005648,0,47,0,47
0,4.80311,851,0,1,90.465,2,8192,0,0,317,1,0,0,0.005648,0,48,0,48
0,4.92945,873,0,3,74.296,2,8192,0,0,249,3,0,0,0.005648,0,51,0,51
0,5.04792,894,0,3,67.25,2,8192,0,0,302,3,0,0,0.005648,0,54,0,54
0,5.0175,889,0,3,93.686,2,8192,0,0,295,3,0,0,0.005648,0,57,0,57
