MSS,1000
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.50543,224,0,0,42.465,2,8192,0,0,122,0,0,0,0.007648,0,0,0,0
0,4.08816,535,0,0,37.011,2,8192,0,0,274,0,0,0,0.007648,0,0,0,0
0,4.15923,544,0,0,47.832,2,8192,0,0,275,0,0,0,0.007648,0,0,0,0
0,4.69275,614,0,1,79.368,2,8192,0,0,300,1,0,0,0.007648,0,1,0,1
0,4.45791,583,0,4,57.18,2,8192,0,0,232,4,0,0,0.007648,0,5,0,5
0,3.70812,485,0,3,75.132,2,8192,0,0,174,3,0,0,0.007648,0,8,0,8
0,3.346,438,0,4,68.49,2,8192,0,0,124,4,0,0,0.007648,0,12,0,12
0,4.00358,524,0,4,69.522,2,8192,0,0,186,4,0,0,0.007648,0,16,0,16
0,4.58791,602,0,4,78.369,2,8192,0,0,212,4,0,0,0.007648,0,20,0,20
0,4.80259,629,0,6,88.691,2,8192,0,0,218,6,0,0,0.007648,0,26,0,26
0,4.36407,571,0,3,88.578,2,8192,0,0,197,3,0,0,0.007648,0,29,0,29
0,4.41773,578,0,5,95.164,2,8192,0,0,169,5,0,0,0.007648,0,34,0,34
0,3.9521,517,0,6,105.997,2,8192,0,0,148,6,0,0,0.007648,0,40,0,40
0,0.190975,25,0,0,105.997,2,8192,0,0,1,0,0,0,0.007648,0,40,0,40
0,4.1191,539,0,2,57.16,2,8192,0,0,224,2,0,0,0.007648,0,42,0,42
0,4.12772,540,0,1,81.547,2,8192,0,0,266,1,0,0,0.007648,0,43,0,43
0,4.83882,633,0,2,74.807,2,8192,0,0,260,2,0,0,0.007648,0,45,0,45
0,3.8756,508,0,3,93.551,2,8192,0,0,199,3,0,0,0.007648,0,48,0,48
0,4.6948,614,0,4,78.528,2,8192,0,0,197,4,0,0,0.007648,0,52,0,52
0,0.0764578,10,0,0,78.528,2,8192,0,0,1,0,0,0,0.007648,0,52,0,52
0,3.56145,466,0,0,55.956,2,8192,0,0,214,0,0,0,0.007648,0,52,0,52
0,4.01082,525,0,3,60.436,2,8192,0,0,216,3,0,0,0.007648,0,55,0,55
0,2.06335,270,0,2,97.798,2,8192,0,0,97,2,0,0,0.007648,0,57,0,57
0,1.70199,223,0,0,33.879,2,8192,0,0,94,0,0,0,0.007648,0,57,0,57
0,3.98931,522,0,0,37.431,2,8192,0,0,267,0,0,0,0.007648,0,57,0,57
0,4.11281,538,0,1,56.645,2,8192,0,0,252,1,0,0,0.007648,0,58,0,58
0,3.96631,519,0,2,73.374,2,8192,0,0,227,2,0,0,0.007648,0,60,0,60
0,4.62565,605,0,3,67.336,2,8192,0,0,242,3,0,0,0.007648,0,63,0,63
0,4.60245,602,0,3,61.889,2,8192,0,0,232,3,0,0,0.007648,0,66,0,66
