MSS,500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,2.88771,863,0,5,35.124,16,8192,0,1,55,5,0,0,0.003648,0,5,0,5
0,2.62294,720,0,0,38.873,16,8192,0,1,71,0,0,0,0.003648,0,5,0,5
0,2.6212,719,0,1,28.914,16,8192,0,1,59,1,0,0,0.003648,0,6,0,6
0,2.43861,669,0,0,31.162,16,8192,0,1,64,0,0,0,0.003648,0,6,0,6
0,2.39608,657,0,0,34.86,16,8192,0,1,66,0,0,0,0.003648,0,6,0,6
0,2.50123,686,0,0,31.873,16,8192,0,1,63,0,0,0,0.003648,0,6,0,6
0,2.61679,718,0,0,36.314,16,8192,0,1,66,0,0,0,0.003648,0,6,0,6
0,2.64071,724,0,0,42.88,16,8192,0,1,66,0,0,0,0.003648,0,6,0,6
0,2.74993,755,0,0,43.276,16,8192,0,1,65,0,0,0,0.003648,0,6,0,6
0,2.80433,769,0,2,51.909,16,8192,0,1,64,2,0,0,0.003648,0,8,0,8
0,2.62967,721,0,0,41.682,16,8192,0,1,65,0,0,0,0.003648,0,8,0,8
0,2.55959,702,0,0,62.494,16,8192,0,1,68,0,0,0,0.003648,0,8,0,8
0,2.58442,709,0,0,30.825,16,8192,0,1,68,0,0,0,0.003648,0,8,0,8
0,2.64594,726,0,0,52.388,16,8192,0,1,65,0,0,0,0.003648,0,8,0,8
0,2.73037,749,0,0,32.235,16,8192,0,1,65,0,0,0,0.003648,0,8,0,8
0,2.7703,760,0,0,36.68,16,8192,0,1,67,0,0,0,0.003648,0,8,0,8
0,2.61892,719,0,1,54.05,16,8192,0,1,69,1,0,0,0.003648,0,9,0,9
0,2.72843,749,0,0,35.668,16,8192,0,1,66,0,0,0,0.003648,0,9,0,9
0,2.80656,770,0,0,51.341,16,8192,0,1,70,0,0,0,0.003648,0,9,0,9
0,2.8769,789,0,0,34.269,16,8192,0,1,71,0,0,0,0.003648,0,9,0,9
0,2.89835,795,0,0,73.222,16,8192,0,1,69,0,0,0,0.003648,0,9,0,9
0,2.81367,772,0,1,43.082,16,8192,0,1,63,1,0,0,0.003648,0,10,0,10
0,2.86087,785,0,1,34.134,16,8192,0,1,68,1,0,0,0.003648,0,11,0,11
0,2.59275,711,0,0,39.067,16,8192,0,1,65,0,0,0,0.003648,0,11,0,11
0,2.74528,753,0,0,41.263,16,8192,0,1,69,0,0,0,0.003648,0,11,0,11
0,2.63555,723,0,1,42.257,16,8192,0,1,61,1,0,0,0.003648,0,12,0,12
0,2.37058,650,0,0,44.673,16,8192,0,1,63,0,0,0,0.003648,0,12,0,12
0,2.5667,704,0,0,58.418,16,8192,0,1,67,0,0,0,0.003648,0,12,0,12
0,2.59269,711,0,0,44.083,16,8192,0,1,66,0,0,0,0.003648,0,12,0,12
0,2.61742,718,0,0,35.917,16,8192,0,1,70,0,0,0,0.003648,0,12,0,12
0,2.6679,732,0,0,46.066,16,8192,0,1,67,0,0,0,0.003648,0,12,0,12
0,2.67654,734,0,0,44.928,16,8192,0,1,69,0,0,0,0.003648,0,12,0,12
0,2.7524,755,0,1,71.352,16,8192,0,1,63,1,0,0,0.003648,0,13,0,13
0,2.63666,723,0,0,48.561,16,8192,0,1,63,0,0,0,0.003648,0,13,0,13
0,2.68053,735,0,0,52.28,16,8192,0,1,69,0,0,0,0.003648,0,13,0,13
0,2.35184,645,0,0,92.125,16,8192,0,1,63,0,0,0,0.003648,0,13,0,13
0,2.67711,734,0,0,83.945,16,8192,0,1,66,0,0,0,0.003648,0,13,0,13
0,2.62956,721,0,1,43.397,16,8192,0,1,62,1,0,0,0.003648,0,14,0,14
0,2.51598,690,0,0,50.182,16,8192,0,1,64,0,0,0,0.003648,0,14,0,14
0,2.51358,690,0,0,80.169,16,8192,0,1,66,0,0,0,0.003648,0,14,0,14
0,2.64644,726,0,0,72.979,16,8192,0,1,65,0,0,0,0.003648,0,14,0,14
0,2.56379,703,0,0,75.54,16,8192,0,1,64,0,0,0,0.003648,0,14,0,14
0,2.23533,613,0,2,77.869,16,8192,0,1,46,2,0,0,0.003648,0,16,0,16
0,2.19893,603,0,0,61.268,16,8192,0,1,64,0,0,0,0.003648,0,16,0,16
0,2.21835,609,0,0,37.386,16,8192,0,1,67,0,0,0,0.003648,0,16,0,16
0,2.29354,629,0,0,39.119,16,8192,0,1,68,0,0,0,0.003648,0,16,0,16
0,2.20458,605,0,0,60.33,16,8192,0,1,61,0,0,0,0.003648,0,16,0,16
0,2.37376,651,0,0,62.884,16,8192,0,1,66,0,0,0,0.003648,0,16,0,16
0,2.41699,663,0,0,53.431,16,8192,0,1,66,0,0,0,0.003648,0,16,0,16
0,2.76951,760,0,0,71.919,16,8192,0,1,70,0,0,0,0.003648,0,16,0,16
0,2.61523,717,0,2,71.458,16,8192,0,1,60,2,0,0,0.003648,0,18,0,18
0,2.48985,683,0,0,45.088,16,8192,0,1,67,0,0,0,0.003648,0,18,0,18
0,2.52171,692,0,0,36.812,16,8192,0,1,62,0,0,0,0.003648,0,18,0,18
0,2.65811,729,0,0,42.502,16,8192,0,1,69,0,0,0,0.003648,0,18,0,18
0,2.45042,672,0,0,105.217,16,8192,0,1,64,0,0,0,0.003648,0,18,0,18
0,2.72013,746,0,0,41.967,16,8192,0,1,60,0,0,0,0.003648,0,18,0,18
0,2.7501,754,0,0,29.977,16,8192,0,1,67,0,0,0,0.003648,0,18,0,18
0,2.83641,778,0,0,84.752,16,8192,0,1,66,0,0,0,0.003648,0,18,0,18
0,2.55658,701,0,4,35.076,16,8192,0,1,51,4,0,0,0.003648,0,22,0,22
0,2.08913,573,0,0,35.217,16,8192,0,1,59,0,0,0,0.003648,0,22,0,22
0,2.12862,584,0,0,39.952,16,8192,0,1,63,0,0,0,0.003648,0,22,0,22
0,2.19513,602,0,0,45.359,16,8192,0,1,65,0,0,0,0.003648,0,22,0,22
