MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,5.81146,538,0,3,91.842,2,8192,0,0,209,3,0,0,0.011648,0,3,0,3
0,6.26434,538,0,11,101.63,2,8192,0,0,54,11,0,0,0.011648,0,14,0,14
0,0.756819,65,0,0,90.298,2,8192,0,0,4,0,0,0,0.011648,0,14,0,14
0,6.11753,527,0,7,106.202,2,8192,0,0,174,7,0,0,0.011648,0,21,0,21
0,6.74233,579,0,10,154.202,2,8192,0,0,123,10,0,0,0.011648,0,31,0,31
0,7.28861,626,0,12,127.878,2,8192,0,0,134,12,0,0,0.011648,0,43,0,43
0,4.13045,355,0,18,93.034,2,8192,0,0,11,18,0,0,0.011648,0,61,0,61
0,2.86501,246,0,0,67.175,2,8192,0,0,98,0,0,0,0.011648,0,61,0,61
0,7.69734,661,0,18,97.836,2,8192,0,0,119,17,0,0,0.011648,0,78,0,79
0,2.10786,181,0,11,85.737,2,8192,0,0,8,11,0,0,0.011648,0,89,0,90
0,3.10746,267,0,1,87.702,2,8192,0,0,97,1,0,0,0.011648,0,90,0,91
0,7.41761,638,0,5,135.539,2,8192,0,0,180,5,0,0,0.011648,0,95,0,96
0,6.95217,597,0,15,98.476,2,8192,0,0,87,15,0,0,0.011648,0,110,0,111
0,7.75586,666,0,28,83.915,2,8192,0,0,108,28,0,0,0.011648,0,138,0,139
0,0.442533,38,0,0,83.915,2,8192,0,0,1,0,0,0,0.011648,0,138,0,139
0,6.21661,534,0,4,92.558,2,8192,0,0,171,4,0,0,0.011648,0,142,0,143
0,7.73766,665,0,7,78.432,2,8192,0,0,138,7,0,0,0.011648,0,149,0,150
0,7.94361,683,0,8,133.44,2,8192,0,0,163,8,0,0,0.011648,0,157,0,158
0,5.2517,451,0,8,83.403,2,8192,0,0,32,8,0,0,0.011648,0,165,0,166
0,1.61723,139,0,0,42.768,2,8192,0,0,43,0,0,0,0.011648,0,165,0,166
0,6.06547,521,0,7,108.359,2,8192,0,0,129,7,0,0,0.011648,0,172,0,173
0,7.04491,605,0,18,83.986,2,8192,0,0,41,18,0,0,0.011648,0,190,0,191
0,4.60645,396,0,27,85.86,2,8192,0,0,18,26,0,0,0.011648,0,216,0,218
0,1.28088,110,0,0,68.259,2,8192,0,0,28,0,0,0,0.011648,0,216,0,218
0,6.33411,544,0,17,81.575,2,8192,0,0,128,17,0,0,0.011648,0,233,0,235
0,2.67639,230,0,14,77.876,2,8192,0,0,11,14,0,0,0.011648,0,247,0,249
0,4.27235,367,0,4,69.247,2,8192,0,0,124,4,0,0,0.011648,0,251,0,253
0,3.76122,323,0,5,130.472,2,8192,0,0,69,5,0,0,0.011648,0,256,0,258
0,3.63141,312,0,1,96.003,2,8192,0,0,101,1,0,0,0.011648,0,257,0,259
0,6.92665,595,0,15,95.803,2,8192,0,0,108,15,0,0,0.011648,0,272,0,274
0,0.221151,19,0,3,95.803,2,8192,0,0,0,2,0,0,0.011648,0,274,0,277
0,3.72471,320,0,3,77.945,2,8192,0,0,100,2,0,0,0.011648,0,276,0,280
0,0.756828,65,0,0,74.771,2,8192,0,0,4,0,0,0,0.011648,0,276,0,280
0,7.14442,614,0,3,108.557,2,8192,0,0,228,3,0,0,0.011648,0,279,0,283
0,7.15964,615,0,20,99.505,2,8192,0,0,89,20,0,0,0.011648,0,299,0,303
0,4.00627,344,0,29,83.846,2,8192,0,0,19,27,0,0,0.011648,0,326,0,332
0,1.77965,153,0,0,41.903,2,8192,0,0,50,0,0,0,0.011648,0,326,0,332
0,7.71523,664,0,10,81.734,2,8192,0,0,164,10,0,0,0.011648,0,336,0,342
0,7.92413,681,0,14,102.739,2,8192,0,0,123,14,0,0,0.011648,0,350,0,356
0,6.98712,600,0,36,92.708,2,8192,0,0,60,35,0,0,0.011648,0,385,0,392
0,0,0,0,0,92.708,2,8192,0,0,0,0,0,0,0.011648,0,385,0,392
0,5.82011,500,0,5,76.422,2,8192,0,0,129,5,0,0,0.011648,0,390,0,397
0,7.22869,621,0,5,88.204,2,8192,0,0,145,5,0,0,0.011648,0,395,0,402
0,7.97741,685,0,10,118.021,2,8192,0,0,125,10,0,0,0.011648,0,405,0,412
0,8.06665,693,0,0,167.053,2,8192,0,0,333,0,0,0,0.011648,0,405,0,412
0,6.73313,579,0,26,116.817,2,8192,0,0,38,26,0,0,0.011648,0,431,0,438
0,2.06121,177,0,15,126.633,2,8192,0,0,0,15,0,0,0.011648,0,446,0,453
0,4.43268,381,0,6,103.483,2,8192,0,0,101,6,0,0,0.011648,0,452,0,459
0,7.6893,661,0,7,105.233,2,8192,0,0,183,7,0,0,0.011648,0,459,0,466
0,7.29203,627,0,11,121.712,2,8192,0,0,124,11,0,0,0.011648,0,470,0,477
0,1.91848,165,0,9,113.2,2,8192,0,0,3,9,0,0,0.011648,0,479,0,486
0,3.70121,318,0,1,78.333,2,8192,0,0,131,1,0,0,0.011648,0,480,0,487
0,7.42843,638,0,10,106.517,2,8192,0,0,120,10,0,0,0.011648,0,490,0,497
0,7.87225,676,0,7,108.757,2,8192,0,0,193,7,0,0,0.011648,0,497,0,504
0,7.07416,608,0,31,90.724,2,8192,0,0,39,31,0,0,0.011648,0,528,0,535
0,6.32854,547,0,34,109.642,2,8192,0,0,39,32,0,0,0.011648,0,560,0,569
0,0.709992,61,0,0,103.192,2,8192,0,0,3,0,0,0,0.011648,0,560,0,569
0,6.83388,587,0,4,89.37,2,8192,0,0,218,4,0,0,0.011648,0,564,0,573
0,8.01112,688,0,7,187.469,2,8192,0,0,181,7,0,0,0.011648,0,571,0,580
0,7.40302,637,0,7,148.816,2,8192,0,0,139,7,0,0,0.011648,0,578,0,587
0,5.51813,474,0,33,114.796,2,8192,0,0,17,33,0,0,0.011648,0,611,0,620
0,0.477427,41,0,0,114.796,2,8192,0,0,1,0,0,0,0.011648,0,611,0,620
0,5.90329,507,0,3,128.479,2,8192,0,0,157,3,0,0,0.011648,0,614,0,623
0,7.60369,653,0,4,90.774,2,8192,0,0,169,4,0,0,0.011648,0,618,0,627
0,7.97271,685,0,15,127.708,2,8192,0,0,139,15,0,0,0.011648,0,633,0,642
0,2.63169,226,0,14,125.435,2,8192,0,0,7,13,0,0,0.011648,0,646,0,656
0,3.42274,294,0,1,90.66,2,8192,0,0,96,1,0,0,0.011648,0,647,0,657
0,7.62685,655,0,3,99.786,2,8192,0,0,201,3,0,0,0.011648,0,650,0,660
0,8.06418,693,0,20,91.145,2,8192,0,0,106,20,0,0,0.011648,0,670,0,680
0,0.407605,35,0,1,91.145,2,8192,0,0,0,1,0,0,0.011648,0,671,0,681
0,5.00069,430,0,3,100.852,2,8192,0,0,125,3,0,0,0.011648,0,674,0,684
0,6.41244,551,0,6,127.563,2,8192,0,0,136,6,0,0,0.011648,0,680,0,690
0,7.52913,647,0,18,88.289,2,8192,0,0,28,18,0,0,0.011648,0,698,0,708
0,8.28507,712,0,6,141.502,2,8192,0,0,188,6,0,0,0.011648,0,704,0,714
0,8.23054,707,0,19,92.935,2,8192,0,0,69,19,0,0,0.011648,0,723,0,733
0,2.21099,190,0,13,94.001,2,8192,0,0,3,13,0,0,0.011648,0,736,0,746
0,3.47006,298,0,1,99.281,2,8192,0,0,79,1,0,0,0.011648,0,737,0,747
0,5.99073,515,0,6,130.666,2,8192,0,0,139,6,0,0,0.011648,0,743,0,753
0,6.71849,577,0,13,91.899,2,8192,0,0,55,13,0,0,0.011648,0,756,0,766
0,0.523648,45,0,0,91.899,2,8192,0,0,1,0,0,0,0.011648,0,756,0,766
0,5.62445,483,0,6,114.815,2,8192,0,0,126,6,0,0,0.011648,0,762,0,772
0,5.54272,476,0,4,116.039,2,8192,0,0,88,4,0,0,0.011648,0,766,0,776
0,7.20562,619,0,10,176.904,2,8192,0,0,107,10,0,0,0.011648,0,776,0,786
0,8.66217,744,0,16,88.518,2,8192,0,0,67,16,0,0,0.011648,0,792,0,802
0,8.31656,715,0,9,83.73,2,8192,0,0,170,9,0,0,0.011648,0,801,0,811
0,0.465761,40,0,0,83.73,2,8192,0,0,0,0,0,0,0.011648,0,801,0,811
0,4.10776,353,0,1,103.813,2,8192,0,0,124,1,0,0,0.011648,0,802,0,812
0,7.45543,641,0,12,113.609,2,8192,0,0,140,12,0,0,0.011648,0,814,0,824
0,8.17101,702,0,7,95.629,2,8192,0,0,105,7,0,0,0.011648,0,821,0,831
0,8.38348,720,0,8,96.16,2,8192,0,0,132,8,0,0,0.011648,0,829,0,839
0,7.24922,623,0,18,107.303,2,8192,0,0,39,18,0,0,0.011648,0,847,0,857
