MSS,1250
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,2.47376,272,0,9,213.358,2,8192,0,0,87,9,0,0,0.009648,0,9,0,9
0,0.443695,46,0,4,201.723,2,8192,0,0,1,4,0,0,0.009648,0,13,0,13
0,1.9929,207,0,4,109.737,2,8192,0,0,60,4,0,0,0.009648,0,17,0,17
0,2.52589,262,0,5,131.62,2,8192,0,0,70,5,0,0,0.009648,0,22,0,22
0,2.71985,282,0,9,126.269,2,8192,0,0,82,9,0,0,0.009648,0,31,0,31
0,2.60346,270,0,10,137.075,2,8192,0,0,75,10,0,0,0.009648,0,41,0,41
0,2.65041,275,0,7,135.752,2,8192,0,0,73,7,0,0,0.009648,0,48,0,48
0,2.48868,258,0,8,139.769,2,8192,0,0,51,8,0,0,0.009648,0,56,0,56
0,2.61321,271,0,9,155.442,2,8192,0,0,45,9,0,0,0.009648,0,65,0,65
0,0.89709,93,0,6,132.118,2,8192,0,0,5,6,0,0,0.009648,0,71,0,71
0,1.01262,105,0,0,55.105,2,8192,0,0,30,0,0,0,0.009648,0,71,0,71
0,2.47774,257,0,3,80.846,2,8192,0,0,95,3,0,0,0.009648,0,74,0,74
0,2.23078,232,0,4,83.441,2,8192,0,0,80,4,0,0,0.009648,0,78,0,78
0,2.50681,260,0,7,102.734,2,8192,0,0,86,7,0,0,0.009648,0,85,0,85
0,2.57393,267,0,7,119.497,2,8192,0,0,87,7,0,0,0.009648,0,92,0,92
0,2.3049,239,0,7,98.311,2,8192,0,0,67,7,0,0,0.009648,0,99,0,99
0,2.51711,261,0,8,118.964,2,8192,0,0,82,8,0,0,0.009648,0,107,0,107
0,2.53698,263,0,7,115.528,2,8192,0,0,62,7,0,0,0.009648,0,114,0,114
0,2.60433,270,0,5,127.36,2,8192,0,0,68,5,0,0,0.009648,0,119,0,119
0,2.53159,264,0,6,134.228,2,8192,0,0,66,6,0,0,0.009648,0,125,0,125
0,2.66151,276,0,7,124.158,2,8192,0,0,72,7,0,0,0.009648,0,132,0,132
0,2.51752,261,0,7,122.693,2,8192,0,0,69,7,0,0,0.009648,0,139,0,139
0,2.45956,255,0,13,179.938,2,8192,0,0,68,12,0,0,0.009648,0,151,0,152
0,2.52073,262,0,10,137.335,2,8192,0,0,70,10,0,0,0.009648,0,161,0,162
0,2.33435,242,0,5,174.092,2,8192,0,0,78,5,0,0,0.009648,0,166,0,167
0,2.681,278,0,10,148.956,2,8192,0,0,69,10,0,0,0.009648,0,176,0,177
0,0.289299,30,0,0,140.021,2,8192,0,0,0,0,0,0,0.009648,0,176,0,177
0,1.83181,190,0,1,82.872,2,8192,0,0,61,1,0,0,0.009648,0,177,0,178
0,2.59413,269,0,1,127.442,2,8192,0,0,131,1,0,0,0.009648,0,178,0,179
0,2.64202,274,0,7,110.985,2,8192,0,0,100,7,0,0,0.009648,0,185,0,186
0,2.44016,253,0,5,97.843,2,8192,0,0,73,5,0,0,0.009648,0,190,0,191
0,2.17955,226,0,5,121.158,2,8192,0,0,64,5,0,0,0.009648,0,195,0,196
0,2.55588,265,0,6,114.145,2,8192,0,0,82,6,0,0,0.009648,0,201,0,202
0,2.45952,255,0,6,122.295,2,8192,0,0,73,6,0,0,0.009648,0,207,0,208
0,2.47875,257,0,4,117.464,2,8192,0,0,94,4,0,0,0.009648,0,211,0,212
0,2.59284,269,0,6,140.476,2,8192,0,0,81,6,0,0,0.009648,0,217,0,218
0,2.4404,253,0,7,163.204,2,8192,0,0,87,7,0,0,0.009648,0,224,0,225
0,1.82285,189,0,4,141.116,2,8192,0,0,60,4,0,0,0.009648,0,228,0,229
0,1.01267,105,0,0,58.814,2,8192,0,0,33,0,0,0,0.009648,0,228,0,229
0,2.27559,236,0,5,79.823,2,8192,0,0,89,5,0,0,0.009648,0,233,0,234
0,2.54555,264,0,4,118.385,2,8192,0,0,99,4,0,0,0.009648,0,237,0,238
0,2.44896,254,0,6,94.927,2,8192,0,0,91,6,0,0,0.009648,0,243,0,244
0,2.38951,248,0,4,115.15,2,8192,0,0,100,4,0,0,0.009648,0,247,0,248
0,2.88071,299,0,1,111.191,2,8192,0,0,141,1,0,0,0.009648,0,248,0,249
0,2.03372,211,0,2,128.946,2,8192,0,0,72,2,0,0,0.009648,0,250,0,251
0,2.50676,260,0,3,134.011,2,8192,0,0,94,3,0,0,0.009648,0,253,0,254
0,2.62762,273,0,3,134.365,2,8192,0,0,109,3,0,0,0.009648,0,256,0,257
0,2.44877,254,0,7,135.833,2,8192,0,0,65,7,0,0,0.009648,0,263,0,264
0,2.69037,279,0,6,138.043,2,8192,0,0,57,6,0,0,0.009648,0,269,0,270
0,2.29547,238,0,7,149.701,2,8192,0,0,60,7,0,0,0.009648,0,276,0,277
0,1.78371,185,0,7,170.883,2,8192,0,0,41,7,0,0,0.009648,0,283,0,284
0,0.501612,52,0,1,173.424,2,8192,0,0,2,1,0,0,0.009648,0,284,0,285
0,2.3918,248,0,2,80.354,2,8192,0,0,105,2,0,0,0.009648,0,286,0,287
0,2.66194,276,0,3,82.935,2,8192,0,0,120,3,0,0,0.009648,0,289,0,290
0,2.49833,259,0,3,91.486,2,8192,0,0,103,3,0,0,0.009648,0,292,0,293
0,2.43533,253,0,5,112.09,2,8192,0,0,81,5,0,0,0.009648,0,297,0,298
0,2.95352,307,0,2,114.693,2,8192,0,0,142,2,0,0,0.009648,0,299,0,300
0,2.5067,260,0,7,112.654,2,8192,0,0,71,7,0,0,0.009648,0,306,0,307
0,2.5063,260,0,7,112.45,2,8192,0,0,58,7,0,0,0.009648,0,313,0,314
0,2.15042,223,0,7,147.276,2,8192,0,0,58,7,0,0,0.009648,0,320,0,321
0,2.38261,247,0,7,146.982,2,8192,0,0,60,7,0,0,0.009648,0,327,0,328
0,2.68847,279,0,8,117.905,2,8192,0,0,64,8,0,0,0.009648,0,335,0,336
0,2.35038,244,0,8,196.956,2,8192,0,0,82,8,0,0,0.009648,0,343,0,344
0,2.10096,218,0,6,135.111,2,8192,0,0,47,6,0,0,0.009648,0,349,0,350
0,0.501065,52,0,0,139.635,2,8192,0,0,2,0,0,0,0.009648,0,349,0,350
0,1.8713,194,0,2,88.831,2,8192,0,0,92,2,0,0,0.009648,0,351,0,352
0,2.40116,249,0,4,79.199,2,8192,0,0,91,4,0,0,0.009648,0,355,0,356
0,2.30455,239,0,3,91.982,2,8192,0,0,81,3,0,0,0.009648,0,358,0,359
0,2.35258,244,0,4,117.008,2,8192,0,0,81,4,0,0,0.009648,0,362,0,363
0,2.46912,256,0,6,122.517,2,8192,0,0,67,6,0,0,0.009648,0,368,0,369
0,2.50772,260,0,6,112.831,2,8192,0,0,103,6,0,0,0.009648,0,374,0,375
0,2.47889,257,0,8,125.738,2,8192,0,0,71,8,0,0,0.009648,0,382,0,383
0,2.54414,264,0,9,116.17,2,8192,0,0,66,9,0,0,0.009648,0,391,0,392
0,2.63122,273,0,5,143.675,2,8192,0,0,81,5,0,0,0.009648,0,396,0,397
0,0.8198,85,0,4,142.644,2,8192,0,0,22,4,0,0,0.009648,0,400,0,401
0,1.41649,147,0,0,77.53,2,8192,0,0,55,0,0,0,0.009648,0,400,0,401
0,2.06397,214,0,3,82.355,2,8192,0,0,88,3,0,0,0.009648,0,403,0,404
0,2.36256,245,0,4,82.437,2,8192,0,0,89,4,0,0,0.009648,0,407,0,408
0,2.3823,247,0,7,107.124,2,8192,0,0,90,7,0,0,0.009648,0,414,0,415
0,2.65138,275,0,5,107.163,2,8192,0,0,108,5,0,0,0.009648,0,419,0,420
0,2.50802,260,0,4,112.083,2,8192,0,0,84,4,0,0,0.009648,0,423,0,424
0,2.38098,247,0,6,117.134,2,8192,0,0,53,6,0,0,0.009648,0,429,0,430
0,0.183224,19,0,1,123.718,2,8192,0,0,1,1,0,0,0.009648,0,430,0,431
0,1.80354,187,0,0,60.55,2,8192,0,0,81,0,0,0,0.009648,0,430,0,431
0,2.51701,261,0,2,66.501,2,8192,0,0,113,2,0,0,0.009648,0,432,0,433
0,2.21861,230,0,4,81.283,2,8192,0,0,95,4,0,0,0.009648,0,436,0,437
0,2.41694,251,0,6,109.029,2,8192,0,0,89,6,0,0,0.009648,0,442,0,443
0,2.44013,253,0,5,104.805,2,8192,0,0,86,5,0,0,0.009648,0,447,0,448
0,2.37123,246,0,7,118.838,2,8192,0,0,72,7,0,0,0.009648,0,454,0,455
0,2.58493,268,0,4,117.358,2,8192,0,0,105,4,0,0,0.009648,0,458,0,459
0,2.25658,234,0,5,134.492,2,8192,0,0,65,5,0,0,0.009648,0,463,0,464
0,2.21788,230,0,5,117.896,2,8192,0,0,72,5,0,0,0.009648,0,468,0,469
0,2.40179,249,0,4,136.276,2,8192,0,0,68,4,0,0,0.009648,0,472,0,473
0,2.19836,228,0,7,112.888,2,8192,0,0,29,7,0,0,0.009648,0,479,0,480
0,2.34285,243,0,3,133.395,2,8192,0,0,66,3,0,0,0.009648,0,482,0,483
0,2.45782,255,0,7,127.119,2,8192,0,0,69,7,0,0,0.009648,0,489,0,490
0,2.57489,267,0,4,139.44,2,8192,0,0,67,4,0,0,0.009648,0,493,0,494
0,1.49495,155,0,3,139.978,2,8192,0,0,31,3,0,0,0.009648,0,496,0,497
0,1.07813,112,0,1,77.13,2,8192,0,0,35,1,0,0,0.009648,0,497,0,498
0,2.58388,268,0,1,91.025,2,8192,0,0,117,1,0,0,0.009648,0,498,0,499
0,2.52676,262,0,7,94.039,2,8192,0,0,81,7,0,0,0.009648,0,505,0,506
0,2.34353,243,0,4,103.529,2,8192,0,0,81,4,0,0,0.009648,0,509,0,510
0,2.50725,260,0,5,123.028,2,8192,0,0,87,5,0,0,0.009648,0,514,0,515
0,2.4966,260,0,4,146.654,2,8192,0,0,100,4,0,0,0.009648,0,518,0,519
0,2.28414,237,0,7,123.253,2,8192,0,0,69,7,0,0,0.009648,0,525,0,526
0,2.69037,280,0,8,119.716,2,8192,0,0,78,8,0,0,0.009648,0,533,0,534
0,2.45002,254,0,5,102.97,2,8192,0,0,79,5,0,0,0.009648,0,538,0,539
0,2.38221,247,0,7,124.334,2,8192,0,0,64,7,0,0,0.009648,0,545,0,546
0,2.60418,270,0,8,121.329,2,8192,0,0,68,8,0,0,0.009648,0,553,0,554
0,0.163969,17,0,0,121.329,2,8192,0,0,1,0,0,0,0.009648,0,553,0,554
0,2.19901,228,0,2,81.867,2,8192,0,0,85,2,0,0,0.009648,0,555,0,556
0,2.6326,273,0,2,95.661,2,8192,0,0,119,2,0,0,0.009648,0,557,0,558
0,2.55579,265,0,2,87.078,2,8192,0,0,111,2,0,0,0.009648,0,559,0,560
0,2.76718,287,0,2,107.054,2,8192,0,0,129,2,0,0,0.009648,0,561,0,562
0,2.84309,295,0,4,95.525,2,8192,0,0,108,4,0,0,0.009648,0,565,0,566
0,2.64181,274,0,5,139.487,2,8192,0,0,86,5,0,0,0.009648,0,570,0,571
0,2.34268,243,0,1,127.282,2,8192,0,0,106,1,0,0,0.009648,0,571,0,572
0,2.60415,270,0,7,104.167,2,8192,0,0,78,7,0,0,0.009648,0,578,0,579
0,2.47738,257,0,7,94.75,2,8192,0,0,68,7,0,0,0.009648,0,585,0,586
0,2.57512,267,0,4,136.239,2,8192,0,0,87,4,0,0,0.009648,0,589,0,590
0,0.202494,21,0,0,136.239,2,8192,0,0,1,0,0,0,0.009648,0,589,0,590
0,2.05408,213,0,2,77.122,2,8192,0,0,85,2,0,0,0.009648,0,591,0,592
0,2.3826,247,0,3,104.148,2,8192,0,0,93,3,0,0,0.009648,0,594,0,595
0,2.3979,249,0,4,92.761,2,8192,0,0,102,4,0,0,0.009648,0,598,0,599
0,2.63315,273,0,4,94.619,2,8192,0,0,112,4,0,0,0.009648,0,602,0,603
0,2.78715,289,0,4,119.744,2,8192,0,0,98,4,0,0,0.009648,0,606,0,607
0,2.62131,272,0,8,118.896,2,8192,0,0,86,8,0,0,0.009648,0,614,0,615
0,2.54554,264,0,4,127.694,2,8192,0,0,86,4,0,0,0.009648,0,618,0,619
0,2.39999,249,0,6,126.879,2,8192,0,0,70,6,0,0,0.009648,0,624,0,625
0,2.29517,238,0,4,136.898,2,8192,0,0,61,4,0,0,0.009648,0,628,0,629
0,2.73926,284,0,7,119.482,2,8192,0,0,75,7,0,0,0.009648,0,635,0,636
0,2.75658,286,0,7,155.159,2,8192,0,0,71,7,0,0,0.009648,0,642,0,643
0,2.51593,261,0,8,115.862,2,8192,0,0,56,8,0,0,0.009648,0,650,0,651
0,2.61078,271,0,6,136.228,2,8192,0,0,69,6,0,0,0.009648,0,656,0,657
0,2.7278,283,0,7,147.069,2,8192,0,0,56,7,0,0,0.009648,0,663,0,664
0,3.42393,355,0,3,185.252,2,8192,0,0,171,3,0,0,0.009648,0,666,0,667
0,3.45278,358,0,5,187.509,2,8192,0,0,155,5,0,0,0.009648,0,671,0,672
0,0.231313,24,0,0,174.374,2,8192,0,0,0,0,0,0,0.009648,0,671,0,672
0,2.09181,217,0,1,96.527,2,8192,0,0,73,1,0,0,0.009648,0,672,0,673
0,2.58999,269,0,7,95.93,2,8192,0,0,91,7,0,0,0.009648,0,679,0,680
0,2.2648,235,0,4,98.183,2,8192,0,0,75,4,0,0,0.009648,0,683,0,684
0,2.76627,287,0,3,92.099,2,8192,0,0,115,3,0,0,0.009648,0,686,0,687
0,2.58381,268,0,6,114.551,2,8192,0,0,94,6,0,0,0.009648,0,692,0,693
0,2.75873,286,0,3,94.254,2,8192,0,0,101,3,0,0,0.009648,0,695,0,696
0,2.67167,277,0,7,111.194,2,8192,0,0,82,7,0,0,0.009648,0,702,0,703
0,2.65229,275,0,5,127.51,2,8192,0,0,79,5,0,0,0.009648,0,707,0,708
0,2.54467,264,0,5,127.757,2,8192,0,0,69,5,0,0,0.009648,0,712,0,713
0,2.24679,233,0,6,122.868,2,8192,0,0,52,6,0,0,0.009648,0,718,0,719
0,2.55564,265,0,7,141.953,2,8192,0,0,67,7,0,0,0.009648,0,725,0,726
0,2.58515,268,0,9,134.525,2,8192,0,0,68,9,0,0,0.009648,0,734,0,735
0,2.84548,295,0,5,185.749,2,8192,0,0,103,5,0,0,0.009648,0,739,0,740
0,2.78533,289,0,8,140.79,2,8192,0,0,72,8,0,0,0.009648,0,747,0,748
0,2.45803,255,0,6,174.182,2,8192,0,0,64,6,0,0,0.009648,0,753,0,754
0,2.60397,270,0,8,128.607,2,8192,0,0,48,8,0,0,0.009648,0,761,0,762
0,2.50946,261,0,9,157.806,2,8192,0,0,67,9,0,0,0.009648,0,770,0,771
0,2.72858,283,0,12,152.02,2,8192,0,0,68,12,0,0,0.009648,0,782,0,783
0,2.33231,242,0,9,172.118,2,8192,0,0,48,9,0,0,0.009648,0,791,0,792
0,0.318241,33,0,0,172.118,2,8192,0,0,1,0,0,0,0.009648,0,791,0,792
0,1.85057,192,0,1,84.71,2,8192,0,0,75,1,0,0,0.009648,0,792,0,793
0,2.5255,262,0,3,105.488,2,8192,0,0,108,3,0,0,0.009648,0,795,0,796
