MSS,500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,4.16847,1253,0,7,79.312,16,8192,0,1,45,7,0,0,0.003648,0,7,0,7
0,3.32342,912,0,9,72.904,16,8192,0,1,14,9,0,0,0.003648,0,16,0,16
0,4.96748,1362,0,15,70.583,16,8192,0,1,32,15,0,0,0.003648,0,31,0,31
0,4.62656,1269,0,8,52.005,16,8192,0,1,42,8,0,0,0.003648,0,39,0,39
0,2.10695,578,0,0,23.332,16,8192,0,1,55,0,0,0,0.003648,0,39,0,39
0,2.22275,610,0,0,29.871,16,8192,0,1,55,0,0,0,0.003648,0,39,0,39
0,2.4106,661,0,0,26.771,16,8192,0,1,62,0,0,0,0.003648,0,39,0,39
0,2.60411,714,0,0,26.392,16,8192,0,1,51,0,0,0,0.003648,0,39,0,39
0,3.08616,847,0,0,32.545,16,8192,0,1,63,0,0,0,0.003648,0,39,0,39
0,3.99375,1095,0,1,69.756,16,8192,0,1,61,1,0,0,0.003648,0,40,0,40
0,4.99128,1369,0,15,85.559,16,8192,0,1,32,15,0,0,0.003648,0,55,0,55
0,4.55081,1248,0,10,72.219,16,8192,0,1,30,10,0,0,0.003648,0,65,0,65
0,1.73327,476,0,0,39.528,16,8192,0,1,49,0,0,0,0.003648,0,65,0,65
0,1.99652,548,0,0,28.967,16,8192,0,1,52,0,0,0,0.003648,0,65,0,65
0,2.29032,628,0,0,40.17,16,8192,0,1,59,0,0,0,0.003648,0,65,0,65
0,2.31553,635,0,0,40.113,16,8192,0,1,60,0,0,0,0.003648,0,65,0,65
0,2.37017,650,0,0,30.282,16,8192,0,1,59,0,0,0,0.003648,0,65,0,65
0,2.5805,708,0,0,33.83,16,8192,0,1,54,0,0,0,0.003648,0,65,0,65
0,3.0077,825,0,0,37.043,16,8192,0,1,65,0,0,0,0.003648,0,65,0,65
0,3.6372,998,0,0,40.19,16,8192,0,1,64,0,0,0,0.003648,0,65,0,65
