SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.000889012,0,0,0,0,100,2,8192,0,0,0,0,0,0,0.000448,0,0,0,0
8.94089,0,0,4,0,17.987,760,8181,2,0,0,0,9733,1,187.317,2,0,4,0
15.768,0,0,12,0,20.217,1305,8145,10,0,0,0,17582,10,69.5784,12,0,16,0
16.1608,0,0,42,0,14.523,1663,8189,38,0,0,0,16624,25,68.9633,50,0,58,0
14.7981,0,0,11,0,5.011,1952,8189,2,0,0,0,16316,11,18.9383,52,0,69,0
14.7416,0,0,3,0,27.01,2180,8189,0,0,0,0,14752,2,18.5378,52,0,72,0
15.7058,0,0,543,0,35.068,2391,8189,542,0,0,0,15073,15,31.2377,594,0,615,0
15.8893,0,0,694,0,6.445,2573,8189,692,0,0,0,14059,17,37.292,1286,0,1309,0
19.8353,0,0,6948,0,28.967,2682,8190,6645,0,0,0,8988,118,145.237,7931,0,8257,0
1.83587,0,0,484,0,20.933,2687,8189,773,0,0,0,428,27,167.922,8704,0,8741,0
7.50517,0,0,2687,0,33.667,696,8189,901,0,0,0,7593,0,146.006,9605,0,11428,0
8.77835,0,0,0,0,48.827,1041,8189,0,0,0,0,9362,0,160.424,9605,0,11428,0
5.46225,0,0,856,0,12.024,1165,8190,856,0,0,0,4265,20,164.494,10461,0,12284,0
7.16014,0,0,1165,0,14.993,690,8189,391,0,0,0,7468,0,185.471,10852,0,13449,0
20.2222,0,0,9877,0,17.2,1082,8189,9877,0,0,0,10857,96,161.818,20729,0,23326,0
19.6756,0,0,3190,0,35.045,1450,8189,3189,0,0,0,14564,111,122.931,23918,0,26516,0
10.1791,0,0,852,0,28.857,1607,8188,852,0,0,0,7511,159,193.668,24770,0,27368,0
5.61796,0,0,2210,0,11.025,526,8189,1296,0,0,0,4339,17,158.773,26066,0,29578,0
17.5001,0,0,7244,0,11.146,993,8189,7244,0,0,0,11081,86,49.7594,33310,0,36822,0
12.6226,0,0,5202,0,9.492,1174,8190,5202,0,0,0,6138,49,94.3604,38512,0,42024,0
0.897185,0,0,1174,0,8.633,205,8189,510,0,0,0,671,0,85.3776,39022,0,43198,0
7.62498,0,0,11,0,43.436,752,8189,11,0,0,0,8200,8,93.6808,39033,0,43209,0
7.57446,0,0,7,0,57.153,1038,8189,7,0,0,0,7999,4,84.9489,39040,0,43216,0
8.51496,0,0,9,0,61.893,1253,8189,8,0,0,0,7688,7,12.669,39048,0,43225,0
9.68306,0,0,22,0,27.573,1441,8189,22,0,0,0,7921,15,15.9434,39070,0,43247,0
3.08031,0,0,546,0,14.84,1473,8189,546,0,0,0,1441,76,52.6772,39616,0,43793,0
6.09201,0,0,1478,0,36.767,633,8187,375,0,0,0,6292,3,36.6164,39991,0,45271,0
7.59714,0,0,0,0,54.718,964,8189,0,0,0,0,8247,0,8.09133,39991,0,45271,0
8.18044,0,0,1,0,61.629,1196,8189,1,0,0,0,7823,1,78.689,39992,0,45272,0
8.90708,0,0,0,0,68.773,1383,8189,0,0,0,0,7556,0,148.176,39992,0,45272,0
3.11932,0,0,256,0,20.505,1447,8191,256,0,0,0,2820,39,156.471,40248,0,45528,0
3.70638,0,0,1508,0,29.211,443,8163,1045,0,0,0,3081,3,166.84,41293,0,47036,0
17.4833,0,0,8028,0,10.522,917,8189,8026,0,0,0,10098,94,127.701,49319,0,55064,0
9.633,0,0,3558,0,25.245,1093,8191,3558,0,0,0,5524,62,174.025,52877,0,58622,0
6.29859,0,0,1093,0,19.096,642,8189,584,0,0,0,6472,0,52.2126,53461,0,59715,0
10.5756,0,0,150,0,19.902,1063,8190,123,0,0,0,11201,56,64.3068,53584,0,59865,0
3.05571,0,0,1153,0,10.255,416,8189,296,0,0,0,2723,6,36.7302,53880,0,61018,0
15.9039,0,0,4289,0,20.335,926,8189,4289,0,0,0,10689,82,141.601,58169,0,65307,0
15.2056,0,0,2028,0,5.724,1311,8189,2028,0,0,0,13488,26,170.424,60197,0,67335,0
18.5851,0,0,6841,0,8.559,1526,8189,6792,0,0,0,9522,122,132.435,66989,0,74176,0
19.1692,0,0,8193,0,25.608,1711,8189,8192,0,0,0,9358,85,141.985,75181,0,82369,0
16.1825,0,0,7156,0,18.681,1853,8189,7156,0,0,0,7939,109,118.026,82337,0,89525,0
1.49022,0,0,1853,0,9.253,265,8189,898,0,0,0,1115,0,151.264,83235,0,91378,0
8.61861,0,0,0,0,3.017,832,8191,0,0,0,0,9717,0,167.576,83235,0,91378,0
9.01859,0,0,0,0,10.194,1154,8189,0,0,0,0,10007,0,162.329,83235,0,91378,0
9.08255,0,0,71,0,12.432,1395,8189,71,0,0,0,9592,15,38.7538,83306,0,91449,0
1.84624,0,0,508,0,11.192,1422,8189,508,0,0,0,1208,4,47.8343,83814,0,91957,0
12.2723,0,0,4664,0,13.635,731,8189,3702,0,0,0,8380,55,20.7818,87516,0,96621,0
18.2941,0,0,8324,0,14.492,1072,8189,8323,0,0,0,9593,131,141.803,95839,0,104945,0
9.5273,0,0,3717,0,6.58,1200,8191,3717,0,0,0,4559,42,137.549,99556,0,108662,0
6.09819,0,0,1203,0,10.366,641,8189,241,0,0,0,6442,1,182.712,99797,0,109865,0
13.3481,0,0,20,0,11.006,1155,8187,17,0,0,0,14448,17,56.633,99814,0,109885,0
18.0089,0,0,5968,0,7.205,1444,8187,5965,0,0,0,11703,66,93.7359,105779,0,115853,0
12.2559,0,0,4807,0,11.823,1570,8190,4800,0,0,0,5950,119,141.478,110579,0,120660,0
4.0017,0,0,1834,0,18.282,451,8189,1126,0,0,0,3195,8,58.955,111705,0,122494,0
13.5641,0,0,2009,0,8.11,986,8189,1959,0,0,0,12031,93,174.596,113664,0,124503,0
14.4986,0,0,2499,0,4.949,1348,8189,2473,0,0,0,13189,40,147.344,116137,0,127002,0
14.2588,0,0,27,0,36.725,1653,8187,2,0,0,0,14338,17,203.547,116139,0,127029,0
13.4309,0,0,86,0,7.003,1917,8189,83,0,0,0,14684,52,47.9705,116222,0,127115,0
14.3859,0,0,715,0,40.02,2132,8189,643,0,0,0,13636,140,27.9404,116865,0,127830,0
8.56477,0,0,72,0,5.709,2273,8143,72,0,0,0,9728,1,7.16083,116937,0,127902,0
4.33647,0,0,961,0,11.269,2315,8190,961,0,0,0,3006,6,9.44518,117898,0,128863,0
4.09312,0,0,2471,0,11.962,509,8189,208,0,0,0,4074,3,10.5517,118106,0,131334,0
9.04622,0,0,386,0,4.967,920,8189,386,0,0,0,9189,13,6.27558,118492,0,131720,0
8.91504,0,0,274,0,5.284,1188,8187,274,0,0,0,8820,23,5.66003,118766,0,131994,0
8.97545,0,0,325,0,2.955,1406,8189,325,0,0,0,8853,27,5.68333,119091,0,132319,0
8.88854,0,0,135,0,7.22,1602,8189,135,0,0,0,9222,9,5.60403,119226,0,132454,0
9.13542,0,0,684,0,9.686,1768,8187,684,0,0,0,8724,37,5.25011,119910,0,133138,0
9.0964,0,0,485,0,5.173,1923,8191,485,0,0,0,8930,19,6.16986,120395,0,133623,0
9.0476,0,0,362,0,13.722,2066,8191,362,0,0,0,8954,19,10.6104,120757,0,133985,0
9.26987,0,0,616,0,7.734,2195,8189,616,0,0,0,8592,27,5.42259,121373,0,134601,0
9.13602,0,0,349,0,2.966,2324,8189,349,0,0,0,9087,28,5.04358,121722,0,134950,0
8.87883,0,0,18,0,2.865,2456,8189,13,0,0,0,9876,11,117.864,121735,0,134968,0
9.00853,0,0,11,0,3.026,2583,8189,8,0,0,0,10004,10,149.701,121743,0,134979,0
9.0102,0,0,0,0,4.767,2705,8189,0,0,0,0,10039,0,134.559,121743,0,134979,0
9.30044,0,0,1778,0,17.289,2798,8189,1777,0,0,0,8037,25,40.26,123520,0,136757,0
8.73136,0,0,429,0,2.883,2905,8189,429,0,0,0,9481,6,18.4361,123949,0,137186,0
9.00609,0,0,423,0,14.327,3001,8189,423,0,0,0,8885,29,6.22586,124372,0,137609,0
9.00336,0,0,40,0,10.423,3105,8187,40,0,0,0,9928,3,6.65952,124412,0,137649,0
8.91918,0,0,458,0,3.318,3193,8189,457,0,0,0,8640,38,5.61971,124869,0,138107,0
8.88369,0,0,34,0,2.991,3289,8185,34,0,0,0,9792,22,7.7625,124903,0,138141,0
8.92395,0,0,326,0,7.855,3376,8189,326,0,0,0,8972,30,132.138,125229,0,138467,0
9.36509,0,0,2904,0,21.361,3444,8189,2904,0,0,0,7267,33,138.548,128133,0,141371,0
8.83033,0,0,1960,0,6.307,3519,8189,1960,0,0,0,8226,16,162.812,130093,0,143331,0
