SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.0226505,0,0,0,0,100,2,8192,0,0,0,0,0,0,0.011648,0,0,0,0
48.3477,0,0,21,0,10.874,62,8189,21,0,0,0,1919,17,73.4173,21,0,21,0
7.13958,0,0,12,0,12.718,66,8189,12,0,0,0,271,11,56.4928,33,0,33,0
43.0433,0,0,97,0,16.377,64,8185,97,0,0,0,1586,31,29.8888,130,0,130,0
48.8403,0,0,60,0,17.198,87,8183,60,0,0,0,1722,55,34.4548,190,0,190,0
3.00079,0,0,87,0,8.02,44,8189,24,0,0,0,103,0,34.4082,214,0,277,0
21.3592,0,0,24,0,11.47,60,8191,24,0,0,0,814,21,45.1593,238,0,301,0
30.2686,0,0,70,0,10.935,56,8189,70,0,0,0,1193,10,44.5187,308,0,371,0
9.88567,0,0,16,0,12.214,62,8191,16,0,0,0,362,16,49.7719,324,0,387,0
18.1214,0,0,66,0,9.213,48,8190,51,0,0,0,731,3,40.966,375,0,453,0
17.705,0,0,48,0,8.314,44,8187,48,0,0,0,716,0,34.513,423,0,501,0
24.022,0,0,21,0,12.094,61,8190,21,0,0,0,926,20,976.207,444,0,522,0
24.9035,0,0,69,0,10.011,52,8189,64,0,0,0,970,8,103.131,508,0,591,0
54.6746,0,0,64,0,16.257,82,8190,63,0,0,0,1974,54,57.5411,571,0,655,0
9.7661,0,0,13,0,16.828,85,8181,14,0,0,0,329,12,45.4039,585,0,668,0
41.4843,0,0,120,0,8.643,68,8191,120,0,0,0,1535,29,1194.42,705,0,788,0
3.10989,0,0,7,0,13.747,70,8191,7,0,0,0,123,6,1117.64,712,0,795,0
47.7415,0,0,96,0,13.739,69,8189,82,0,0,0,1863,20,76.9933,794,0,891,0
0.162919,0,0,5,0,13.588,69,8189,5,0,0,0,2,3,76.9933,799,0,896,0
38.799,0,0,88,0,12.301,63,8187,88,0,0,0,1469,16,43.0976,887,0,984,0
14.3955,0,0,18,0,12.953,71,8187,18,0,0,0,517,16,36.004,905,0,1002,0
34.073,0,0,87,0,11.883,61,8190,48,0,0,0,1310,15,234.463,953,0,1089,0
55.1321,0,0,74,0,17.511,87,8189,73,0,0,0,1957,59,373.342,1026,0,1163,0
