SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.317009,0,0,16,0,57.122,16,8190,12,52631.6,0,0,12,0,9.27181,12,0,16,0
0.384289,0,0,0,0,6.606,16,8190,4,20000,0,0,31,0,11.5665,16,0,16,0
1.01315,0,0,0,0,3.858,17,8190,0,8695.65,0,0,65,0,11.7412,16,0,16,0
1.88646,0,0,0,0,4.45,18,8189,0,5235.6,0,0,76,0,12.3003,16,0,16,0
2.85327,0,0,0,0,3.853,18,8188,0,3717.47,0,0,78,0,14.5949,16,0,16,0
3.7708,0,0,0,0,3.546,18,8191,0,2915.45,0,0,74,0,77.0865,16,0,16,0
4.78344,0,0,0,0,3.403,18,8191,0,2375.3,0,0,78,0,73.9648,16,0,16,0
5.68289,0,0,0,0,3.484,31,8191,0,2016.13,0,0,75,0,72.7418,16,0,16,0
6.61118,0,0,0,0,3.45,64,8183,0,1739.13,0,0,79,0,67.1158,16,0,16,0
7.6031,0,0,0,0,3.523,87,8182,0,1529.05,0,0,79,0,70.8897,16,0,16,0
8.6618,0,0,0,0,3.68,97,8182,0,1367.99,0,0,77,0,60.8841,16,0,16,0
9.5342,0,0,0,0,3.619,105,8180,0,1234.57,0,0,80,0,58.438,16,0,16,0
10.528,0,0,0,0,4.007,92,8180,0,1126.13,0,0,78,0,63.1205,16,0,16,0
11.4453,0,0,0,0,3.91,79,8171,0,1039.5,0,0,75,0,57.3664,16,0,16,0
12.4823,0,0,0,0,3.459,110,8176,0,962.464,0,0,77,0,62.5964,16,0,16,0
13.365,0,0,0,0,4.063,533,8176,0,898.472,0,0,74,0,56.5277,16,0,16,0
14.2,0,0,1,0,3.696,684,8177,1,943.426,0,0,81,1,57.18,17,0,17,0
13.588,0,0,0,0,3.499,78,8167,0,877.989,0,0,79,0,58.1002,17,0,17,0
15.188,0,0,0,0,3.425,83,8168,0,689.671,0,0,78,0,54.3729,17,0,17,0
22.4922,0,0,0,0,4.228,61,8162,0,444.451,0,0,80,0,44.3556,17,0,17,0
31.62,0,0,0,0,4.557,697,8143,0,366.573,0,0,82,0,37.6696,17,0,17,0
38.0728,0,0,191,0,11.311,1499,8191,191,691,0,0,47,142,3557.84,208,0,208,0
29.0549,0,0,1471,0,4.668,1575,8158,600,383.556,0,0,73,0,44.5652,808,0,1679,0
42.8565,0,0,340,0,7.755,1892,8191,340,709,0,0,48,244,2772.19,1148,0,2019,0
28.7144,0,0,1761,0,4.776,617,8154,1021,345.132,0,0,67,0,36.1437,2169,0,3780,0
