SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.170959,0,15,1,0,107.08,6,6,8189,1,0,0,0,4,1,3.83219,1,0,1,0
1.35051,0,116,0,0,200.102,45,45,8189,0,0,0,0,42,0,9.27181,1,0,1,0
4.35503,0,374,0,0,208.215,110,110,8189,0,0,0,0,157,0,11.6713,1,0,1,0
8.76687,0,753,0,0,206.054,184,184,8189,0,0,0,0,344,0,31.3331,1,0,1,0
9.44326,0,811,3,0,205.169,228,228,8189,3,0,0,0,279,2,34.2218,4,0,4,0
15.8564,0,1362,0,0,207.424,305,305,8190,0,0,0,0,645,0,33.9423,4,0,4,0
20.2207,0,1737,0,0,207.914,383,382,8189,0,0,0,0,834,0,98.7517,4,0,4,0
14.6252,0,1256,7,0,208.634,430,430,8191,7,0,0,0,605,1,34.5363,11,0,11,0
0.116437,0,10,10,0,208.634,430,430,8191,10,0,0,0,0,1,34.5363,21,0,21,0
5.36702,0,461,430,0,206.347,14,13,8189,430,0,0,0,12,0,32.5212,451,0,451,0
2.5328,0,218,0,0,206.124,72,71,8189,0,0,0,0,83,0,29.318,451,0,451,0
6.71815,0,577,0,0,205.495,146,146,8189,0,0,0,0,255,0,30.9953,451,0,451,0
9.09445,0,781,0,0,205.909,211,211,8189,0,0,0,0,362,0,92.322,451,0,451,0
14.7452,0,1267,0,0,213.453,288,288,8189,0,0,0,0,599,0,245.563,451,0,451,0
19.2563,0,1654,0,0,206.55,365,365,8189,0,0,0,0,793,0,45.5204,451,0,451,0
18.2439,0,1567,4,0,211.112,411,411,7796,4,0,0,0,560,3,34.1985,455,0,455,0
19.0699,0,1639,36,0,211.636,440,440,7810,36,0,0,0,379,12,30.4479,491,0,491,0
15.5664,0,1337,44,0,215.112,469,469,8189,44,0,0,0,419,10,2605.79,535,0,535,0
0,0,0,0,0,215.112,469,469,8191,0,0,0,0,0,0,2605.79,535,0,535,0
5.89186,0,506,472,0,208.014,18,18,8189,472,0,0,0,16,1,1186.21,1007,0,1007,0
3.09407,0,266,0,0,207.066,82,82,8189,0,0,0,0,104,0,263.187,1007,0,1007,0
7.36767,0,633,0,0,205.448,157,157,8189,0,0,0,0,280,0,47.2792,1007,0,1007,0
11.301,0,971,0,0,213.228,231,231,8189,0,0,0,0,451,0,31.3564,1007,0,1007,0
14.9029,0,1280,0,0,204.862,304,304,8189,0,0,0,0,608,0,33.0337,1007,0,1007,0
19.0403,0,1638,0,0,207.635,378,378,8191,0,0,0,0,786,0,41.3504,1007,0,1007,0
23.6254,0,2030,0,0,207.257,453,453,8189,0,0,0,0,980,0,34.3616,1007,0,1007,0
28.3175,0,2436,0,0,206.158,530,530,8191,0,0,0,0,1181,0,70.3772,1007,0,1007,0
30.3655,0,2609,4,0,212.649,602,602,8189,4,0,0,0,1269,2,47.617,1011,0,1011,0
15.2704,0,1312,125,0,208.567,614,614,8191,125,0,0,0,237,10,31.0536,1136,0,1136,0
7.14733,0,614,614,0,208.567,2,614,8191,614,0,0,0,0,0,31.0536,1750,0,1750,0
2.20085,0,189,0,0,205.282,64,64,8189,0,0,0,0,78,0,30.7973,1750,0,1750,0
4.87467,0,419,0,0,210.727,126,126,8189,0,0,0,0,183,0,41.0592,1750,0,1750,0
9.93842,0,854,0,0,205.242,202,202,8189,0,0,0,0,392,0,50.762,1750,0,1750,0
14.2048,0,1220,0,0,206.703,278,278,8189,0,0,0,0,575,0,32.5562,1750,0,1750,0
18.8584,0,1620,0,0,209.185,356,356,8191,0,0,0,0,775,0,133.335,1750,0,1750,0
21.2036,0,1821,0,0,206.204,428,428,8189,0,0,0,0,879,0,31.9272,1750,0,1750,0
26.2188,0,2252,0,0,210.044,503,503,8189,0,0,0,0,1091,0,37.7861,1750,0,1750,0
3.71414,0,319,17,0,210.474,512,512,8191,17,0,0,0,148,2,40.8146,1767,0,1767,0
5.96032,0,512,512,0,216.934,11,11,7711,512,0,0,0,9,0,41.5135,2279,0,2279,0
0.186239,0,16,11,0,212.414,5,5,8189,11,0,0,0,6,0,141.15,2290,0,2290,0
0.372411,0,32,0,0,205.661,7,7,8189,0,0,0,0,16,0,144.26,2290,0,2290,0
0.488931,0,42,0,0,204.323,10,10,8189,0,0,0,0,22,0,94.6284,2290,0,2290,0
0.582158,0,50,0,0,204.208,12,12,8189,0,0,0,0,26,0,47.9315,2290,0,2290,0
0.791495,0,68,0,0,205.402,15,15,8189,0,0,0,0,35,0,36.3418,2290,0,2290,0
0.896264,0,77,0,0,207.533,17,17,8189,0,0,0,0,40,0,33.6161,2290,0,2290,0
0.908216,0,78,0,0,204.643,19,19,8190,0,0,0,0,42,0,33.4181,2290,0,2290,0
1.16439,0,100,0,0,205.692,22,22,8189,0,0,0,0,52,0,33.255,2290,0,2290,0
1.32716,0,114,0,0,204.949,24,24,8189,0,0,0,0,58,0,33.5346,2290,0,2290,0
1.43198,0,123,0,0,208.116,27,27,8189,0,0,0,0,62,0,33.5695,2290,0,2290,0
1.60622,0,138,0,0,212.052,29,29,8189,0,0,0,0,70,0,36.994,2290,0,2290,0
1.74666,0,150,0,0,208.271,32,32,8189,0,0,0,0,77,0,43.5402,2290,0,2290,0
1.57142,0,135,3,0,205.377,33,33,8189,3,0,0,0,52,2,42.3638,2293,0,2293,0
1.97934,0,170,0,0,208.118,36,36,8191,0,0,0,0,87,0,35.6545,2293,0,2293,0
1.78161,0,153,0,0,211.129,44,44,8189,0,0,0,0,75,0,35.2585,2293,0,2293,0
5.05361,0,434,0,0,205.831,117,117,8191,0,0,0,0,183,0,38.9043,2293,0,2293,0
9.37909,0,806,0,0,214.391,192,192,8191,0,0,0,0,367,0,59.6145,2293,0,2293,0
13.8549,0,1190,0,0,206.132,270,270,8189,0,0,0,0,559,0,155.489,2293,0,2293,0
