SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.106027,0,19,1,0,111.46,8,8,8189,1,0,0,0,6,1,2.73928,1,0,1,0
0.931667,0,165,0,0,205.053,65,65,8189,0,0,0,0,57,0,5.03802,1,0,1,0
4.29695,0,761,4,0,206.639,257,257,8189,4,0,0,0,192,3,6.29187,5,0,5,0
12.8546,0,2277,265,0,225.107,929,929,8189,265,0,0,0,672,14,376.247,270,0,270,0
5.24541,0,929,929,0,225.107,2,929,8189,929,0,0,0,0,0,376.247,1199,0,1199,0
1.82601,0,324,15,0,205.21,130,130,8189,15,0,0,0,128,1,1242.34,1214,0,1214,0
7.89596,0,1399,0,0,215.41,464,455,8185,0,0,0,0,539,0,948.344,1214,0,1214,0
13.1088,0,2322,0,0,211.339,466,466,8191,0,0,0,0,1159,0,2057.52,1214,0,1214,0
13.1957,0,2337,0,0,207.306,469,469,8185,0,0,0,0,1170,0,731.896,1214,0,1214,0
13.209,0,2340,0,0,206.657,471,471,8189,0,0,0,0,1173,0,323.676,1214,0,1214,0
12.7975,0,2267,0,0,207.713,474,474,8189,0,0,0,0,1136,0,1642.04,1214,0,1214,0
12.2908,0,2178,0,0,204.81,476,476,8185,0,0,0,0,1091,0,556.277,1214,0,1214,0
13.0122,0,2305,0,0,203.957,479,479,8189,0,0,0,0,1154,0,162.606,1214,0,1214,0
13.0024,0,2303,0,0,207.783,481,481,8189,0,0,0,0,1154,0,128.492,1214,0,1214,0
13.6007,0,2409,0,0,208.911,483,483,8189,0,0,0,0,1207,0,179.957,1214,0,1214,0
10.9988,0,1948,2,0,209.403,485,485,8189,2,0,0,0,732,2,1212.07,1216,0,1216,0
13.7009,0,2427,0,0,210.636,487,487,8189,0,0,0,0,1215,0,478.182,1216,0,1216,0
12.999,0,2302,0,0,212.128,490,490,8187,0,0,0,0,1153,0,280.197,1216,0,1216,0
6.45321,0,1143,12,0,213.04,490,490,8187,12,0,0,0,326,8,1023.79,1228,0,1228,0
13.0667,0,2314,0,0,205.703,492,492,8189,0,0,0,0,917,0,945.368,1228,0,1228,0
12.511,0,2216,0,0,204.281,495,495,8187,0,0,0,0,1110,0,191.535,1228,0,1228,0
13.7302,0,2432,0,0,207.938,497,497,8185,0,0,0,0,1221,0,62.7267,1228,0,1228,0
13.7405,0,2434,0,0,205.621,499,499,8191,0,0,0,0,1221,0,106.804,1228,0,1228,0
14.1142,0,2500,0,0,212.072,502,502,8189,0,0,0,0,1255,0,276.362,1228,0,1228,0
13.3861,0,2372,0,0,209.009,504,504,8189,0,0,0,0,1190,0,104.595,1228,0,1228,0
13.6185,0,2412,0,0,204.649,507,507,8189,0,0,0,0,1210,0,224.869,1228,0,1228,0
13.6502,0,2418,0,0,207.018,509,509,8189,0,0,0,0,1210,0,1791.6,1228,0,1228,0
13.736,0,2433,0,0,205.375,512,512,8189,0,0,0,0,1218,0,1080.68,1228,0,1228,0
14.4034,0,2551,0,0,206.1,514,514,8189,0,0,0,0,1275,0,434.67,1228,0,1228,0
10.0443,0,1779,16,0,217.789,516,516,8144,16,0,0,0,845,11,200.978,1244,0,1244,0
2.91331,0,516,516,0,217.789,2,516,8144,516,0,0,0,0,0,200.978,1760,0,1760,0
0.152454,0,27,0,0,213.078,12,12,8189,0,0,0,0,10,0,1105.52,1760,0,1760,0
1.40583,0,249,0,0,207.754,97,96,8189,0,0,0,0,85,0,1891.61,1760,0,1760,0
5.14925,0,912,3,0,211.704,258,258,7934,3,0,0,0,249,2,1965.22,1763,0,1763,0
7.30424,0,1294,0,0,204.11,260,260,8189,0,0,0,0,647,0,276.611,1763,0,1763,0
5.60071,0,992,2,0,212.276,262,262,8189,2,0,0,0,368,2,671.976,1765,0,1765,0
7.36732,0,1305,0,0,211.517,264,264,8189,0,0,0,0,654,0,196.562,1765,0,1765,0
7.4867,0,1326,0,0,205.595,267,267,8189,0,0,0,0,664,0,247.518,1765,0,1765,0
6.36853,0,1128,0,0,206.084,269,269,8187,0,0,0,0,570,0,132.033,1765,0,1765,0
7.34595,0,1301,0,0,209.023,271,271,8189,0,0,0,0,653,0,869.323,1765,0,1765,0
7.68882,0,1362,0,0,207.212,274,274,8189,0,0,0,0,685,0,98.727,1765,0,1765,0
7.73466,0,1370,0,0,205.412,276,276,8185,0,0,0,0,691,0,153.066,1765,0,1765,0
7.7693,0,1376,0,0,204.753,279,279,8188,0,0,0,0,694,0,196.2,1765,0,1765,0
7.78646,0,1379,0,0,208.186,281,281,8187,0,0,0,0,694,0,378.088,1765,0,1765,0
7.21083,0,1277,0,0,205.685,284,284,8187,0,0,0,0,640,0,163.131,1765,0,1765,0
7.37654,0,1307,0,0,208.718,286,286,8189,0,0,0,0,657,0,363.675,1765,0,1765,0
8.09764,0,1434,0,0,205.486,288,288,8189,0,0,0,0,721,0,456.55,1765,0,1765,0
8.10818,0,1436,0,0,205.157,291,291,8191,0,0,0,0,721,0,56.6325,1765,0,1765,0
8.13651,0,1441,0,0,207.159,293,293,8189,0,0,0,0,721,0,85.3695,1765,0,1765,0
