SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.246194,0,24,16,0,101.648,16,11,8190,8,60606.1,0,0,5,0,5.64928,8,0,16,0
0.244357,0,21,0,0,177.037,18,5,8190,8,34482.8,0,0,17,0,10.9957,16,0,16,0
0.488927,0,42,0,0,207.296,23,12,8190,0,17857.1,0,0,27,0,11.5665,16,0,16,0
0.907898,0,78,0,0,211.309,33,20,8189,0,10101,0,0,44,0,11.9625,16,0,16,0
1.54831,0,133,0,0,204.904,40,36,8188,0,6329.11,0,0,59,0,12.475,16,0,16,0
2.1522,0,185,0,0,206.304,43,41,8188,0,4464.29,0,0,67,0,13.8611,16,0,16,0
2.41002,0,207,0,0,205.757,47,44,8188,0,3472.22,0,0,67,0,18.2175,16,0,16,0
3.17897,0,273,0,0,216.415,125,74,8189,0,2849,0,0,63,0,25.2878,16,0,16,0
4.72783,0,406,0,0,206.054,205,95,8187,0,2386.63,0,0,75,0,40.7214,16,0,16,0
5.46155,0,469,0,0,205.071,506,115,8188,0,2057.61,0,0,74,0,40.5234,16,0,16,0
6.81021,0,585,0,0,205.317,1306,156,8182,0,1317.52,0,0,78,0,75.5839,16,0,16,0
7.60395,0,653,5,0,224.956,646,118,8184,5,1941.27,0,0,56,4,38.6015,21,0,21,0
6.6697,0,573,0,0,213.212,684,128,8185,0,1717.84,0,0,69,0,36.994,21,0,21,0
7.93933,0,682,0,0,204.941,609,180,8183,0,1151.91,0,0,77,0,70.9946,21,0,21,0
29.1759,0,2506,226,0,219.429,24182,1645,8191,226,729,0,0,47,166,259.599,247,0,247,0
16.3537,0,1405,2297,0,227.682,19416,151,7888,612,718.524,0,0,3,8,184.994,859,0,2544,0
17.8854,0,1536,0,0,205.799,1252,335,8167,0,646.938,0,0,71,0,120.79,859,0,2544,0
21.0288,0,1806,0,0,206.651,22926,426,8172,0,506.652,0,0,79,0,72.4739,859,0,2544,0
24.3568,0,2092,0,0,204.405,2633,442,8161,0,488.104,0,0,84,0,38.5432,859,0,2544,0
