MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.000888379,0,0,0,0,100,2,8192,0,0,0,0,0,0,0.000448,0,0,0,0
4.93386,0,0,2,0,6.741,104,8185,2,0,0,0,5458,0,6.8329,2,0,2,0
8.69516,0,0,0,0,4.622,174,8189,0,0,0,0,9726,0,18.3156,2,0,2,0
7.27594,0,0,15,0,12.512,215,8189,14,0,0,0,7995,11,7.11558,16,0,17,0
6.14696,0,0,30,0,15.069,244,8189,30,0,0,0,6780,18,8.87398,46,0,47,0
6.46989,0,0,3,0,15.698,272,8189,3,0,0,0,7208,3,154.922,49,0,50,0
6.09096,0,0,72,0,26.712,296,8189,72,0,0,0,6681,33,159.648,121,0,122,0
6.93845,0,0,0,0,20.625,321,8189,0,0,0,0,7732,0,140.905,121,0,122,0
6.80178,0,0,10,0,21.334,343,8189,10,0,0,0,7557,6,132.553,131,0,132,0
7.26801,0,0,0,0,21.068,366,8187,0,0,0,0,8101,0,120.822,131,0,132,0
7.08256,0,0,0,0,26.203,387,8135,0,0,0,0,7897,0,129.947,131,0,132,0
7.17981,0,0,0,0,23.256,407,8189,0,0,0,0,8004,0,127.312,131,0,132,0
8.05273,0,0,0,0,12.515,429,8189,0,0,0,0,8984,0,181.303,131,0,132,0
16.901,0,0,67,0,8.242,470,8189,67,0,0,0,18635,34,193.022,198,0,199,0
12.58,0,0,2516,0,7.383,491,8189,2516,0,0,0,10042,50,141.338,2714,0,2715,0
13.1971,0,0,3353,0,8.359,509,8189,3353,0,0,0,9104,69,163.527,6067,0,6068,0
9.96369,0,0,1162,0,30.538,527,8189,1162,0,0,0,9112,23,120.055,7229,0,7230,0
7.98474,0,0,3,0,31.049,543,8189,3,0,0,0,8879,3,6.74061,7232,0,7233,0
7.75502,0,0,0,0,31.657,559,8189,0,0,0,0,8648,0,4.4688,7232,0,7233,0
7.75348,0,0,0,0,31.553,574,8189,0,0,0,0,8647,0,5.14618,7232,0,7233,0
7.91304,0,0,8,0,29.104,589,8189,8,0,0,0,8803,6,4.78867,7240,0,7241,0
7.98095,0,0,2,0,33.008,604,8187,2,0,0,0,8899,2,85.1536,7242,0,7243,0
13.7574,0,0,4673,0,16.776,620,8189,4673,0,0,0,9584,71,28.4377,11915,0,11916,0
16.4047,0,0,6772,0,8.686,636,8187,6772,0,0,0,9834,105,148.261,18687,0,18688,0
16.5461,0,0,7337,0,16.174,651,8189,7336,0,0,0,9788,102,37.3112,26023,0,26025,0
16.1488,0,0,7133,0,9.757,665,8189,7133,0,0,0,9369,99,25.6014,33156,0,33158,0
15.9216,0,0,6524,0,18.297,679,8187,6472,0,0,0,9357,89,156.65,39628,0,39682,0
16.1254,0,0,6774,0,4.738,693,8191,6825,0,0,0,9879,89,28.4328,46453,0,46456,0
8.31947,0,0,326,0,65.031,705,8189,326,0,0,0,8434,23,180.619,46779,0,46782,0
10.4874,0,0,2471,0,42.106,717,8189,2471,0,0,0,8205,94,112.654,49250,0,49253,0
7.94654,0,0,1345,0,24.751,727,7599,1345,0,0,0,7273,12,129.449,50595,0,50598,0
1.40716,0,0,246,0,29.163,728,8187,246,0,0,0,936,4,147.536,50841,0,50844,0
8.9723,0,0,731,0,12.27,389,8187,138,0,0,0,9776,2,21.3109,50979,0,51575,0
