MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0.0146464,0,0,1,0,65.667,10818,8189,1,37422.2,0,0,10,1,0.328832,1,0,1,0
0.0129822,0,0,0,0,29.851,1513,8187,0,23968.1,0,0,10,0,0.415744,1,0,1,0
0.0201565,0,0,0,0,12.779,213,8187,0,17175.6,0,0,11,0,0.439488,1,0,1,0
0.0255246,0,0,0,0,6.982,50,8186,0,13382.9,0,0,11,0,0.444864,1,0,1,0
0.0331401,0,0,0,0,4.838,22,8184,0,10784.9,0,0,12,0,0.444864,1,0,1,0
0.0393664,0,0,0,0,4.253,18,8183,0,9031.62,0,0,12,0,0.444864,1,0,1,0
0.0470097,0,0,0,0,4.577,17,8182,0,7860.27,0,0,11,0,0.444864,1,0,1,0
0.0550513,0,0,0,0,4.596,17,8180,0,5806.46,0,0,12,0,1.72211,1,0,1,0
0.0496896,0,0,17,0,4.433,17,8174,1,1827.41,0,0,7,0,34.0543,2,0,18,0
0.681652,0,0,20,0,4.581,9218,8063,3,189.175,0,0,10,3,135.358,5,0,38,0
5.69083,0,0,0,0,4.394,11206,6783,0,42.9439,0,0,12,0,221.493,5,0,38,0
13.1096,0,0,0,0,3.646,11684,6463,0,23.372,0,0,13,0,235.657,5,0,38,0
12.7502,0,0,94,0,3.815,12675,6165,94,38.3875,0,0,13,49,293.877,99,0,132,0
9.21994,0,0,4,0,3.532,12940,5601,4,46.985,0,0,12,2,261.803,103,0,136,0
5.94301,0,0,45,0,3.385,10819,7052,45,79.9695,0,0,13,22,217.657,148,0,181,0
5.29732,0,0,11,0,4.206,10777,6631,11,79.0513,0,0,12,3,252.784,159,0,192,0
5.35389,0,0,0,0,4.012,11265,7025,0,68.493,0,0,13,0,228.595,159,0,192,0
6.06023,0,0,0,0,3.482,12886,6244,0,60.9756,0,0,12,0,231.529,159,0,192,0
6.82548,0,0,0,0,3.287,9929,7935,0,50.7612,0,0,13,0,226.695,159,0,192,0
7.7925,0,0,3,0,3.345,9559,5811,3,53.6715,0,0,12,2,198.03,162,0,195,0
7.70837,0,0,0,0,3.096,9978,7423,0,48.5864,0,0,13,0,243.016,162,0,195,0
7.48356,0,0,5,0,3.098,11251,6969,5,54.6705,0,0,13,3,255.704,167,0,200,0
6.434,0,0,30,0,3.381,11026,6620,30,63.4683,0,0,12,20,219.94,197,0,230,0
6.55458,0,0,0,0,3.44,10719,6870,0,56.4782,0,0,13,0,209.746,197,0,230,0
6.92142,0,0,19,0,4.695,10887,6316,19,58.4224,0,0,12,1,221.634,216,0,249,0
7.11565,0,0,0,0,4.454,10430,6432,0,48.9794,0,0,13,0,210.241,216,0,249,0
9.29007,0,0,3,0,4.319,9821,4928,3,41.1422,0,0,12,2,182.702,219,0,252,0
8.52263,0,0,27,0,3.431,8613,5881,27,48.4076,0,0,13,18,165.215,246,0,279,0
6.25766,0,0,15,0,3.159,7867,7031,15,71.2402,0,0,13,11,214.596,261,0,294,0
5.86521,0,0,0,0,3.128,8994,7231,0,63.1432,0,0,12,0,219.318,261,0,294,0
7.57081,0,0,0,0,3.275,8609,7743,0,36.7146,0,0,13,0,252.668,261,0,294,0
13.2186,0,0,2,0,3.22,10680,3630,2,28.6263,0,0,12,1,278.236,263,0,296,0
12.8507,0,0,1,0,3.237,11535,4857,1,30.8164,0,0,13,1,260.745,264,0,297,0
13.0833,0,0,0,0,3.45,12828,7999,0,29.0697,0,0,13,0,282.124,264,0,297,0
10.497,0,0,6,0,3.694,13579,5393,6,40.7172,0,0,12,4,281.356,270,0,303,0
10.012,0,0,0,0,3.731,12528,5713,0,37.7221,0,0,13,0,261.353,270,0,303,0
11.9427,0,0,0,0,3.474,11752,5527,0,25.4715,0,0,13,0,254.27,270,0,303,0
