MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.632304,1530,0,1,183.216,2,8192,0,0,752,1,0,0,0.000448,0,1,0,1
0,0.912618,2038,0,0,197.206,2,8192,0,0,1022,0,0,0,0.000448,0,1,0,1
0,0.955291,2133,0,0,146.891,2,8192,0,0,1071,0,0,0,0.000448,0,1,0,1
0,0.855885,1912,0,0,137.27,2,8192,0,0,960,0,0,0,0.000448,0,1,0,1
0,0.872007,1947,0,0,214.966,2,8192,0,0,976,0,0,0,0.000448,0,1,0,1
0,0.83033,1854,0,1,74.713,2,8192,0,0,808,1,0,0,0.000448,0,2,0,2
0,0.892118,1993,0,0,130.056,2,8192,0,0,1001,0,0,0,0.000448,0,2,0,2
0,0.853957,1908,0,0,177.13,2,8192,0,0,959,0,0,0,0.000448,0,2,0,2
0,0.840311,1876,0,0,95.927,2,8192,0,0,942,0,0,0,0.000448,0,2,0,2
0,0.90557,2022,0,0,63.325,2,8192,0,0,1017,0,0,0,0.000448,0,2,0,2
0,0.850114,1900,0,0,148.227,2,8192,0,0,952,0,0,0,0.000448,0,2,0,2
0,0.819556,1830,0,0,80.157,2,8192,0,0,920,0,0,0,0.000448,0,2,0,2
0,0.846533,1890,0,0,159.031,2,8192,0,0,949,0,0,0,0.000448,0,2,0,2
0,0.805437,1800,0,1,47.309,2,8192,0,0,858,1,0,0,0.000448,0,3,0,3
0,0.882346,1971,0,1,148.729,2,8192,0,0,833,1,0,0,0.000448,0,4,0,4
0,0.860031,1922,0,0,149.78,2,8192,0,0,966,0,0,0,0.000448,0,4,0,4
0,0.89509,1999,0,1,120.925,2,8192,0,0,845,1,0,0,0.000448,0,5,0,5
0,0.884926,1976,0,0,191.911,2,8192,0,0,992,0,0,0,0.000448,0,5,0,5
0,0.807987,1804,0,0,112.228,2,8192,0,0,907,0,0,0,0.000448,0,5,0,5
0,0.841918,1880,0,1,59.946,2,8192,0,0,840,1,0,0,0.000448,0,6,0,6
0,0.88907,1986,0,1,53.023,2,8192,0,0,935,1,0,0,0.000448,0,7,0,7
0,0.911428,2035,0,0,81.1,2,8192,0,0,1022,0,0,0,0.000448,0,7,0,7
0,0.836267,1869,0,0,141.577,2,8192,0,0,937,0,0,0,0.000448,0,7,0,7
0,0.89678,2004,0,0,91.943,2,8192,0,0,1006,0,0,0,0.000448,0,7,0,7
0,0.867173,1937,0,1,97.441,2,8192,0,0,881,1,0,0,0.000448,0,8,0,8
0,0.91327,2042,0,0,199.733,2,8192,0,0,1024,0,0,0,0.000448,0,8,0,8
0,0.931114,2079,0,0,158.38,2,8192,0,0,1044,0,0,0,0.000448,0,8,0,8
0,0.816502,1824,0,0,110.647,2,8192,0,0,917,0,0,0,0.000448,0,8,0,8
0,0.854556,1908,0,0,53.09,2,8192,0,0,958,0,0,0,0.000448,0,8,0,8
0,0.923361,2062,0,0,154.79,2,8192,0,0,1033,0,0,0,0.000448,0,8,0,8
0,0.886825,1980,0,1,104.826,2,8192,0,0,883,1,0,0,0.000448,0,9,0,9
0,0.876148,1956,0,0,243.695,2,8192,0,0,983,0,0,0,0.000448,0,9,0,9
0,0.915644,2045,0,1,172.209,2,8192,0,0,964,1,0,0,0.000448,0,10,0,10
0,0.910481,2034,0,0,196.198,2,8192,0,0,915,0,0,0,0.000448,0,10,0,10
0,0.86782,1939,0,1,97.167,2,8192,0,0,836,1,0,0,0.000448,0,11,0,11
0,0.947705,2116,0,0,279.742,2,8192,0,0,1061,0,0,0,0.000448,0,11,0,11
0,0.876072,1956,0,0,92.239,2,8192,0,0,983,0,0,0,0.000448,0,11,0,11
0,0.83155,1858,0,1,141.106,2,8192,0,0,822,1,0,0,0.000448,0,12,0,12
