MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,5.25077,476,0,4,141.919,2,8192,0,0,157,4,0,0,0.011648,0,4,0,4
0,5.74907,494,0,15,123.737,2,8192,0,0,112,15,0,0,0.011648,0,19,0,19
0,1.083,93,0,7,119.574,2,8192,0,0,1,6,0,0,0.011648,0,25,0,26
0,3.84177,330,0,6,105.23,2,8192,0,0,88,6,0,0,0.011648,0,31,0,32
0,5.48123,471,0,15,99.544,2,8192,0,0,76,15,0,0,0.011648,0,46,0,47
0,0.616917,53,0,4,96.784,2,8192,0,0,0,4,0,0,0.011648,0,50,0,51
0,4.37801,376,0,7,125.968,2,8192,0,0,107,7,0,0,0.011648,0,57,0,58
0,5.6338,484,0,10,186.058,2,8192,0,0,90,10,0,0,0.011648,0,67,0,68
0,2.79465,240,0,8,137.162,2,8192,0,0,37,8,0,0,0.011648,0,75,0,76
0,2.11929,182,0,2,73.849,2,8192,0,0,45,2,0,0,0.011648,0,77,0,78
0,5.35324,460,0,9,160.95,2,8192,0,0,121,9,0,0,0.011648,0,86,0,87
0,5.79671,498,0,28,100.456,2,8192,0,0,35,28,0,0,0.011648,0,114,0,115
0,3.53993,304,0,33,99.88,2,8192,0,0,24,32,0,0,0.011648,0,146,0,148
0,1.88647,162,0,0,48.482,2,8192,0,0,54,0,0,0,0.011648,0,146,0,148
0,0.849809,73,0,5,96.741,2,8192,0,0,11,4,0,0,0.011648,0,150,0,153
0,2.46721,212,0,0,75.41,2,8192,0,0,82,0,0,0,0.011648,0,150,0,153
0,4.71322,405,0,4,64.004,2,8192,0,0,165,4,0,0,0.011648,0,154,0,157
0,5.41019,465,0,4,108.663,2,8192,0,0,181,4,0,0,0.011648,0,158,0,161
0,1.31579,113,0,3,127.997,2,8192,0,0,2,3,0,0,0.011648,0,161,0,164
0,3.60866,310,0,3,106.518,2,8192,0,0,97,3,0,0,0.011648,0,164,0,167
0,4.03899,347,0,5,136.221,2,8192,0,0,38,5,0,0,0.011648,0,169,0,172
0,1.42055,122,0,0,37.417,2,8192,0,0,36,0,0,0,0.011648,0,169,0,172
0,5.97167,513,0,8,100.873,2,8192,0,0,140,8,0,0,0.011648,0,177,0,180
0,5.49509,472,0,19,130.086,2,8192,0,0,49,19,0,0,0.011648,0,196,0,199
0,2.59626,223,0,19,111.325,2,8192,0,0,10,19,0,0,0.011648,0,215,0,218
0,2.15255,185,0,3,69.027,2,8192,0,0,50,3,0,0,0.011648,0,218,0,221
0,0.139738,12,0,1,74.574,2,8192,0,0,0,1,0,0,0.011648,0,219,0,222
0,4.68687,403,0,1,50.186,2,8192,0,0,180,1,0,0,0.011648,0,220,0,223
0,5.09973,438,0,1,81.749,2,8192,0,0,206,1,0,0,0.011648,0,221,0,224
0,5.33168,458,0,6,105.713,2,8192,0,0,148,6,0,0,0.011648,0,227,0,230
0,4.86739,418,0,7,184.958,2,8192,0,0,95,7,0,0,0.011648,0,234,0,237
0,4.43651,381,0,23,133.154,2,8192,0,0,20,23,0,0,0.011648,0,257,0,260
0,0.79179,68,0,0,105.809,2,8192,0,0,5,0,0,0,0.011648,0,257,0,260
0,4.98364,428,0,9,127.048,2,8192,0,0,151,9,0,0,0.011648,0,266,0,269
0,3.59621,309,0,7,202.863,2,8192,0,0,46,7,0,0,0.011648,0,273,0,276
0,1.53478,132,0,0,54.867,2,8192,0,0,40,0,0,0,0.011648,0,273,0,276
0,5.41291,465,0,7,125.023,2,8192,0,0,118,7,0,0,0.011648,0,280,0,283
0,6.06405,521,0,19,108.606,2,8192,0,0,47,19,0,0,0.011648,0,299,0,302
0,1.58371,136,0,7,97.643,2,8192,0,0,4,7,0,0,0.011648,0,306,0,309
0,3.20948,276,0,1,99.338,2,8192,0,0,95,1,0,0,0.011648,0,307,0,310
0,5.79959,498,0,14,99.916,2,8192,0,0,83,14,0,0,0.011648,0,321,0,324
0,2.89947,249,0,18,88.594,2,8192,0,0,12,17,0,0,0.011648,0,338,0,342
0,2.22115,191,0,0,86.063,2,8192,0,0,70,0,0,0,0.011648,0,338,0,342
0,6.20663,533,0,14,156.134,2,8192,0,0,120,14,0,0,0.011648,0,352,0,356
0,6.17897,531,0,9,132.919,2,8192,0,0,80,9,0,0,0.011648,0,361,0,365
0,4.32705,372,0,31,114.498,2,8192,0,0,16,31,0,0,0.011648,0,392,0,396
0,0.814816,70,0,0,90.277,2,8192,0,0,7,0,0,0,0.011648,0,392,0,396
0,5.6707,487,0,13,113.414,2,8192,0,0,162,13,0,0,0.011648,0,405,0,409
0,5.71468,491,0,15,94.334,2,8192,0,0,102,15,0,0,0.011648,0,420,0,424
