MSS,750
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,4.87354,974,0,1,64.68,16,8192,0,1,73,1,0,0,0.005648,0,1,0,1
0,5.23164,927,0,3,68.041,16,8192,0,1,54,3,0,0,0.005648,0,4,0,4
0,5.47928,971,0,2,64.447,16,8192,0,1,59,2,0,0,0.005648,0,6,0,6
0,4.09346,725,0,2,39.346,16,8192,0,1,60,2,0,0,0.005648,0,8,0,8
0,4.3006,762,0,0,39.267,16,8192,0,1,65,0,0,0,0.005648,0,8,0,8
0,4.8076,852,0,0,31.357,16,8192,0,1,71,0,0,0,0.005648,0,8,0,8
0,4.78335,848,0,1,52.989,16,8192,0,1,66,1,0,0,0.005648,0,9,0,9
0,5.06421,897,0,0,32.996,16,8192,0,1,67,0,0,0,0.005648,0,9,0,9
0,4.9656,880,0,0,51.289,16,8192,0,1,65,0,0,0,0.005648,0,9,0,9
0,4.9509,877,0,2,64.938,16,8192,0,1,60,2,0,0,0.005648,0,11,0,11
0,4.25675,754,0,2,27.842,16,8192,0,1,59,2,0,0,0.005648,0,13,0,13
0,4.21237,746,0,0,31.892,16,8192,0,1,68,0,0,0,0.005648,0,13,0,13
0,3.94154,698,0,2,60.885,16,8192,0,1,58,2,0,0,0.005648,0,15,0,15
0,3.85656,683,0,0,30.469,16,8192,0,1,68,0,0,0,0.005648,0,15,0,15
0,3.94586,699,0,0,29.689,16,8192,0,1,60,0,0,0,0.005648,0,15,0,15
0,4.00091,709,0,0,43.206,16,8192,0,1,59,0,0,0,0.005648,0,15,0,15
0,4.2665,756,0,0,28.746,16,8192,0,1,68,0,0,0,0.005648,0,15,0,15
0,4.84301,858,0,0,50.751,16,8192,0,1,71,0,0,0,0.005648,0,15,0,15
0,4.3813,776,0,2,37.23,16,8192,0,1,59,2,0,0,0.005648,0,17,0,17
0,4.77006,845,0,0,49.849,16,8192,0,1,68,0,0,0,0.005648,0,17,0,17
