SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
2,0.023245,2,0,0,0,100,2,8192,0,0,0,0,0.011648,0,0,0,0,0,1,0
0,0,2,0,0,0,100,2,8192,0,0,0,0,0.011648,0,0,0,0,0,1,0
2408,28.0398,191,0,2,0,56.448,191,8189,2,0,1267,0,318.317,2,0,2,0,1,1,-965675073705051
3285,38.2512,384,0,0,0,116.58,386,8189,0,0,1766,0,408.449,2,0,2,0,1,1,3399798209
2958,34.431,503,0,0,0,167.254,503,8189,0,0,1623,0,340.692,2,0,2,0,1,1,3374929408
3185,37.0836,601,0,0,0,199.714,605,8185,0,0,1763,0,428.693,2,0,2,0,1,1,3414516322
3123,36.3632,686,0,0,0,221.694,691,8184,0,0,1736,0,302.301,2,0,2,0,1,1,3394088288
3158,36.7413,768,0,0,0,230.63,768,8189,0,0,1759,0,390.849,2,0,2,0,1,1,3390403586
3069,35.7122,836,0,0,0,259.496,836,8188,0,0,1715,0,379.76,2,0,2,0,1,1,3379449620
3094,35.9724,900,0,0,0,291.602,900,8189,0,0,1731,0,367.308,2,0,2,0,1,1,3394489583
3090,35.9537,959,0,0,0,322.574,959,8189,0,0,1732,0,308.264,2,0,2,0,1,1,3415459710
3046,35.3897,1015,0,0,0,320.005,1015,8190,0,0,1709,0,428.227,2,0,2,0,1,1,3375948337
3117,36.2566,1069,0,0,0,335.105,1069,8187,0,0,1750,0,324.397,2,0,2,0,1,1,3391854590
3053,35.5275,1119,0,0,0,388.048,1119,8189,0,0,1716,0,440.434,2,0,2,0,1,1,3420460238
3046,35.4636,1167,0,0,0,398.613,1167,8189,0,0,1713,0,354.984,2,0,2,0,1,1,3404331430
3149,36.6637,1214,0,0,0,395.611,1214,8188,0,0,1773,0,320.204,2,0,2,0,1,1,3393855714
3057,35.5916,1259,0,0,0,420.246,1259,8189,0,0,1721,0,359.318,2,0,2,0,1,1,3380792456
3010,35.0209,1299,0,0,0,426.242,1301,8189,0,0,1697,0,454.19,2,0,2,0,1,1,3410127310
2992,34.804,1342,0,0,0,438.646,1342,8189,0,0,1685,0,456.287,2,0,2,0,1,1,3372272247
3122,36.3386,1383,0,0,0,453.222,1383,8190,0,0,1761,0,374.623,2,0,2,0,1,1,3416837279
3170,36.9036,1424,0,0,0,442.335,1424,8190,0,0,1788,0,284.992,2,0,2,0,1,1,3384559822
3118,36.3044,1463,0,0,0,461.433,1463,8189,0,0,1759,0,434.622,2,0,2,0,1,1,3396500566
3298,38.3762,1503,0,0,0,451.342,1503,8189,0,0,1862,0,416.626,2,0,2,0,1,1,3400409758
3188,37.1168,1541,0,0,0,466.894,1541,8189,0,0,1800,0,363.266,2,0,2,0,1,1,3394372073
3142,36.5519,1577,0,0,0,511.671,1577,8190,0,0,1775,0,385.386,2,0,2,0,1,1,3393849377
3137,36.501,1613,0,0,0,498.749,1613,8190,0,0,1772,0,389.253,2,0,2,0,1,1,3391637086
3230,37.6063,1649,0,0,0,521.23,1649,8188,0,0,1825,0,345.48,2,0,2,0,1,1,3403017336
3108,36.1855,1682,0,0,0,546.798,1683,8189,0,0,1757,0,413.399,2,0,2,0,1,1,3394917284
