SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
3378,38.2971,312,0,0,0,97.336,312,8189,0,0,1534,0,184.143,0,0,0,0,0,1,-934465938659599
3172,36.9372,441,0,0,0,132.221,441,8185,0,0,1522,0,183.258,0,0,0,0,0,1,3385663757
3105,36.1563,539,0,0,0,178.686,539,8189,0,0,1504,0,1324.25,0,0,0,0,0,1,3407163439
2879,33.5135,615,0,0,0,198.969,617,8189,0,0,1403,0,796.665,0,0,0,0,0,1,3394876394
3156,36.7087,692,0,0,0,220.798,692,8189,0,0,1542,0,256.501,0,0,0,0,0,1,3389793382
3161,36.811,758,0,0,0,243.31,760,8189,0,0,1548,0,265.33,0,0,0,0,0,1,3400556686
3130,36.4263,822,0,0,0,259.133,822,8189,0,0,1533,0,1070.79,0,0,0,0,0,1,3380336890
3161,36.796,880,0,0,0,278.023,880,8189,0,0,1552,0,216.303,0,0,0,0,0,1,3409018843
3225,37.5567,936,0,0,0,288.714,936,8189,0,0,1585,0,1104.14,0,0,0,0,0,1,3341164899
3212,37.4004,989,0,0,0,314.315,989,8189,0,0,1580,0,1124.23,0,0,0,0,0,1,3443625224
3284,38.2419,1040,0,0,0,314.784,1040,8189,0,0,1617,0,253.891,0,0,0,0,0,1,3393855376
3320,38.6349,1089,0,0,0,324.283,1089,8189,0,0,1636,0,661.537,0,0,0,0,0,1,3389827038
3195,37.1964,1134,0,0,0,358.752,1134,8189,0,0,1576,0,670.424,0,0,0,0,0,1,3395478752
3173,36.8986,1178,0,0,0,363.712,1178,8189,0,0,1565,0,646.883,0,0,0,0,0,1,3333620043
3263,37.9506,1221,0,0,0,375.786,1221,8187,0,0,1611,0,289.639,0,0,0,0,0,1,3452585791
3068,35.7111,1260,0,0,0,406.189,1260,8189,0,0,1516,0,350.29,0,0,0,0,0,1,3387458842
3074,35.7853,1298,0,0,0,416.69,1298,8189,0,0,1521,0,547.934,0,0,0,0,0,1,3387219143
3084,35.9156,1333,0,0,0,434.859,1335,8189,0,0,1526,0,1264.59,0,0,0,0,0,1,3422141368
