SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
4463,50.5017,1489,0,1,0,307.047,1489,8189,1,0,1487,1,304.572,1,1,1,0,0,1,-935621545136407
4478,52.075,2982,0,0,0,681.51,2982,8189,0,0,1493,0,1507.79,1,1,1,0,0,1,3418960657
4662,54.1787,4536,0,0,0,702.395,4536,8189,0,0,1554,0,1041.3,1,1,1,0,0,1,3361793592
4773,55.5544,6127,0,0,0,702.395,6127,8189,0,0,1591,0,1153.28,1,1,1,0,0,1,3445684831
4600,53.454,7661,0,0,0,702.395,7661,8189,0,0,1534,0,950.558,1,1,1,0,0,1,3393931507
3494,40.6575,8189,0,0,0,702.395,9145,8189,0,0,1484,0,1011.13,1,1,1,0,0,1,3405043050
2133,24.8143,8191,0,1360,0,702.395,9531,8191,1360,0,386,68,1074.4,1361,69,1361,0,0,1,871849785
888,10.3404,8189,0,865,0,1562.48,9544,8189,865,0,13,165,1011.43,2226,234,2226,0,0,1,5893280187
1,0.0116434,8189,0,1,0,1562.48,9544,8189,1,0,0,1,1011.43,2227,235,2227,0,0,1,0
0,0,8189,0,0,0,1562.48,9544,8189,0,0,0,0,1011.43,2227,235,2227,0,0,1,0
0,0,8189,0,0,0,1562.48,9544,8189,0,0,0,0,1011.43,2227,235,2227,0,0,1,0
0,0,8189,0,0,0,1562.48,9544,8189,0,0,0,0,1011.43,2227,235,2227,0,0,1,0
0,0,8189,0,0,0,1562.48,9544,8189,0,0,0,0,1011.43,2227,235,2227,0,0,1,0
976,11.3594,191,0,8189,0,34.32,191,8189,409,0,189,0,512.046,2636,235,10416,0,1,1,20379931622
4827,56.2094,1799,0,0,0,360.611,1801,8189,0,0,1610,0,1393.88,2636,235,10416,0,1,1,3410896054
4726,55.0262,3370,0,0,0,658.129,3378,8183,0,0,1577,0,333.144,2636,235,10416,0,1,1,3392514911
3851,44.8416,4094,0,0,0,658.129,4094,8189,0,0,1565,0,1157.33,2636,235,10416,0,1,1,3380984834
3111,36.2059,4077,0,0,0,658.129,4094,8187,0,0,1564,0,1141.56,2636,235,10416,0,1,1,3408908673
