SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
33,0.343219,0,0,1,0,40.006,385,8190,1,25561,16,1,10.2852,1,1,1,0,0,0,-936776777897579
184,2.14244,3,0,0,0,2.269,18,8187,0,4345.52,60,0,11.8111,1,1,1,0,0,0,3427140354
274,3.18906,5,0,0,0,2.952,18,8188,0,3411.55,69,0,12.3585,1,1,1,0,0,0,3397674586
343,3.99266,6,0,0,0,2.956,19,8187,0,2792.34,69,0,13.1739,1,1,1,0,0,0,3404616218
437,5.08229,10,0,0,0,3.609,23,8186,0,2065.59,69,0,15.8529,1,1,1,0,0,0,3363396510
2444,28.4477,197,0,0,0,31.772,1660,8150,0,216.726,78,0,535.4,1,1,1,0,0,0,3450902727
9295,108.246,5956,0,0,0,331.826,12516,8148,0,68.4268,82,0,510.66,1,1,1,0,0,0,3358394746
5825,67.8324,8159,0,0,0,883.435,128505,8159,0,49.7161,80,0,1045.26,1,1,1,0,0,0,3417142437
3498,40.7191,8161,0,0,0,1564.41,185827,8161,0,24.8052,79,0,1154.77,1,1,1,0,0,0,3392995106
3519,40.9595,8159,0,0,0,2267.42,278036,8159,0,21.7796,82,0,1467.8,1,1,1,0,0,0,3361718942
3601,41.9342,8133,0,0,0,2245.82,278456,8133,0,20.1748,81,0,1060.98,1,1,1,0,0,0,3397551086
886,10.3102,8144,0,13,0,2247.08,291978,8144,13,39,20,13,1567.42,14,14,14,0,0,0,852964036
0,0,8144,0,0,0,2247.08,291978,8144,0,39,0,0,1567.42,14,14,14,0,0,0,0
9718,113.07,8128,0,0,0,890.108,46364,8128,0,36.6016,38,0,800.206,14,14,14,0,0,0,9338013427
3323,38.6897,8119,0,0,0,826.832,32791,8148,0,32.7857,78,0,690.377,14,14,14,0,0,0,3403944735
3707,43.1667,8155,0,0,0,1476.17,158257,8155,0,29.5149,82,0,1395.66,14,14,14,0,0,0,3396406830
3567,41.534,8159,0,0,0,2281.01,239478,8159,0,26.3984,81,0,568.364,14,14,14,0,0,0,3385915366
3419,39.8106,8138,0,0,0,2265.23,151981,8138,0,24.539,77,0,1428.67,14,14,14,0,0,0,3314229607
3737,43.4953,8128,0,0,0,2258.27,220156,8128,0,23.0139,79,0,809.396,14,14,14,0,0,0,3473612261
2704,31.4723,8145,0,22,0,2240.15,271386,8145,22,40,60,22,1099.36,36,36,36,0,0,0,2496852306
0,0,8145,0,0,0,2240.15,271386,8145,0,40,0,0,1099.36,36,36,36,0,0,0,0
0,0,8145,0,0,0,2240.15,271386,8145,0,40,0,0,1099.36,36,36,36,0,0,0,0
11045,128.589,8046,0,0,0,725.128,82556,8128,0,33.6698,71,0,1266.06,36,36,36,0,0,0,11120456874
3243,37.7166,7811,0,0,0,1072.82,115838,8152,0,30.0209,76,0,1233.16,36,36,36,0,0,0,3382541008
3651,42.5139,8120,0,0,0,1949.66,100187,8120,0,26.6877,76,0,918.305,36,36,36,0,0,0,3199024296
3945,45.9055,8161,0,0,0,2243.02,178540,8161,0,24.4079,84,0,1260.69,36,36,36,0,0,0,3549365898
2752,32.0255,8162,0,4,0,2241.92,203488,8162,4,34,59,4,1197.06,40,40,40,0,0,0,2653479771
17,0.19755,8162,0,17,0,2241.92,203488,8162,17,34,0,17,1197.06,57,57,57,0,0,0,0
29,0.337529,7956,0,0,0,2240.73,234226,7956,0,34,1,0,1245.97,57,57,57,0,0,0,7578087949
10542,122.698,8133,0,0,0,509.509,85748,8133,0,30.8527,54,0,1210.5,57,57,57,0,0,0,3340980583
3708,43.1809,8138,0,0,0,915.668,52013,8151,0,27.1945,82,0,979.154,57,57,57,0,0,0,3443545566
3643,42.4191,8143,0,0,0,1649.56,316248,8143,0,25.118,79,0,1722.56,57,57,57,0,0,0,3367296564
3578,41.6611,8076,0,0,0,2228.99,91066,8076,0,22.3653,82,0,620.279,57,57,57,0,0,0,3416124506
3804,44.2448,8141,0,0,0,2189.76,252196,8141,0,20.1603,83,0,1388.93,57,57,57,0,0,0,3362442071
3787,44.0705,8135,0,0,0,2151.27,283070,8137,0,18.4836,84,0,1489.53,57,57,57,0,0,0,3441728289
509,5.90845,8159,0,10,0,2151.28,227397,8159,10,24,10,10,1391.69,67,67,67,0,0,0,504430338
0,0,8159,0,0,0,2151.28,227397,8159,0,24,0,0,1391.69,67,67,67,0,0,0,0
9816,114.202,8135,0,0,0,1144.97,114410,8135,0,22.6413,42,0,1176.33,67,67,67,0,0,0,9675555260
3618,42.0947,8143,0,0,0,945.252,82947,8143,0,20.3389,78,0,877.572,67,67,67,0,0,0,3400000620
3613,42.0726,8102,0,0,0,1492.47,236533,8158,0,18.5126,81,0,1209.54,67,67,67,0,0,0,3403392771
3586,41.7592,8093,0,0,0,2232.8,259778,8093,0,17.0017,78,0,1535.66,67,67,67,0,0,0,3360308510
3581,41.6517,8148,0,0,0,2258.82,246065,8148,0,15.5239,82,0,1186.65,67,67,67,0,0,0,3412821874
1368,15.9226,8186,0,23,0,2258.08,435063,8186,23,21,30,23,781.592,90,90,90,0,0,0,1233966049
0,0,8186,0,0,0,2258.08,435063,8186,0,21,0,0,781.592,90,90,90,0,0,0,0
9706,113.03,8106,0,15,0,246.782,45501,8138,15,22.6877,42,15,1254.01,105,105,105,0,0,0,8959470917
