SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
28,0.325322,16,0,24,0,100,16,8192,12,70313,0,1,0.011648,12,1,24,0,1,0,0
15,0.174681,10,0,10,0,100,17,8191,13,67014.6,8,0,7.61779,25,1,34,0,3,0,-954342429730301
16,0.186279,10,0,0,0,246.63,18,8190,7,62026.6,3,0,8.93402,32,1,34,0,4,0,4347936695
15,0.174644,19,0,0,0,571.007,21,8190,0,25561,6,0,10.2386,32,1,34,0,4,0,3586326527
17,0.19785,24,0,0,0,881.229,24,8190,0,7086.06,12,0,11.3335,32,1,34,0,4,0,3195377486
15,0.174652,27,0,0,0,1153.96,27,8190,0,6245.23,10,0,11.5315,32,1,34,0,4,0,3511969330
14,0.162994,30,0,0,0,1480.06,30,8190,0,5912.89,9,0,11.5665,32,1,34,0,4,0,3380438189
7,0.0815096,30,0,0,0,1695.74,30,8190,0,5776.27,6,0,11.5665,32,1,34,0,4,0,3003904513
20,0.232769,34,0,0,0,2093.27,34,8189,0,5490.82,12,0,11.5665,32,1,34,0,4,0,3347425034
20,0.232813,43,0,0,0,2313.79,43,8190,0,5315.7,8,0,11.5665,32,1,34,0,4,0,3381512575
1,0.0116429,36,0,0,0,2475.79,35,8190,0,5151.4,6,0,11.5665,32,1,34,0,4,0,3632039168
7,0.0814916,36,0,7,0,2475.79,35,8190,7,8255,0,4,11.5665,39,5,41,0,4,0,0
0,0,36,0,0,0,2475.79,35,8190,0,8255,0,0,11.5665,39,5,41,0,4,0,0
35,0.407528,35,0,0,0,2370.94,35,8166,0,8120.92,4,0,11.5665,39,5,41,0,4,0,7693049270
0,0,35,0,0,0,2370.94,35,8166,0,8120.92,0,0,11.5665,39,5,41,0,4,0,0
116,1.35059,116,0,0,0,2132.19,116,8190,0,7187.07,22,0,11.5665,39,5,41,0,4,0,8930347463
0,0,116,0,0,0,2132.19,116,8190,0,7187.07,0,0,11.5665,39,5,41,0,4,0,0
61,0.710151,137,0,5,0,2322.58,179,8190,5,8320,18,2,11.6829,44,7,46,0,4,0,7022240326
42,0.489059,179,0,0,0,2322.58,179,8190,0,8320,0,0,11.6829,44,7,46,0,4,0,0
42,0.489056,140,0,1,0,2211.09,184,8117,1,9273.2,2,1,11.7179,45,8,47,0,4,0,6255037262
44,0.512321,184,0,0,0,2211.09,184,8117,0,9273.2,0,0,11.7179,45,8,47,0,4,0,0
89,1.03583,114,0,0,0,1817.08,185,8190,0,7643.06,29,0,11.846,45,8,47,0,4,0,7803042736
43,0.500593,132,0,0,0,1809.57,128,8190,0,7100.38,15,0,11.8577,45,8,47,0,4,0,1059439918
96,1.1177,155,0,0,0,1985.76,155,8188,0,5560.57,32,0,11.4733,45,8,47,0,4,0,5206435733
124,1.44384,220,0,0,0,2119.3,220,8190,0,5004.06,28,0,11.1355,45,8,47,0,4,0,2092464533
74,0.861285,215,0,0,0,2216.57,245,8190,0,3612.23,32,0,48.1062,45,8,47,0,4,0,5222470318
174,2.02585,249,0,0,0,2298.98,249,8190,0,301.492,57,0,177.877,45,8,47,0,4,0,3257298296
59,0.686987,274,0,0,0,2322,274,8187,0,237.144,14,0,178.948,45,8,47,0,4,0,3513579098
141,1.6418,313,0,2,0,2353.66,313,8189,2,193,37,2,180.311,47,10,49,0,4,0,2545096883
2,0.0232409,313,0,2,0,2353.66,313,8189,2,218,0,2,180.311,49,12,51,0,4,0,0
7,0.0814958,313,0,7,0,2353.66,313,8189,7,218,0,7,180.311,56,19,58,0,4,0,0
82,0.954959,274,0,0,0,2378.97,274,8143,0,216.583,4,0,235.814,56,19,58,0,4,0,9258264430
1468,17.0973,1473,0,0,0,2132,109523,8184,0,211.544,19,0,289.08,56,19,58,0,4,0,4859655166
5083,59.1927,6409,0,0,0,1805.62,154104,8184,0,205.882,31,0,284.409,56,19,58,0,4,0,3395705715
2867,33.3815,8184,0,0,0,1846.95,182024,8184,0,103.765,171,0,1462.56,56,19,58,0,4,0,3717769373
1911,22.2434,8188,0,182,0,1884.33,187416,8188,182,34,265,9,1290.82,238,28,240,0,4,0,3112918222
3039,35.3647,8188,0,3039,0,1884.33,187416,8188,3039,34,0,162,1290.82,3277,190,3279,0,4,0,0
