SendPacket,SendRate(Mb/s),FlightSize,ReceiveRate(Mb/s),Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total,NAK_TotalRecv,Total Send Loss,Total Recv Loss,Timeout,ExpCount,usSndDuration
2,0.0226863,2,0,0,0,100,2,8192,0,0,0,0,0.011648,0,0,0,0,0,1,0
8,0.093103,3,0,2,0,113.666,3,8190,2,0,4,0,4.79898,2,0,2,0,1,1,-957551570879242
9,0.104798,5,0,0,0,186.042,5,8190,0,0,5,0,8.11866,2,0,2,0,1,1,3137092806
11,0.128087,6,0,0,0,280.742,6,8189,0,0,6,0,10.0406,2,0,2,0,1,1,3279216522
11,0.128092,7,0,0,0,379.503,7,8189,0,0,7,0,10.9142,2,0,2,0,1,1,3559155676
12,0.139669,8,0,0,0,477.797,8,8190,0,0,10,0,11.3684,2,0,2,0,1,1,3119411134
12,0.139705,9,0,0,0,566.927,9,8189,0,0,9,0,11.5199,2,0,2,0,1,1,3407182992
11,0.128072,10,0,0,0,649.503,10,8190,0,0,9,0,11.5665,2,0,2,0,1,1,3677021793
11,0.127945,11,0,0,0,753.424,11,8190,0,0,8,0,11.5665,2,0,2,0,1,1,3595216827
10,0.116436,11,0,0,0,859.181,11,8189,0,0,7,0,11.5665,2,0,2,0,1,1,3374400303
7,0.0814668,12,0,0,0,940.997,12,8190,0,0,4,0,11.5665,2,0,2,0,1,1,2279031865
11,0.128087,12,0,0,0,1133.2,12,8189,0,0,8,0,11.5665,2,0,2,0,1,1,4169369891
6,0.0697935,13,0,0,0,1232.12,13,8189,0,0,4,0,11.5665,2,0,2,0,1,1,3672698954
7,0.0814956,13,0,0,0,1386.65,13,8190,0,0,5,0,11.5665,2,0,2,0,1,1,2816891522
3,0.0349331,13,0,0,0,1488.36,13,8190,0,0,3,0,11.5665,2,0,2,0,1,1,4046520310
10,0.116394,14,0,0,0,1682.22,14,8189,0,0,6,0,11.5665,2,0,2,0,1,1,3130053932
3,0.0349291,14,0,0,0,1767.66,14,8190,0,0,3,0,11.5665,2,0,2,0,1,1,3587515289
11,0.128031,14,0,0,0,1907.04,14,8189,0,0,8,0,11.5665,2,0,2,0,1,1,3293578922
2,0.023283,14,0,0,0,1928.19,14,8190,0,0,2,0,11.5665,2,0,2,0,1,1,1409279943
13,0.15136,15,0,0,0,2033.51,15,8189,0,0,9,0,11.5665,2,0,2,0,1,1,5494988589
2,0.0232794,15,0,0,0,2039.58,15,8190,0,0,2,0,11.5665,2,0,2,0,1,1,1117196270
14,0.163002,16,0,0,0,2016.08,16,8189,0,0,9,0,11.5665,2,0,2,0,1,1,5413743939
2,0.0232847,16,0,0,0,2007.27,16,8190,0,0,2,0,11.5665,2,0,2,0,1,1,1655546379
13,0.151356,16,0,0,0,2000.68,16,8190,0,0,9,0,11.5665,2,0,2,0,1,1,5220538655
4,0.0465748,17,0,0,0,2004.1,17,8190,0,0,3,0,11.5665,2,0,2,0,1,1,2041741951
13,0.151307,17,0,0,0,2006.75,17,8189,0,0,7,0,11.5665,2,0,2,0,1,1,4842269897
4,0.0465727,17,0,0,0,2009.37,17,8190,0,0,3,0,11.5665,2,0,2,0,1,1,2473271720
8,0.0931351,17,0,0,0,2027.13,17,8189,0,0,5,0,11.5665,2,0,2,0,1,1,2448658283
10,0.116428,18,0,0,0,2074.12,18,8190,0,0,7,0,11.5665,2,0,2,0,1,1,5127430253
8,0.0931497,18,0,0,0,2091.01,18,8190,0,0,6,0,11.5665,2,0,2,0,1,1,1969008046
10,0.116384,19,0,0,0,2082.52,19,8190,0,0,7,0,11.5665,2,0,2,0,1,1,3960476320
9,0.104792,19,0,0,0,2059.59,19,8190,0,0,7,0,11.5665,2,0,2,0,1,1,2942390577
10,0.116425,19,0,0,0,2043.94,19,8189,0,0,6,0,11.5665,2,0,2,0,1,1,4084379729
