MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.0153024,40,0,1,33.157,16,8192,0,1,21,1,0,0,0.000448,0,1,0,1
0,0.0268754,60,0,0,38.292,16,8192,0,1,36,0,0,0,0.000448,0,1,0,1
0,0.0474445,106,0,0,30.735,16,8192,0,1,41,0,0,0,0.000448,0,1,0,1
0,0.0747477,167,0,0,25.82,16,8192,0,1,52,0,0,0,0.000448,0,1,0,1
0,0.102097,228,0,0,32.407,16,8192,0,1,51,0,0,0,0.000448,0,1,0,1
0,0.150383,336,0,0,40.71,16,8192,0,1,48,0,0,0,0.000448,0,1,0,1
0,1.47625,3298,0,0,26.247,16,8192,0,1,57,0,0,0,0.000448,0,1,0,1
0,2.29964,5136,0,0,32.454,16,8192,0,1,72,0,0,0,0.000448,0,1,0,1
0,2.4835,5545,0,0,24.19,16,8192,0,1,75,0,0,0,0.000448,0,1,0,1
0,2.24851,5020,0,0,22.515,16,8192,0,1,75,0,0,0,0.000448,0,1,0,1
0,2.23752,4997,0,0,28.877,16,8192,0,1,77,0,0,0,0.000448,0,1,0,1
0,2.29438,5123,0,0,28.748,16,8192,0,1,79,0,0,0,0.000448,0,1,0,1
0,2.2067,4930,0,0,30.727,16,8192,0,1,76,0,0,0,0.000448,0,1,0,1
0,2.30805,5153,0,0,22.609,16,8192,0,1,72,0,0,0,0.000448,0,1,0,1
0,2.28375,5099,0,0,21.206,16,8192,0,1,78,0,0,0,0.000448,0,1,0,1
0,2.40376,5367,0,0,22.745,16,8192,0,1,73,0,0,0,0.000448,0,1,0,1
0,2.15939,4824,0,0,20.852,16,8192,0,1,77,0,0,0,0.000448,0,1,0,1
0,2.2169,4961,0,0,29.507,16,8192,0,1,75,0,0,0,0.000448,0,1,0,1
0,2.22747,4974,0,0,28.12,16,8192,0,1,73,0,0,0,0.000448,0,1,0,1
0,2.11924,4740,0,0,30.502,16,8192,0,1,77,0,0,0,0.000448,0,1,0,1
0,2.4039,5368,0,1,20.864,16,8192,0,1,71,1,0,0,0.000448,0,2,0,2
0,2.44429,5458,0,0,22.446,16,8192,0,1,75,0,0,0,0.000448,0,2,0,2
0,2.44463,5458,0,0,33.337,16,8192,0,1,76,0,0,0,0.000448,0,2,0,2
0,2.19427,4902,0,0,24.804,16,8192,0,1,76,0,0,0,0.000448,0,2,0,2
0,2.20437,4923,0,0,27.836,16,8192,0,1,75,0,0,0,0.000448,0,2,0,2
0,2.31197,5162,0,0,24.399,16,8192,0,1,73,0,0,0,0.000448,0,2,0,2
