MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,3.45635,326,0,2,50.733,2,8192,0,0,129,2,0,0,0.011648,0,2,0,2
0,4.25787,366,0,3,73.387,2,8192,0,0,159,3,0,0,0.011648,0,5,0,5
0,4.6428,399,0,5,52.616,2,8192,0,0,154,5,0,0,0.011648,0,10,0,10
0,4.06438,350,0,7,109.805,2,8192,0,0,131,7,0,0,0.011648,0,17,0,17
0,4.60852,396,0,4,89.964,2,8192,0,0,113,4,0,0,0.011648,0,21,0,21
0,4.42484,380,0,4,50.444,2,8192,0,0,88,4,0,0,0.011648,0,25,0,25
0,4.09876,353,0,1,38.354,2,8192,0,0,150,1,0,0,0.011648,0,26,0,26
0,4.31906,372,0,0,57.143,2,8192,0,0,194,0,0,0,0.011648,0,26,0,26
0,4.94742,425,0,3,50.951,2,8192,0,0,176,3,0,0,0.011648,0,29,0,29
0,4.02729,348,0,3,87.747,2,8192,0,0,143,3,0,0,0.011648,0,32,0,32
0,4.37509,376,0,8,127.031,2,8192,0,0,71,8,0,0,0.011648,0,40,0,40
0,4.50316,387,0,15,89.534,2,8192,0,0,16,15,0,0,0.011648,0,55,0,55
0,4.43428,381,0,8,118.862,2,8192,0,0,108,8,0,0,0.011648,0,63,0,63
0,4.48343,385,0,11,97.113,2,8192,0,0,17,11,0,0,0.011648,0,74,0,74
0,4.38874,377,0,5,130.779,2,8192,0,0,104,5,0,0,0.011648,0,79,0,79
0,4.57646,393,0,13,118.773,2,8192,0,0,55,13,0,0,0.011648,0,92,0,92
0,2.90854,250,0,8,40.123,2,8192,0,0,37,8,0,0,0.011648,0,100,0,100
0,3.4554,297,0,2,65.463,2,8192,0,0,95,2,0,0,0.011648,0,102,0,102
0,4.60934,396,0,2,81.718,2,8192,0,0,182,2,0,0,0.011648,0,104,0,104
0,4.12057,354,0,3,82.885,2,8192,0,0,140,3,0,0,0.011648,0,107,0,107
0,3.99989,344,0,5,68.788,2,8192,0,0,88,5,0,0,0.011648,0,112,0,112
0,4.28018,368,0,3,45.032,2,8192,0,0,149,3,0,0,0.011648,0,115,0,115
0,3.97755,342,0,3,93.239,2,8192,0,0,144,3,0,0,0.011648,0,118,0,118
0,4.16829,358,0,7,111.043,2,8192,0,0,111,7,0,0,0.011648,0,125,0,125
0,4.9812,428,0,17,158.564,2,8192,0,0,74,17,0,0,0.011648,0,142,0,142
0,4.15236,357,0,34,122.716,2,8192,0,0,21,34,0,0,0.011648,0,176,0,176
0,3.86458,332,0,1,54.804,2,8192,0,0,88,1,0,0,0.011648,0,177,0,177
0,4.27198,367,0,5,87.426,2,8192,0,0,148,5,0,0,0.011648,0,182,0,182
0,3.33962,287,0,3,91.295,2,8192,0,0,102,3,0,0,0.011648,0,185,0,185
0,4.27368,367,0,5,125.846,2,8192,0,0,115,5,0,0,0.011648,0,190,0,190
0,4.57662,394,0,9,161.234,2,8192,0,0,65,9,0,0,0.011648,0,199,0,199
0,2.10606,181,0,2,60.25,2,8192,0,0,44,2,0,0,0.011648,0,201,0,201
0,4.91435,422,0,9,132.504,2,8192,0,0,105,9,0,0,0.011648,0,210,0,210
0,3.57157,307,0,30,120.645,2,8192,0,0,18,30,0,0,0.011648,0,240,0,240
0,3.90018,335,0,5,128.533,2,8192,0,0,94,5,0,0,0.011648,0,245,0,245
0,3.16551,272,0,3,68.487,2,8192,0,0,54,3,0,0,0.011648,0,248,0,248
0,4.5177,388,0,3,50.657,2,8192,0,0,139,3,0,0,0.011648,0,251,0,251
