MSS,500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,3.57017,1086,0,6,80.393,2,8192,0,0,332,6,0,0,0.003648,0,6,0,6
0,4.25797,1168,0,34,92.493,2,8192,0,0,47,34,0,0,0.003648,0,40,0,40
0,2.72974,750,0,1,90.242,2,8192,0,0,181,1,0,0,0.003648,0,41,0,41
0,4.18425,1148,0,6,101.246,2,8192,0,0,389,6,0,0,0.003648,0,47,0,47
0,4.55519,1250,0,7,82.662,2,8192,0,0,334,7,0,0,0.003648,0,54,0,54
0,3.90566,1071,0,9,103.092,2,8192,0,0,214,9,0,0,0.003648,0,63,0,63
0,4.32414,1187,0,8,94.913,2,8192,0,0,303,8,0,0,0.003648,0,71,0,71
0,4.47407,1228,0,6,71.225,2,8192,0,0,337,6,0,0,0.003648,0,77,0,77
0,4.20898,1155,0,23,81.386,2,8192,0,0,74,23,0,0,0.003648,0,100,0,100
0,2.70926,743,0,14,81.038,2,8192,0,0,148,14,0,0,0.003648,0,114,0,114
0,3.8292,1050,0,7,67.115,2,8192,0,0,362,7,0,0,0.003648,0,121,0,121
0,4.3024,1180,0,2,72.206,2,8192,0,0,502,2,0,0,0.003648,0,123,0,123
0,3.81938,1048,0,5,84.843,2,8192,0,0,320,5,0,0,0.003648,0,128,0,128
0,3.69378,1014,0,6,94.653,2,8192,0,0,334,6,0,0,0.003648,0,134,0,134
0,3.8991,1070,0,4,69.146,2,8192,0,0,376,4,0,0,0.003648,0,138,0,138
0,3.88278,1065,0,4,95.316,2,8192,0,0,374,4,0,0,0.003648,0,142,0,142
0,4.0028,1098,0,7,65.747,2,8192,0,0,381,7,0,0,0.003648,0,149,0,149
0,4.27612,1173,0,7,51.584,2,8192,0,0,412,7,0,0,0.003648,0,156,0,156
0,3.71218,1018,0,4,139.748,2,8192,0,0,347,4,0,0,0.003648,0,160,0,160
0,3.97043,1090,0,6,139.481,2,8192,0,0,316,6,0,0,0.003648,0,166,0,166
0,3.99556,1096,0,5,98.093,2,8192,0,0,328,5,0,0,0.003648,0,171,0,171
0,4.31088,1182,0,6,81.359,2,8192,0,0,368,6,0,0,0.003648,0,177,0,177
0,4.00373,1098,0,3,76.008,2,8192,0,0,391,3,0,0,0.003648,0,180,0,180
0,3.79293,1040,0,4,61.346,2,8192,0,0,275,4,0,0,0.003648,0,184,0,184
0,3.85479,1057,0,5,129.525,2,8192,0,0,323,5,0,0,0.003648,0,189,0,189
0,3.69446,1013,0,4,86.877,2,8192,0,0,359,4,0,0,0.003648,0,193,0,193
0,4.31046,1183,0,6,62.677,2,8192,0,0,361,6,0,0,0.003648,0,199,0,199
0,4.07303,1118,0,8,75.991,2,8192,0,0,286,8,0,0,0.003648,0,207,0,207
0,4.05244,1112,0,5,74.714,2,8192,0,0,301,5,0,0,0.003648,0,212,0,212
0,4.1614,1142,0,5,89.424,2,8192,0,0,312,5,0,0,0.003648,0,217,0,217
0,4.53006,1243,0,8,65.615,2,8192,0,0,316,8,0,0,0.003648,0,225,0,225
0,4.1541,1140,0,5,117.39,2,8192,0,0,377,5,0,0,0.003648,0,230,0,230
0,4.03693,1107,0,4,88.171,2,8192,0,0,310,4,0,0,0.003648,0,234,0,234
0,4.26577,1170,0,6,104.392,2,8192,0,0,356,6,0,0,0.003648,0,240,0,240
0,4.23454,1162,0,3,74.219,2,8192,0,0,404,3,0,0,0.003648,0,243,0,243
0,4.02481,1106,0,5,94.444,2,8192,0,0,393,5,0,0,0.003648,0,248,0,248
0,3.964,1087,0,7,134.294,2,8192,0,0,313,7,0,0,0.003648,0,255,0,255
0,2.45056,672,0,1,73.49,2,8192,0,0,224,1,0,0,0.003648,0,256,0,256
0,3.72448,1024,0,3,67.14,2,8192,0,0,435,3,0,0,0.003648,0,259,0,259
0,3.40921,935,0,4,80.34,2,8192,0,0,346,4,0,0,0.003648,0,263,0,263
0,3.70833,1017,0,3,66.253,2,8192,0,0,430,3,0,0,0.003648,0,266,0,266
0,3.80343,1043,0,3,106.582,2,8192,0,0,385,3,0,0,0.003648,0,269,0,269
0,3.3543,920,0,1,36.976,2,8192,0,0,364,1,0,0,0.003648,0,270,0,270
0,3.96405,1087,0,0,39.597,2,8192,0,0,548,0,0,0,0.003648,0,270,0,270
0,3.94749,1083,0,0,42.4,2,8192,0,0,549,0,0,0,0.003648,0,270,0,270
0,3.55184,974,0,3,64.348,2,8192,0,0,392,3,0,0,0.003648,0,273,0,273
0,3.92501,1077,0,3,58.613,2,8192,0,0,430,3,0,0,0.003648,0,276,0,276
0,3.12963,859,0,2,40.449,2,8192,0,0,336,2,0,0,0.003648,0,278,0,278
0,3.83558,1052,0,0,31.66,2,8192,0,0,530,0,0,0,0.003648,0,278,0,278
0,3.52868,968,0,0,54.588,2,8192,0,0,490,0,0,0,0.003648,0,278,0,278
0,3.57201,983,0,1,78.897,2,8192,0,0,482,1,0,0,0.003648,0,279,0,279
0,3.78901,1039,0,1,56.004,2,8192,0,0,481,1,0,0,0.003648,0,280,0,280
0,3.42062,938,0,4,85.929,2,8192,0,0,338,4,0,0,0.003648,0,284,0,284
0,3.71111,1018,0,2,95.292,2,8192,0,0,462,2,0,0,0.003648,0,286,0,286
0,2.8957,796,0,1,31.065,2,8192,0,0,326,1,0,0,0.003648,0,287,0,287
0,3.51411,964,0,0,47.385,2,8192,0,0,486,0,0,0,0.003648,0,287,0,287
0,3.27842,899,0,0,72.532,2,8192,0,0,458,0,0,0,0.003648,0,287,0,287
0,3.64535,1000,0,2,60.166,2,8192,0,0,444,2,0,0,0.003648,0,289,0,289
0,3.80637,1044,0,1,68.375,2,8192,0,0,494,1,0,0,0.003648,0,290,0,290
0,3.51921,966,0,0,67.242,2,8192,0,0,492,0,0,0,0.003648,0,290,0,290
0,3.61068,991,0,4,64.822,2,8192,0,0,380,4,0,0,0.003648,0,294,0,294
0,3.39511,931,0,2,36.707,2,8192,0,0,347,2,0,0,0.003648,0,296,0,296
0,2.83231,777,0,0,68.778,2,8192,0,0,397,0,0,0,0.003648,0,296,0,296
0,3.53968,971,0,0,46.283,2,8192,0,0,492,0,0,0,0.003648,0,296,0,296
0,3.29324,904,0,0,58.566,2,8192,0,0,458,0,0,0,0.003648,0,296,0,296
