MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,2.70758,252,0,4,63.348,2,8192,0,0,71,4,0,0,0.011648,0,4,0,4
0,2.67716,230,0,2,83.578,2,8192,0,0,79,2,0,0,0.011648,0,6,0,6
0,3.09756,266,0,5,81.948,2,8192,0,0,71,5,0,0,0.011648,0,11,0,11
0,3.13141,269,0,2,92.043,2,8192,0,0,106,2,0,0,0.011648,0,13,0,13
0,3.16689,272,0,3,85.366,2,8192,0,0,104,3,0,0,0.011648,0,16,0,16
0,2.22321,191,0,6,84.189,2,8192,0,0,44,6,0,0,0.011648,0,22,0,22
0,3.25953,280,0,6,109.682,2,8192,0,0,112,6,0,0,0.011648,0,28,0,28
0,3.2018,275,0,7,128.111,2,8192,0,0,70,7,0,0,0.011648,0,35,0,35
0,3.64239,313,0,14,215.776,2,8192,0,0,63,14,0,0,0.011648,0,49,0,49
0,2.15128,185,0,15,155.401,2,8192,0,0,7,15,0,0,0.011648,0,64,0,64
0,2.7589,237,0,3,121.101,2,8192,0,0,73,3,0,0,0.011648,0,67,0,67
0,3.22495,277,0,9,150.379,2,8192,0,0,77,9,0,0,0.011648,0,76,0,76
0,2.38743,205,0,2,72.369,2,8192,0,0,63,2,0,0,0.011648,0,78,0,78
0,3.45671,297,0,7,112.314,2,8192,0,0,117,7,0,0,0.011648,0,85,0,85
0,3.66728,316,0,17,151.383,2,8192,0,0,52,17,0,0,0.011648,0,102,0,102
0,3.6102,310,0,25,147.195,2,8192,0,0,37,25,0,0,0.011648,0,127,0,127
0,2.71248,233,0,7,83.221,2,8192,0,0,45,7,0,0,0.011648,0,134,0,134
0,3.3073,284,0,10,127.557,2,8192,0,0,75,10,0,0,0.011648,0,144,0,144
0,3.37744,290,0,10,158.072,2,8192,0,0,69,10,0,0,0.011648,0,154,0,154
0,3.3524,288,0,10,154.92,2,8192,0,0,68,10,0,0,0.011648,0,164,0,164
0,3.3073,284,0,14,157.676,2,8192,0,0,43,14,0,0,0.011648,0,178,0,178
0,2.56192,220,0,5,83.665,2,8192,0,0,61,5,0,0,0.011648,0,183,0,183
0,3.26086,280,0,8,101.403,2,8192,0,0,76,8,0,0,0.011648,0,191,0,191
0,3.2585,280,0,4,67.297,2,8192,0,0,83,4,0,0,0.011648,0,195,0,195
0,3.10952,267,0,3,40.653,2,8192,0,0,89,3,0,0,0.011648,0,198,0,198
0,3.25898,280,0,4,90.505,2,8192,0,0,120,4,0,0,0.011648,0,202,0,202
0,3.17387,273,0,9,186.665,2,8192,0,0,43,9,0,0,0.011648,0,211,0,211
