MSS,1250
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,7.47534,935,0,5,83.24,2,8192,0,0,323,5,0,0,0.009648,0,5,0,5
0,8.2266,853,0,6,79.805,2,8192,0,0,203,6,0,0,0.009648,0,11,0,11
0,8.84039,917,0,3,96.167,2,8192,0,0,380,3,0,0,0.009648,0,14,0,14
0,9.08982,943,0,5,90.656,2,8192,0,0,267,5,0,0,0.009648,0,19,0,19
0,9.26746,961,0,4,144.047,2,8192,0,0,283,4,0,0,0.009648,0,23,0,23
0,8.57776,890,0,5,91.627,2,8192,0,0,263,5,0,0,0.009648,0,28,0,28
0,8.67118,899,0,3,132.969,2,8192,0,0,300,3,0,0,0.009648,0,31,0,31
0,9.14421,948,0,3,93.537,2,8192,0,0,335,3,0,0,0.009648,0,34,0,34
0,9.44844,980,0,1,288.66,2,8192,0,0,438,1,0,0,0.009648,0,35,0,35
0,8.38089,869,0,3,57.083,2,8192,0,0,208,3,0,0,0.009648,0,38,0,38
0,8.55423,887,0,3,161.871,2,8192,0,0,292,3,0,0,0.009648,0,41,0,41
0,8.65282,897,0,5,118.814,2,8192,0,0,251,5,0,0,0.009648,0,46,0,46
0,8.90282,923,0,4,127.802,2,8192,0,0,316,4,0,0,0.009648,0,50,0,50
0,8.98388,932,0,4,78.809,2,8192,0,0,285,4,0,0,0.009648,0,54,0,54
0,8.24005,855,0,4,139.657,2,8192,0,0,165,4,0,0,0.009648,0,58,0,58
0,8.83489,916,0,3,93.757,2,8192,0,0,231,3,0,0,0.009648,0,61,0,61
0,9.32694,968,0,0,99.229,2,8192,0,0,489,0,0,0,0.009648,0,61,0,61
0,9.20275,954,0,2,74.473,2,8192,0,0,276,2,0,0,0.009648,0,63,0,63
0,9.49185,984,0,3,141.146,2,8192,0,0,264,3,0,0,0.009648,0,66,0,66
0,8.87462,920,0,6,72.034,2,8192,0,0,230,6,0,0,0.009648,0,72,0,72
0,8.9505,928,0,6,126.964,2,8192,0,0,246,6,0,0,0.009648,0,78,0,78
0,8.94181,927,0,4,99.058,2,8192,0,0,296,4,0,0,0.009648,0,82,0,82
0,9.06565,940,0,2,65.657,2,8192,0,0,352,2,0,0,0.009648,0,84,0,84
0,9.34651,969,0,3,73.96,2,8192,0,0,330,3,0,0,0.009648,0,87,0,87
0,8.81655,914,0,4,214.891,2,8192,0,0,175,4,0,0,0.009648,0,91,0,91
0,9.56854,992,0,1,122.357,2,8192,0,0,431,1,0,0,0.009648,0,92,0,92
0,9.27757,962,0,1,227.409,2,8192,0,0,389,1,0,0,0.009648,0,93,0,93
0,8.58402,890,0,3,97.488,2,8192,0,0,315,3,0,0,0.009648,0,96,0,96
0,9.1777,952,0,6,143.197,2,8192,0,0,160,6,0,0,0.009648,0,102,0,102
0,8.89745,923,0,2,108.708,2,8192,0,0,376,2,0,0,0.009648,0,104,0,104
0,9.23031,958,0,1,77.675,2,8192,0,0,341,1,0,0,0.009648,0,105,0,105
0,8.47903,879,0,6,103.34,2,8192,0,0,319,6,0,0,0.009648,0,111,0,111
0,8.90184,923,0,6,210.654,2,8192,0,0,213,6,0,0,0.009648,0,117,0,117
0,8.47248,879,0,5,93.742,2,8192,0,0,271,5,0,0,0.009648,0,122,0,122
0,8.65111,897,0,7,124.329,2,8192,0,0,229,7,0,0,0.009648,0,129,0,129
0,9.2112,955,0,3,83.772,2,8192,0,0,293,3,0,0,0.009648,0,132,0,132
0,9.31832,966,0,4,180.276,2,8192,0,0,226,4,0,0,0.009648,0,136,0,136
0,8.64351,899,0,3,124.949,2,8192,0,0,279,3,0,0,0.009648,0,139,0,139
0,8.67019,899,0,3,151.191,2,8192,0,0,228,3,0,0,0.009648,0,142,0,142
0,8.58007,890,0,4,64.98,2,8192,0,0,344,4,0,0,0.009648,0,146,0,146
0,8.7079,904,0,3,83.804,2,8192,0,0,331,3,0,0,0.009648,0,149,0,149
0,8.37286,868,0,3,118.997,2,8192,0,0,310,3,0,0,0.009648,0,152,0,152
0,8.88139,921,0,2,75.586,2,8192,0,0,361,2,0,0,0.009648,0,154,0,154
0,8.73658,906,0,4,260.603,2,8192,0,0,253,4,0,0,0.009648,0,158,0,158
0,8.853,918,0,4,70.456,2,8192,0,0,302,4,0,0,0.009648,0,162,0,162
0,8.87342,920,0,4,135.011,2,8192,0,0,282,4,0,0,0.009648,0,166,0,166
0,8.3698,868,0,7,65.221,2,8192,0,0,197,7,0,0,0.009648,0,173,0,173
0,8.7142,904,0,3,84.04,2,8192,0,0,234,3,0,0,0.009648,0,176,0,176
0,7.96257,826,0,8,94.582,2,8192,0,0,176,8,0,0,0.009648,0,184,0,184
0,8.53707,885,0,2,57.37,2,8192,0,0,360,2,0,0,0.009648,0,186,0,186
0,9.45893,981,0,2,113.618,2,8192,0,0,309,2,0,0,0.009648,0,188,0,188
0,8.80109,913,0,2,131.601,2,8192,0,0,351,2,0,0,0.009648,0,190,0,190
