MSS,500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,30.2558,8404,0,0,22.267,16,8192,0,1,391,0,0,0,0.003648,0,0,0,0
0,28.3784,7781,0,0,13.535,16,8192,0,1,356,0,0,0,0.003648,0,0,0,0
0,30.1755,8277,0,0,16.761,16,8192,0,1,375,0,0,0,0.003648,0,0,0,0
0,28.039,7688,0,0,20.226,16,8192,0,1,349,0,0,0,0.003648,0,0,0,0
0,30.6584,8406,0,0,20.481,16,8192,0,1,375,0,0,0,0.003648,0,0,0,0
0,30.572,8387,0,0,15.304,16,8192,0,1,377,0,0,0,0.003648,0,0,0,0
0,30.3333,8319,0,0,14.988,16,8192,0,1,377,0,0,0,0.003648,0,0,0,0
0,27.8374,7633,0,0,16.678,16,8192,0,1,350,0,0,0,0.003648,0,0,0,0
0,30.8782,8475,0,0,16.881,16,8192,0,1,382,0,0,0,0.003648,0,0,0,0
0,28.1045,7706,0,0,25.469,16,8192,0,1,341,0,0,0,0.003648,0,0,0,0
0,28.1839,7731,0,0,16.094,16,8192,0,1,344,0,0,0,0.003648,0,0,0,0
0,29.7174,8148,0,0,15.561,16,8192,0,1,363,0,0,0,0.003648,0,0,0,0
0,28.7679,7888,0,0,19.284,16,8192,0,1,352,0,0,0,0.003648,0,0,0,0
0,27.0984,7437,0,0,22.72,16,8192,0,1,334,0,0,0,0.003648,0,0,0,0
0,27.8427,7635,0,0,23.789,16,8192,0,1,339,0,0,0,0.003648,0,0,0,0
0,29.3499,8048,0,0,17.844,16,8192,0,1,357,0,0,0,0.003648,0,0,0,0
0,29.115,7984,0,0,19.889,16,8192,0,1,365,0,0,0,0.003648,0,0,0,0
0,29.3137,8038,0,0,15.132,16,8192,0,1,350,0,0,0,0.003648,0,0,0,0
0,29.926,8221,0,0,16.888,16,8192,0,1,365,0,0,0,0.003648,0,0,0,0
0,30.4754,8359,0,0,22.082,16,8192,0,1,376,0,0,0,0.003648,0,0,0,0
0,30.3511,8327,0,0,17.527,16,8192,0,1,373,0,0,0,0.003648,0,0,0,0
0,28.6952,7869,0,0,19.065,16,8192,0,1,350,0,0,0,0.003648,0,0,0,0
0,30.6455,8409,0,0,18.502,16,8192,0,1,369,0,0,0,0.003648,0,0,0,0
0,28.9504,7938,0,0,18.764,16,8192,0,1,355,0,0,0,0.003648,0,0,0,0
0,30.856,8465,0,0,17.469,16,8192,0,1,371,0,0,0,0.003648,0,0,0,0
0,29.1175,7989,0,0,16.24,16,8192,0,1,350,0,0,0,0.003648,0,0,0,0
0,28.2596,7748,0,0,17.815,16,8192,0,1,354,0,0,0,0.003648,0,0,0,0
0,27.9773,7671,0,0,18.784,16,8192,0,1,338,0,0,0,0.003648,0,0,0,0
0,26.6797,7319,0,0,16.831,16,8192,0,1,324,0,0,0,0.003648,0,0,0,0
0,28.0009,7678,0,0,22.525,16,8192,0,1,344,0,0,0,0.003648,0,0,0,0
0,29.05,7965,0,0,16.05,16,8192,0,1,358,0,0,0,0.003648,0,0,0,0
