MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.114892,303,0,1,28.8,2,8192,0,0,160,1,0,0,0.000448,0,1,0,1
0,0.287425,642,0,0,22.071,2,8192,0,0,326,0,0,0,0.000448,0,1,0,1
0,0.837423,1870,0,0,37.819,2,8192,0,0,939,0,0,0,0.000448,0,1,0,1
0,1.20869,2699,0,0,25.872,2,8192,0,0,1298,0,0,0,0.000448,0,1,0,1
0,0.371442,830,0,0,34.011,2,8192,0,0,421,0,0,0,0.000448,0,1,0,1
0,1.14977,2569,0,0,59.119,2,8192,0,0,1288,0,0,0,0.000448,0,1,0,1
0,1.7692,3950,0,0,53.465,2,8192,0,0,1978,0,0,0,0.000448,0,1,0,1
0,1.84332,4116,0,0,112.845,2,8192,0,0,2060,0,0,0,0.000448,0,1,0,1
0,1.92792,4304,0,0,65.069,2,8192,0,0,2153,0,0,0,0.000448,0,1,0,1
0,1.79626,4010,0,0,141.096,2,8192,0,0,2005,0,0,0,0.000448,0,1,0,1
0,1.78454,3986,0,0,91.249,2,8192,0,0,1996,0,0,0,0.000448,0,1,0,1
0,1.88936,4218,0,0,84.211,2,8192,0,0,2111,0,0,0,0.000448,0,1,0,1
0,1.76998,3952,0,0,50.69,2,8192,0,0,1979,0,0,0,0.000448,0,1,0,1
0,2.0238,4521,0,0,97.214,2,8192,0,0,2261,0,0,0,0.000448,0,1,0,1
0,1.88455,4207,0,0,87.523,2,8192,0,0,2106,0,0,0,0.000448,0,1,0,1
0,1.88202,4202,0,0,57.777,2,8192,0,0,2104,0,0,0,0.000448,0,1,0,1
0,1.86788,4174,0,0,94.833,2,8192,0,0,2089,0,0,0,0.000448,0,1,0,1
0,1.80815,4039,0,0,57.935,2,8192,0,0,2023,0,0,0,0.000448,0,1,0,1
0,1.82633,4078,0,0,56.387,2,8192,0,0,2042,0,0,0,0.000448,0,1,0,1
0,1.88835,4216,0,0,23.077,2,8192,0,0,2108,0,0,0,0.000448,0,1,0,1
0,1.95251,4362,0,0,93.703,2,8192,0,0,2185,0,0,0,0.000448,0,1,0,1
0,1.9664,4395,0,0,193.614,2,8192,0,0,2198,0,0,0,0.000448,0,1,0,1
0,1.81803,4059,0,0,55.759,2,8192,0,0,2033,0,0,0,0.000448,0,1,0,1
0,1.89451,4230,0,0,55.414,2,8192,0,0,2117,0,0,0,0.000448,0,1,0,1
