MSS,1000
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,6.40351,1041,0,1,151.179,2,8192,0,0,491,1,0,0,0.007648,0,1,0,1
0,7.69585,1008,0,0,177.743,2,8192,0,0,510,0,0,0,0.007648,0,1,0,1
0,7.73078,1011,0,3,110.351,2,8192,0,0,327,3,0,0,0.007648,0,4,0,4
0,7.6082,995,0,2,65.012,2,8192,0,0,391,2,0,0,0.007648,0,6,0,6
0,7.75268,1014,0,1,165.114,2,8192,0,0,470,1,0,0,0.007648,0,7,0,7
0,7.44277,974,0,1,80.888,2,8192,0,0,443,1,0,0,0.007648,0,8,0,8
0,7.46983,977,0,1,91.06,2,8192,0,0,439,1,0,0,0.007648,0,9,0,9
0,7.16421,937,0,1,97.803,2,8192,0,0,412,1,0,0,0.007648,0,10,0,10
0,8.00578,1047,0,2,123.351,2,8192,0,0,439,2,0,0,0.007648,0,12,0,12
0,8.57669,1124,0,1,134.737,2,8192,0,0,521,1,0,0,0.007648,0,13,0,13
0,8.09231,1059,0,0,158.211,2,8192,0,0,536,0,0,0,0.007648,0,13,0,13
0,7.88234,1031,0,0,136.104,2,8192,0,0,520,0,0,0,0.007648,0,13,0,13
0,7.8409,1026,0,0,255.265,2,8192,0,0,519,0,0,0,0.007648,0,13,0,13
0,7.66901,1003,0,1,280.654,2,8192,0,0,446,1,0,0,0.007648,0,14,0,14
0,7.61086,996,0,1,106.084,2,8192,0,0,384,1,0,0,0.007648,0,15,0,15
0,7.66785,1003,0,1,148.931,2,8192,0,0,429,1,0,0,0.007648,0,16,0,16
0,7.9408,1039,0,2,70.472,2,8192,0,0,388,2,0,0,0.007648,0,18,0,18
0,8.04221,1052,0,0,173.996,2,8192,0,0,531,0,0,0,0.007648,0,18,0,18
0,8.06577,1055,0,1,240.961,2,8192,0,0,417,1,0,0,0.007648,0,19,0,19
0,8.21674,1075,0,1,124.849,2,8192,0,0,482,1,0,0,0.007648,0,20,0,20
0,7.58167,998,0,2,85.255,2,8192,0,0,279,2,0,0,0.007648,0,22,0,22
0,7.89027,1032,0,1,99.712,2,8192,0,0,431,1,0,0,0.007648,0,23,0,23
0,7.87737,1031,0,0,193.509,2,8192,0,0,518,0,0,0,0.007648,0,23,0,23
0,7.75717,1017,0,0,154.879,2,8192,0,0,513,0,0,0,0.007648,0,23,0,23
0,7.41182,970,0,0,247.381,2,8192,0,0,493,0,0,0,0.007648,0,23,0,23
0,8.5627,1121,0,1,306.333,2,8192,0,0,100,1,0,0,0.007648,0,24,0,24
0,5.69261,745,0,1,102.715,2,8192,0,0,291,1,0,0,0.007648,0,25,0,25
0,8.21614,1075,0,1,69.619,2,8192,0,0,488,1,0,0,0.007648,0,26,0,26
0,8.18633,1072,0,0,159.535,2,8192,0,0,542,0,0,0,0.007648,0,26,0,26
0,8.02108,1049,0,1,94.147,2,8192,0,0,420,1,0,0,0.007648,0,27,0,27
0,8.08548,1058,0,2,108.307,2,8192,0,0,442,2,0,0,0.007648,0,29,0,29
0,8.56341,1121,0,1,54.508,2,8192,0,0,506,1,0,0,0.007648,0,30,0,30
0,7.76187,1015,0,0,301.44,2,8192,0,0,512,0,0,0,0.007648,0,30,0,30
0,7.9291,1037,0,1,267.264,2,8192,0,0,395,1,0,0,0.007648,0,31,0,31
0,8.26609,1082,0,1,119.713,2,8192,0,0,454,1,0,0,0.007648,0,32,0,32
0,8.49688,1112,0,1,106.922,2,8192,0,0,425,1,0,0,0.007648,0,33,0,33
0,7.78859,1019,0,1,131.124,2,8192,0,0,425,1,0,0,0.007648,0,34,0,34
0,7.49298,980,0,2,78.332,2,8192,0,0,367,2,0,0,0.007648,0,36,0,36
0,7.15395,936,0,1,50.756,2,8192,0,0,438,1,0,0,0.007648,0,37,0,37
0,8.22396,1076,0,0,55.148,2,8192,0,0,542,0,0,0,0.007648,0,37,0,37
0,7.9624,1042,0,1,87.652,2,8192,0,0,485,1,0,0,0.007648,0,38,0,38
0,8.03535,1051,0,1,222.526,2,8192,0,0,474,1,0,0,0.007648,0,39,0,39
0,8.22672,1076,0,1,156.037,2,8192,0,0,419,1,0,0,0.007648,0,40,0,40
0,7.46801,977,0,2,108.948,2,8192,0,0,262,2,0,0,0.007648,0,42,0,42
0,7.13856,934,0,1,158.925,2,8192,0,0,399,1,0,0,0.007648,0,43,0,43
0,8.13581,1064,0,2,114.135,2,8192,0,0,323,2,0,0,0.007648,0,45,0,45
0,8.39514,1098,0,2,108.633,2,8192,0,0,381,2,0,0,0.007648,0,47,0,47
0,7.95158,1040,0,1,184.556,2,8192,0,0,465,1,0,0,0.007648,0,48,0,48
0,8.62451,1128,0,0,209.401,2,8192,0,0,569,0,0,0,0.007648,0,48,0,48
0,7.68819,1006,0,2,51.696,2,8192,0,0,344,2,0,0,0.007648,0,50,0,50
0,7.90754,1035,0,1,218.345,2,8192,0,0,443,1,0,0,0.007648,0,51,0,51
0,7.52074,984,0,1,73.646,2,8192,0,0,428,1,0,0,0.007648,0,52,0,52
0,8.15335,1070,0,1,122.494,2,8192,0,0,504,1,0,0,0.007648,0,53,0,53
0,8.67921,1136,0,0,123.204,2,8192,0,0,572,0,0,0,0.007648,0,53,0,53
0,7.90704,1034,0,1,309.23,2,8192,0,0,466,1,0,0,0.007648,0,54,0,54
0,7.96,1041,0,0,305.081,2,8192,0,0,447,0,0,0,0.007648,0,54,0,54
0,7.71507,1009,0,0,285.835,2,8192,0,0,508,0,0,0,0.007648,0,54,0,54
0,7.73765,1013,0,1,59.977,2,8192,0,0,384,1,0,0,0.007648,0,55,0,55
0,8.3441,1092,0,2,113.829,2,8192,0,0,409,2,0,0,0.007648,0,57,0,57
0,8.37187,1095,0,0,81.508,2,8192,0,0,552,0,0,0,0.007648,0,57,0,57
0,6.89621,902,0,2,528.542,2,8192,0,0,207,2,0,0,0.007648,0,59,0,59
0,1.42907,187,0,0,36.192,2,8192,0,0,57,0,0,0,0.007648,0,59,0,59
0,7.98944,1045,0,1,103.481,2,8192,0,0,494,1,0,0,0.007648,0,60,0,60
0,7.74647,1013,0,0,80.118,2,8192,0,0,511,0,0,0,0.007648,0,60,0,60
0,7.47729,978,0,2,116.826,2,8192,0,0,392,2,0,0,0.007648,0,62,0,62
0,8.18744,1072,0,0,191.145,2,8192,0,0,542,0,0,0,0.007648,0,62,0,62
0,7.39546,968,0,1,117.704,2,8192,0,0,421,1,0,0,0.007648,0,63,0,63
0,8.14925,1066,0,1,95.22,2,8192,0,0,457,1,0,0,0.007648,0,64,0,64
0,7.72414,1011,0,0,259.047,2,8192,0,0,513,0,0,0,0.007648,0,64,0,64
0,7.58475,992,0,2,99.943,2,8192,0,0,355,2,0,0,0.007648,0,66,0,66
0,7.78252,1018,0,1,160.601,2,8192,0,0,451,1,0,0,0.007648,0,67,0,67
0,8.18032,1070,0,0,94.172,2,8192,0,0,519,0,0,0,0.007648,0,67,0,67
0,7.96752,1042,0,0,77.823,2,8192,0,0,528,0,0,0,0.007648,0,67,0,67
0,8.05612,1054,0,0,179.284,2,8192,0,0,532,0,0,0,0.007648,0,67,0,67
0,7.68266,1005,0,0,187.16,2,8192,0,0,507,0,0,0,0.007648,0,67,0,67
0,7.53577,987,0,1,104.648,2,8192,0,0,358,1,0,0,0.007648,0,68,0,68
0,8.51093,1114,0,0,105.051,2,8192,0,0,561,0,0,0,0.007648,0,68,0,68
0,7.37908,965,0,2,148.5,2,8192,0,0,393,2,0,0,0.007648,0,70,0,70
0,7.36662,964,0,2,104.653,2,8192,0,0,343,2,0,0,0.007648,0,72,0,72
0,8.2363,1078,0,1,138.813,2,8192,0,0,482,1,0,0,0.007648,0,73,0,73
0,7.75386,1014,0,1,89.578,2,8192,0,0,465,1,0,0,0.007648,0,74,0,74
0,7.70747,1008,0,1,114.677,2,8192,0,0,465,1,0,0,0.007648,0,75,0,75
0,8.13467,1064,0,0,267.621,2,8192,0,0,537,0,0,0,0.007648,0,75,0,75
0,7.68461,1005,0,1,75.542,2,8192,0,0,445,1,0,0,0.007648,0,76,0,76
0,8.17557,1071,0,1,82.127,2,8192,0,0,514,1,0,0,0.007648,0,77,0,77
0,7.63818,999,0,1,66.034,2,8192,0,0,398,1,0,0,0.007648,0,78,0,78
0,7.5343,986,0,1,110.917,2,8192,0,0,498,1,0,0,0.007648,0,79,0,79
0,8.59452,1125,0,1,53.634,2,8192,0,0,409,1,0,0,0.007648,0,80,0,80
