MSS,1250
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.75383,218,0,0,40.472,2,8192,0,0,119,0,0,0,0.009648,0,0,0,0
0,4.349,451,0,0,27.762,2,8192,0,0,236,0,0,0,0.009648,0,0,0,0
0,4.52245,469,0,0,42.443,2,8192,0,0,242,0,0,0,0.009648,0,0,0,0
0,6.34477,658,0,2,112.737,2,8192,0,0,286,2,0,0,0.009648,0,2,0,2
0,6.36565,660,0,4,131.63,2,8192,0,0,197,4,0,0,0.009648,0,6,0,6
0,6.78796,704,0,4,204.552,2,8192,0,0,214,4,0,0,0.009648,0,10,0,10
0,8.21483,852,0,3,56.586,2,8192,0,0,292,3,0,0,0.009648,0,13,0,13
0,7.33808,761,0,6,109.785,2,8192,0,0,189,6,0,0,0.009648,0,19,0,19
0,7.11744,738,0,7,119.478,2,8192,0,0,122,7,0,0,0.009648,0,26,0,26
0,7.06787,733,0,8,133.736,2,8192,0,0,58,8,0,0,0.009648,0,34,0,34
0,7.62461,791,0,3,94.567,2,8192,0,0,297,3,0,0,0.009648,0,37,0,37
0,7.30083,757,0,7,122.549,2,8192,0,0,186,7,0,0,0.009648,0,44,0,44
0,9.8743,1024,0,1,348.568,2,8192,0,0,381,1,0,0,0.009648,0,45,0,45
0,8.23663,854,0,2,403.735,2,8192,0,0,306,2,0,0,0.009648,0,47,0,47
0,2.76791,287,0,0,344.976,2,8192,0,0,1,0,0,0,0.009648,0,47,0,47
0,3.47238,360,0,0,88.81,2,8192,0,0,156,0,0,0,0.009648,0,47,0,47
0,7.56311,785,0,6,149.465,2,8192,0,0,266,6,0,0,0.009648,0,53,0,53
0,7.46298,774,0,2,171.646,2,8192,0,0,231,2,0,0,0.009648,0,55,0,55
