MSS,1000
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.899931,139,0,0,75.176,2,8192,0,0,76,0,0,0,0.007648,0,0,0,0
0,2.00231,262,0,0,58.186,2,8192,0,0,136,0,0,0,0.007648,0,0,0,0
0,3.00331,393,0,0,106.601,2,8192,0,0,201,0,0,0,0.007648,0,0,0,0
0,4.0966,536,0,0,47.586,2,8192,0,0,278,0,0,0,0.007648,0,0,0,0
0,4.02078,526,0,1,55.997,2,8192,0,0,249,1,0,0,0.007648,0,1,0,1
0,5.53447,724,0,1,50.65,2,8192,0,0,344,1,0,0,0.007648,0,2,0,2
0,5.16013,675,0,0,85.41,2,8192,0,0,342,0,0,0,0.007648,0,2,0,2
0,4.36617,571,0,3,78.453,2,8192,0,0,212,3,0,0,0.007648,0,5,0,5
0,5.26059,688,0,1,90.016,2,8192,0,0,319,1,0,0,0.007648,0,6,0,6
0,6.04733,791,0,1,78.125,2,8192,0,0,371,1,0,0,0.007648,0,7,0,7
0,4.85473,635,0,4,90.346,2,8192,0,0,220,4,0,0,0.007648,0,11,0,11
0,5.1067,668,0,2,82.773,2,8192,0,0,266,2,0,0,0.007648,0,13,0,13
0,5.88583,770,0,3,97.62,2,8192,0,0,320,3,0,0,0.007648,0,16,0,16
0,5.2295,684,0,0,115.608,2,8192,0,0,330,0,0,0,0.007648,0,16,0,16
0,4.68291,613,0,0,115.932,2,8192,0,0,314,0,0,0,0.007648,0,16,0,16
0,5.80275,759,0,1,130.179,2,8192,0,0,345,1,0,0,0.007648,0,17,0,17
0,5.77978,756,0,3,142.649,2,8192,0,0,268,3,0,0,0.007648,0,20,0,20
0,5.04345,660,0,0,157.06,2,8192,0,0,337,0,0,0,0.007648,0,20,0,20
0,5.64223,738,0,3,93.162,2,8192,0,0,263,3,0,0,0.007648,0,23,0,23
0,5.52085,723,0,0,153.78,2,8192,0,0,367,0,0,0,0.007648,0,23,0,23
0,4.95151,648,0,1,116.702,2,8192,0,0,285,1,0,0,0.007648,0,24,0,24
0,5.75736,753,0,3,58.467,2,8192,0,0,277,3,0,0,0.007648,0,27,0,27
0,6.04846,791,0,0,136.641,2,8192,0,0,401,0,0,0,0.007648,0,27,0,27
0,5.06152,662,0,1,107.43,2,8192,0,0,289,1,0,0,0.007648,0,28,0,28
