MSS,1500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,23.153,2228,0,0,106.159,2,8192,0,0,1123,0,0,0,0.011648,0,0,0,0
0,22.1356,1901,0,0,29.726,2,8192,0,0,954,0,0,0,0.011648,0,0,0,0
0,25.8881,2226,0,0,76.031,2,8192,0,0,1119,0,0,0,0.011648,0,0,0,0
0,26.0781,2241,0,0,106.83,2,8192,0,0,1127,0,0,0,0.011648,0,0,0,0
0,25.5084,2192,0,0,103.181,2,8192,0,0,1103,0,0,0,0.011648,0,0,0,0
0,25.5984,2198,0,0,125.412,2,8192,0,0,1104,0,0,0,0.011648,0,0,0,0
0,24.2705,2084,0,0,46.042,2,8192,0,0,1044,0,0,0,0.011648,0,0,0,0
0,26.5991,2286,0,0,63.272,2,8192,0,0,1146,0,0,0,0.011648,0,0,0,0
0,24.7579,2126,0,0,32.921,2,8192,0,0,1069,0,0,0,0.011648,0,0,0,0
0,25.1175,2161,0,0,192.95,2,8192,0,0,1085,0,0,0,0.011648,0,0,0,0
0,15.0723,1295,0,1,311.803,2,8192,0,0,640,1,0,0,0.011648,0,1,0,1
0,0,0,0,0,311.803,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,311.803,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,0,0,0,0,311.803,2,8192,0,0,2,0,0,0,0.011648,0,1,0,1
0,19.3665,1667,0,51,102.852,2,8192,0,0,773,1,0,0,0.011648,0,2,0,52
0,24.0747,2068,0,0,133.855,2,8192,0,0,1040,0,0,0,0.011648,0,2,0,52
0,22.4617,1929,0,0,261.062,2,8192,0,0,971,0,0,0,0.011648,0,2,0,52
0,21.4763,1844,0,0,221.315,2,8192,0,0,927,0,0,0,0.011648,0,2,0,52
0,21.5161,1848,0,0,236.217,2,8192,0,0,928,0,0,0,0.011648,0,2,0,52
0,24.15,2074,0,0,151.677,2,8192,0,0,1042,0,0,0,0.011648,0,2,0,52
0,20.9966,1803,0,0,170.396,2,8192,0,0,910,0,0,0,0.011648,0,2,0,52
0,22.1618,1903,0,0,137.017,2,8192,0,0,957,0,0,0,0.011648,0,2,0,52
0,21.4497,1843,0,0,105.919,2,8192,0,0,929,0,0,0,0.011648,0,2,0,52
0,17.8686,1535,0,0,111.294,2,8192,0,0,775,0,0,0,0.011648,0,2,0,52
0,22.4745,1932,0,0,191.759,2,8192,0,0,969,0,0,0,0.011648,0,2,0,52
0,22.2568,1914,0,0,151.866,2,8192,0,0,963,0,0,0,0.011648,0,2,0,52
0,23.4465,2014,0,0,165.079,2,8192,0,0,1010,0,0,0,0.011648,0,2,0,52
0,24.8931,2138,0,0,213.439,2,8192,0,0,1074,0,0,0,0.011648,0,2,0,52
0,23.3265,2004,0,0,243.198,2,8192,0,0,1008,0,0,0,0.011648,0,2,0,52
0,21.9817,1889,0,0,132.109,2,8192,0,0,949,0,0,0,0.011648,0,2,0,52
0,21.5256,1851,0,0,189.314,2,8192,0,0,932,0,0,0,0.011648,0,2,0,52
0,21.633,1859,0,0,140.76,2,8192,0,0,934,0,0,0,0.011648,0,2,0,52
0,22.6073,1942,0,0,85.07,2,8192,0,0,976,0,0,0,0.011648,0,2,0,52
0,21.6742,1861,0,0,111.708,2,8192,0,0,935,0,0,0,0.011648,0,2,0,52
0,24.408,2096,0,0,105.321,2,8192,0,0,1052,0,0,0,0.011648,0,2,0,52
0,23.2077,1993,0,0,132.662,2,8192,0,0,1004,0,0,0,0.011648,0,2,0,52
0,23.1384,1988,0,0,352.074,2,8192,0,0,997,0,0,0,0.011648,0,2,0,52
0,21.486,1845,0,0,133.3,2,8192,0,0,928,0,0,0,0.011648,0,2,0,52
0,18.7123,1607,0,0,238.522,2,8192,0,0,810,0,0,0,0.011648,0,2,0,52
0,24.1369,2075,0,0,130.289,2,8192,0,0,1042,0,0,0,0.011648,0,2,0,52
0,20.7073,1779,0,0,130.902,2,8192,0,0,893,0,0,0,0.011648,0,2,0,52
0,20.242,1740,0,0,139.669,2,8192,0,0,875,0,0,0,0.011648,0,2,0,52
0,22.8195,1961,0,0,110.278,2,8192,0,0,989,0,0,0,0.011648,0,2,0,52
0,14.0962,1211,0,0,112.468,2,8192,0,0,613,0,0,0,0.011648,0,2,0,52
0,13.1909,1133,0,0,296.779,2,8192,0,0,570,0,0,0,0.011648,0,2,0,52
0,14.5335,1248,0,0,24.266,2,8192,0,0,574,0,0,0,0.011648,0,2,0,52
0,10.3506,889,0,0,18.593,2,8192,0,0,447,0,0,0,0.011648,0,2,0,52
0,23.0224,1977,0,0,95.36,2,8192,0,0,992,0,0,0,0.011648,0,2,0,52
0,24.6545,2117,0,0,188.737,2,8192,0,0,1064,0,0,0,0.011648,0,2,0,52
0,24.4649,2102,0,0,123.121,2,8192,0,0,1055,0,0,0,0.011648,0,2,0,52
0,27.1231,2329,0,0,63.072,2,8192,0,0,1132,0,0,0,0.011648,0,2,0,52
0,24.2747,2086,0,0,108.973,2,8192,0,0,1047,0,0,0,0.011648,0,2,0,52
0,23.6358,2030,0,0,111.18,2,8192,0,0,1020,0,0,0,0.011648,0,2,0,52
0,23.9983,2061,0,0,63.887,2,8192,0,0,1035,0,0,0,0.011648,0,2,0,52
0,24.616,2115,0,0,106.783,2,8192,0,0,1062,0,0,0,0.011648,0,2,0,52
0,24.523,2107,0,0,175.627,2,8192,0,0,1059,0,0,0,0.011648,0,2,0,52
0,26.245,2255,0,0,103.619,2,8192,0,0,1131,0,0,0,0.011648,0,2,0,52
0,22.4993,1932,0,0,170.779,2,8192,0,0,970,0,0,0,0.011648,0,2,0,52
0,24.6654,2118,0,0,43.983,2,8192,0,0,1064,0,0,0,0.011648,0,2,0,52
0,25.7508,2211,0,0,120.387,2,8192,0,0,1112,0,0,0,0.011648,0,2,0,52
0,23.1843,1993,0,0,80.476,2,8192,0,0,999,0,0,0,0.011648,0,2,0,52
0,25.6026,2199,0,0,111.533,2,8192,0,0,1106,0,0,0,0.011648,0,2,0,52
0,25.5185,2191,0,0,128.969,2,8192,0,0,1100,0,0,0,0.011648,0,2,0,52
0,24.381,2097,0,0,150.767,2,8192,0,0,1055,0,0,0,0.011648,0,2,0,52
0,25.5136,2191,0,0,210.477,2,8192,0,0,1102,0,0,0,0.011648,0,2,0,52
0,27.7837,2386,0,0,53.21,2,8192,0,0,1198,0,0,0,0.011648,0,2,0,52
0,24.8018,2130,0,0,49.123,2,8192,0,0,1069,0,0,0,0.011648,0,2,0,52
0,25.753,2213,0,0,147.139,2,8192,0,0,1113,0,0,0,0.011648,0,2,0,52
0,26.6527,2290,0,0,83.684,2,8192,0,0,1148,0,0,0,0.011648,0,2,0,52
0,26.442,2273,0,0,87.26,2,8192,0,0,1140,0,0,0,0.011648,0,2,0,52
0,24.6545,2117,0,0,64.416,2,8192,0,0,1065,0,0,0,0.011648,0,2,0,52
0,24.8713,2136,0,0,72.027,2,8192,0,0,1071,0,0,0,0.011648,0,2,0,52
0,25.4232,2183,0,0,65.935,2,8192,0,0,1098,0,0,0,0.011648,0,2,0,52
0,26.5098,2278,0,0,68.885,2,8192,0,0,1142,0,0,0,0.011648,0,2,0,52
0,25.7831,2214,0,0,80.305,2,8192,0,0,1110,0,0,0,0.011648,0,2,0,52
