MSS,500
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.81739,562,0,5,134.217,2,8192,0,0,199,5,0,0,0.003648,0,5,0,5
0,1.78569,490,0,36,163.493,2,8192,0,0,16,33,0,0,0.003648,0,38,0,41
0,1.61853,444,0,4,122.309,2,8192,0,0,105,4,0,0,0.003648,0,42,0,45
0,2.0715,568,0,12,183.696,2,8192,0,0,141,12,0,0,0.003648,0,54,0,57
0,2.33698,641,0,9,155.064,2,8192,0,0,153,9,0,0,0.003648,0,63,0,66
0,2.45419,673,0,5,114.342,2,8192,0,0,185,5,0,0,0.003648,0,68,0,71
0,2.11117,579,0,8,149.058,2,8192,0,0,132,8,0,0,0.003648,0,76,0,79
0,2.31918,636,0,12,120.876,2,8192,0,0,141,12,0,0,0.003648,0,88,0,91
0,2.40266,659,0,9,165.778,2,8192,0,0,149,9,0,0,0.003648,0,97,0,100
0,2.3663,649,0,8,169.112,2,8192,0,0,140,8,0,0,0.003648,0,105,0,108
0,2.26109,620,0,10,193.983,2,8192,0,0,128,10,0,0,0.003648,0,115,0,118
0,2.36086,648,0,7,136.73,2,8192,0,0,175,7,0,0,0.003648,0,122,0,125
0,2.46866,677,0,8,172.509,2,8192,0,0,156,8,0,0,0.003648,0,130,0,133
0,1.79773,493,0,6,142.658,2,8192,0,0,103,6,0,0,0.003648,0,136,0,139
0,1.91807,526,0,2,82.966,2,8192,0,0,184,2,0,0,0.003648,0,138,0,141
0,2.2019,604,0,7,92.187,2,8192,0,0,215,7,0,0,0.003648,0,145,0,148
0,2.292,629,0,4,79.903,2,8192,0,0,225,4,0,0,0.003648,0,149,0,152
0,1.9835,544,0,6,81.718,2,8192,0,0,147,6,0,0,0.003648,0,155,0,158
0,1.94024,532,0,1,46.152,2,8192,0,0,203,1,0,0,0.003648,0,156,0,159
0,2.22441,610,0,1,76.622,2,8192,0,0,290,1,0,0,0.003648,0,157,0,160
0,2.22017,609,0,2,69.028,2,8192,0,0,267,2,0,0,0.003648,0,159,0,162
0,1.96947,540,0,1,54.611,2,8192,0,0,221,1,0,0,0.003648,0,160,0,163
0,2.14771,589,0,0,60.687,2,8192,0,0,301,0,0,0,0.003648,0,160,0,163
0,2.20959,606,0,1,58.335,2,8192,0,0,291,1,0,0,0.003648,0,161,0,164
0,1.46823,403,0,1,34.456,2,8192,0,0,162,1,0,0,0.003648,0,162,0,165
0,2.03841,559,0,1,63.215,2,8192,0,0,276,1,0,0,0.003648,0,163,0,166
0,2.10285,577,0,0,61.988,2,8192,0,0,290,0,0,0,0.003648,0,163,0,166
0,2.07505,569,0,2,58.489,2,8192,0,0,249,2,0,0,0.003648,0,165,0,168
0,1.64396,451,0,1,30.601,2,8192,0,0,183,1,0,0,0.003648,0,166,0,169
0,1.94453,534,0,0,55.629,2,8192,0,0,276,0,0,0,0.003648,0,166,0,169
0,2.11764,581,0,2,61.815,2,8192,0,0,259,2,0,0,0.003648,0,168,0,171
0,2.30771,633,0,2,54.8,2,8192,0,0,293,2,0,0,0.003648,0,170,0,173
0,2.05247,563,0,4,66.953,2,8192,0,0,190,4,0,0,0.003648,0,174,0,177
0,2.19549,602,0,4,76.299,2,8192,0,0,222,4,0,0,0.003648,0,178,0,181
0,2.08229,571,0,4,87.276,2,8192,0,0,207,4,0,0,0.003648,0,182,0,185
0,2.22853,611,0,5,68.387,2,8192,0,0,229,5,0,0,0.003648,0,187,0,190
0,1.98225,544,0,1,54.023,2,8192,0,0,215,1,0,0,0.003648,0,188,0,191
0,2.24302,615,0,1,44.252,2,8192,0,0,295,1,0,0,0.003648,0,189,0,192
0,2.19204,601,0,2,75.019,2,8192,0,0,265,2,0,0,0.003648,0,191,0,194
0,2.26628,622,0,3,78.057,2,8192,0,0,247,3,0,0,0.003648,0,194,0,197
0,1.74129,478,0,1,51.296,2,8192,0,0,193,1,0,0,0.003648,0,195,0,198
0,2.13648,586,0,0,49.379,2,8192,0,0,301,0,0,0,0.003648,0,195,0,198
0,1.98084,544,0,1,71.056,2,8192,0,0,257,1,0,0,0.003648,0,196,0,199
0,1.68975,464,0,1,124.873,2,8192,0,0,217,1,0,0,0.003648,0,197,0,200
0,2.38155,653,0,2,63.473,2,8192,0,0,286,2,0,0,0.003648,0,199,0,202
0,2.43438,670,0,3,75.543,2,8192,0,0,261,3,0,0,0.003648,0,202,0,205
0,1.87795,515,0,1,43.035,2,8192,0,0,201,1,0,0,0.003648,0,203,0,206
0,2.18809,600,0,0,56.98,2,8192,0,0,306,0,0,0,0.003648,0,203,0,206
0,1.93199,530,0,1,64.769,2,8192,0,0,247,1,0,0,0.003648,0,204,0,207
0,1.97646,542,0,1,54.452,2,8192,0,0,251,1,0,0,0.003648,0,205,0,208
0,1.71684,471,0,2,40.059,2,8192,0,0,165,2,0,0,0.003648,0,207,0,210
0,1.99846,548,0,0,43.791,2,8192,0,0,281,0,0,0,0.003648,0,207,0,210
0,2.24252,615,0,0,70.225,2,8192,0,0,313,0,0,0,0.003648,0,207,0,210
0,2.30874,633,0,1,61.206,2,8192,0,0,306,1,0,0,0.003648,0,208,0,211
0,1.70862,469,0,1,42.934,2,8192,0,0,191,1,0,0,0.003648,0,209,0,212
0,1.81901,499,0,0,83.761,2,8192,0,0,253,0,0,0,0.003648,0,209,0,212
0,1.9833,544,0,0,73.564,2,8192,0,0,278,0,0,0,0.003648,0,209,0,212
0,2.0204,554,0,1,84.094,2,8192,0,0,264,1,0,0,0.003648,0,210,0,213
0,1.96871,540,0,3,78.157,2,8192,0,0,201,3,0,0,0.003648,0,213,0,216
0,1.57926,433,0,1,39.755,2,8192,0,0,172,1,0,0,0.003648,0,214,0,217
0,1.39677,383,0,1,48.421,2,8192,0,0,182,1,0,0,0.003648,0,215,0,218
0,1.97902,543,0,1,61.459,2,8192,0,0,261,1,0,0,0.003648,0,216,0,219
0,2.11367,580,0,1,56.25,2,8192,0,0,277,1,0,0,0.003648,0,217,0,220
0,1.7578,482,0,1,42.599,2,8192,0,0,200,1,0,0,0.003648,0,218,0,221
0,1.52582,419,0,0,75.142,2,8192,0,0,217,0,0,0,0.003648,0,218,0,221
0,2.00602,550,0,0,62.493,2,8192,0,0,282,0,0,0,0.003648,0,218,0,221
0,2.10303,577,0,1,68.597,2,8192,0,0,272,1,0,0,0.003648,0,219,0,222
0,2.3622,648,0,1,52.218,2,8192,0,0,307,1,0,0,0.003648,0,220,0,223
0,1.9914,546,0,3,117.515,2,8192,0,0,172,3,0,0,0.003648,0,223,0,226
0,1.19633,328,0,0,45.604,2,8192,0,0,170,0,0,0,0.003648,0,223,0,226
0,1.21804,334,0,0,57.681,2,8192,0,0,172,0,0,0,0.003648,0,223,0,226
0,2.21198,607,0,0,59.209,2,8192,0,0,310,0,0,0,0.003648,0,223,0,226
0,2.06065,565,0,2,93.323,2,8192,0,0,244,2,0,0,0.003648,0,225,0,228
0,1.90598,523,0,4,63.947,2,8192,0,0,215,4,0,0,0.003648,0,229,0,232
0,2.35199,645,0,4,77.225,2,8192,0,0,249,4,0,0,0.003648,0,233,0,236
0,2.11493,580,0,1,130.26,2,8192,0,0,266,1,0,0,0.003648,0,234,0,237
0,2.11894,581,0,3,97.232,2,8192,0,0,201,3,0,0,0.003648,0,237,0,240
0,2.06798,567,0,2,165.706,2,8192,0,0,227,2,0,0,0.003648,0,239,0,242
0,2.14431,588,0,6,128.475,2,8192,0,0,206,6,0,0,0.003648,0,245,0,248
0,0.66006,181,0,0,164.52,2,8192,0,0,52,0,0,0,0.003648,0,245,0,248
0,1.22451,336,0,0,71.069,2,8192,0,0,173,0,0,0,0.003648,0,245,0,248
0,2.21734,608,0,0,50.506,2,8192,0,0,309,0,0,0,0.003648,0,245,0,248
0,2.06783,567,0,1,71.806,2,8192,0,0,271,1,0,0,0.003648,0,246,0,249
0,2.18047,598,0,4,83.985,2,8192,0,0,231,4,0,0,0.003648,0,250,0,253
0,2.10731,578,0,3,66.46,2,8192,0,0,206,3,0,0,0.003648,0,253,0,256
0,2.28513,627,0,3,82.043,2,8192,0,0,259,3,0,0,0.003648,0,256,0,259
0,2.20984,606,0,7,81.536,2,8192,0,0,218,7,0,0,0.003648,0,263,0,266
0,2.17661,597,0,4,91.415,2,8192,0,0,204,4,0,0,0.003648,0,267,0,270
0,1.36366,374,0,0,57.91,2,8192,0,0,160,0,0,0,0.003648,0,267,0,270
0,2.05537,564,0,1,43.421,2,8192,0,0,273,1,0,0,0.003648,0,268,0,271
0,1.69961,466,0,2,30.341,2,8192,0,0,174,2,0,0,0.003648,0,270,0,273
0,2.04236,560,0,0,39.442,2,8192,0,0,285,0,0,0,0.003648,0,270,0,273
0,2.02788,556,0,1,58.961,2,8192,0,0,264,1,0,0,0.003648,0,271,0,274
0,1.9897,546,0,1,53.847,2,8192,0,0,257,1,0,0,0.003648,0,272,0,275
0,2.1777,598,0,3,60.221,2,8192,0,0,239,3,0,0,0.003648,0,275,0,278
0,2.22268,610,0,1,96.82,2,8192,0,0,285,1,0,0,0.003648,0,276,0,279
0,1.95489,536,0,4,85.814,2,8192,0,0,217,4,0,0,0.003648,0,280,0,283
0,2.05664,564,0,3,88.524,2,8192,0,0,200,3,0,0,0.003648,0,283,0,286
0,1.8782,515,0,3,71.721,2,8192,0,0,138,3,0,0,0.003648,0,286,0,289
0,2.02013,554,0,0,45.192,2,8192,0,0,283,0,0,0,0.003648,0,286,0,289
0,1.92874,529,0,0,56.778,2,8192,0,0,267,0,0,0,0.003648,0,286,0,289
0,2.03781,559,0,1,64.504,2,8192,0,0,261,1,0,0,0.003648,0,287,0,290
0,2.07622,570,0,2,43.853,2,8192,0,0,213,2,0,0,0.003648,0,289,0,292
0,1.59006,436,0,0,111.423,2,8192,0,0,224,0,0,0,0.003648,0,289,0,292
0,1.38941,381,0,0,113.118,2,8192,0,0,200,0,0,0,0.003648,0,289,0,292
0,1.88017,516,0,1,74.533,2,8192,0,0,245,1,0,0,0.003648,0,290,0,293
0,1.94609,534,0,0,96.915,2,8192,0,0,272,0,0,0,0.003648,0,290,0,293
0,1.94754,534,0,0,62.397,2,8192,0,0,273,0,0,0,0.003648,0,290,0,293
0,1.04206,286,0,1,27.516,2,8192,0,0,92,1,0,0,0.003648,0,291,0,294
0,1.15087,316,0,0,55.021,2,8192,0,0,164,0,0,0,0.003648,0,291,0,294
0,1.75434,481,0,0,53.923,2,8192,0,0,245,0,0,0,0.003648,0,291,0,294
0,1.92536,528,0,0,38.68,2,8192,0,0,271,0,0,0,0.003648,0,291,0,294
0,2.22844,611,0,0,84.401,2,8192,0,0,310,0,0,0,0.003648,0,291,0,294
0,1.74348,478,0,2,71.023,2,8192,0,0,175,2,0,0,0.003648,0,293,0,296
0,0.700241,192,0,0,32.805,2,8192,0,0,103,0,0,0,0.003648,0,293,0,296
0,1.01992,280,0,0,33.558,2,8192,0,0,146,0,0,0,0.003648,0,293,0,296
0,1.77094,486,0,0,77.908,2,8192,0,0,246,0,0,0,0.003648,0,293,0,296
0,1.90365,522,0,0,49.731,2,8192,0,0,267,0,0,0,0.003648,0,293,0,296
0,1.87114,513,0,0,69.93,2,8192,0,0,264,0,0,0,0.003648,0,293,0,296
0,1.74263,478,0,2,50.972,2,8192,0,0,175,2,0,0,0.003648,0,295,0,298
0,1.76728,485,0,0,42.73,2,8192,0,0,249,0,0,0,0.003648,0,295,0,298
0,1.89623,520,0,0,72.263,2,8192,0,0,265,0,0,0,0.003648,0,295,0,298
0,1.99874,548,0,1,71.496,2,8192,0,0,259,1,0,0,0.003648,0,296,0,299
0,2.30496,632,0,1,71.455,2,8192,0,0,299,1,0,0,0.003648,0,297,0,300
0,2.4054,660,0,2,63.111,2,8192,0,0,282,2,0,0,0.003648,0,299,0,302
0,2.34499,643,0,1,80.213,2,8192,0,0,303,1,0,0,0.003648,0,300,0,303
0,2.04227,560,0,3,89.913,2,8192,0,0,198,3,0,0,0.003648,0,303,0,306
0,1.99496,547,0,4,89.288,2,8192,0,0,193,4,0,0,0.003648,0,307,0,310
0,1.99213,547,0,4,90.109,2,8192,0,0,173,4,0,0,0.003648,0,311,0,314
0,2.15538,591,0,4,81.822,2,8192,0,0,193,4,0,0,0.003648,0,315,0,318
0,1.92388,528,0,0,60.643,2,8192,0,0,270,0,0,0,0.003648,0,315,0,318
0,1.6189,444,0,0,95.168,2,8192,0,0,228,0,0,0,0.003648,0,315,0,318
0,1.83995,505,0,0,82.718,2,8192,0,0,259,0,0,0,0.003648,0,315,0,318
0,1.76435,484,0,2,82.202,2,8192,0,0,222,2,0,0,0.003648,0,317,0,320
0,2.09317,574,0,2,81.467,2,8192,0,0,237,2,0,0,0.003648,0,319,0,322
0,1.70619,468,0,2,53.396,2,8192,0,0,155,2,0,0,0.003648,0,321,0,324
0,1.45075,398,0,1,63.129,2,8192,0,0,188,1,0,0,0.003648,0,322,0,325
0,2.10425,577,0,1,59.758,2,8192,0,0,274,1,0,0,0.003648,0,323,0,326
0,2.0019,549,0,1,58.21,2,8192,0,0,260,1,0,0,0.003648,0,324,0,327
0,2.03669,559,0,1,91.718,2,8192,0,0,262,1,0,0,0.003648,0,325,0,328
0,2.13292,585,0,1,91.684,2,8192,0,0,270,1,0,0,0.003648,0,326,0,329
0,1.97556,542,0,2,37.817,2,8192,0,0,189,2,0,0,0.003648,0,328,0,331
0,1.9202,527,0,0,51.395,2,8192,0,0,269,0,0,0,0.003648,0,328,0,331
0,1.59737,438,0,1,101.357,2,8192,0,0,217,1,0,0,0.003648,0,329,0,332
0,1.79816,494,0,1,76.772,2,8192,0,0,219,1,0,0,0.003648,0,330,0,333
0,1.92559,528,0,1,79.633,2,8192,0,0,244,1,0,0,0.003648,0,331,0,334
0,2.12192,582,0,1,86.493,2,8192,0,0,251,1,0,0,0.003648,0,332,0,335
0,1.95491,536,0,0,47.982,2,8192,0,0,263,0,0,0,0.003648,0,332,0,335
0,2.18077,598,0,0,62.137,2,8192,0,0,306,0,0,0,0.003648,0,332,0,335
0,1.78305,489,0,1,75.271,2,8192,0,0,229,1,0,0,0.003648,0,333,0,336
0,0.842429,231,0,1,70.804,2,8192,0,0,74,1,0,0,0.003648,0,334,0,337
0,1.60112,439,0,0,49.148,2,8192,0,0,228,0,0,0,0.003648,0,334,0,337
0,1.7213,472,0,0,52.242,2,8192,0,0,240,0,0,0,0.003648,0,334,0,337
0,1.82464,501,0,0,72.527,2,8192,0,0,257,0,0,0,0.003648,0,334,0,337
0,1.9251,528,0,2,64.634,2,8192,0,0,246,2,0,0,0.003648,0,336,0,339
0,2.31707,636,0,2,66.375,2,8192,0,0,275,2,0,0,0.003648,0,338,0,341
0,2.25033,617,0,0,87.829,2,8192,0,0,315,0,0,0,0.003648,0,338,0,341
0,2.08777,573,0,3,86.471,2,8192,0,0,203,3,0,0,0.003648,0,341,0,344
0,2.02707,556,0,5,99.009,2,8192,0,0,189,5,0,0,0.003648,0,346,0,349
0,2.23566,613,0,2,39.349,2,8192,0,0,211,2,0,0,0.003648,0,348,0,351
0,2.31595,635,0,0,53.809,2,8192,0,0,323,0,0,0,0.003648,0,348,0,351
0,2.17342,596,0,1,57.786,2,8192,0,0,281,1,0,0,0.003648,0,349,0,352
0,2.02767,556,0,3,82.491,2,8192,0,0,252,3,0,0,0.003648,0,352,0,355
0,2.12565,583,0,2,126.48,2,8192,0,0,229,2,0,0,0.003648,0,354,0,357
0,1.96426,539,0,4,75.342,2,8192,0,0,193,4,0,0,0.003648,0,358,0,361
0,2.15467,591,0,2,85.746,2,8192,0,0,242,2,0,0,0.003648,0,360,0,363
0,1.79361,492,0,3,99.813,2,8192,0,0,153,3,0,0,0.003648,0,363,0,366
0,1.33117,365,0,0,53.827,2,8192,0,0,185,0,0,0,0.003648,0,363,0,366
0,2.05234,563,0,3,45.078,2,8192,0,0,235,3,0,0,0.003648,0,366,0,369
0,1.98778,545,0,0,94.478,2,8192,0,0,274,0,0,0,0.003648,0,366,0,369
0,1.83085,502,0,3,89.196,2,8192,0,0,177,3,0,0,0.003648,0,369,0,372
0,1.56403,429,0,0,59.149,2,8192,0,0,186,0,0,0,0.003648,0,369,0,372
0,1.42985,392,0,0,52.781,2,8192,0,0,203,0,0,0,0.003648,0,369,0,372
