MSS,250
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.86577,1230,0,7,91.191,16,8192,0,1,44,7,0,0,0.001648,0,7,0,7
0,2.01889,1226,0,30,86.295,16,8192,0,1,24,30,0,0,0.001648,0,37,0,37
0,1.92111,1166,0,69,86.295,16,8192,0,1,0,65,0,0,0.001648,0,102,0,106
0,0.821124,499,0,41,59.157,16,8192,0,1,5,34,0,0,0.001648,0,136,0,147
0,1.72389,1047,0,49,87.103,16,8192,0,1,28,45,0,0,0.001648,0,181,0,196
0,0.932269,567,0,50,72.856,16,8192,0,1,3,40,0,0,0.001648,0,221,0,246
0,0.76445,464,0,0,25.269,16,8192,0,1,45,0,0,0,0.001648,0,221,0,246
0,0.836139,508,0,0,31.204,16,8192,0,1,60,0,0,0,0.001648,0,221,0,246
0,0.90422,549,0,0,27.78,16,8192,0,1,57,0,0,0,0.001648,0,221,0,246
0,0.911828,554,0,0,47.533,16,8192,0,1,55,0,0,0,0.001648,0,221,0,246
0,1.09404,665,0,0,33.511,16,8192,0,1,61,0,0,0,0.001648,0,221,0,246
0,1.71782,1043,0,5,92.862,16,8192,0,1,42,5,0,0,0.001648,0,226,0,251
0,1.39015,844,0,4,41.84,16,8192,0,1,20,4,0,0,0.001648,0,230,0,255
0,1.90955,1159,0,17,86.457,16,8192,0,1,31,17,0,0,0.001648,0,247,0,272
0,1.65649,1009,0,38,46.07,16,8192,0,1,29,36,0,0,0.001648,0,283,0,310
0,0.768576,467,0,0,30.515,16,8192,0,1,54,0,0,0,0.001648,0,283,0,310
0,0.8237,500,0,0,28.445,16,8192,0,1,51,0,0,0,0.001648,0,283,0,310
0,0.846381,514,0,0,33.81,16,8192,0,1,53,0,0,0,0.001648,0,283,0,310
0,0.918408,558,0,0,37.172,16,8192,0,1,52,0,0,0,0.001648,0,283,0,310
0,1.46196,888,0,1,63.919,16,8192,0,1,58,1,0,0,0.001648,0,284,0,311
0,2.07145,1261,0,13,85.778,16,8192,0,1,30,13,0,0,0.001648,0,297,0,324
0,1.56194,948,0,24,25.106,16,8192,0,1,42,24,0,0,0.001648,0,321,0,348
0,0.747997,454,0,0,47.066,16,8192,0,1,54,0,0,0,0.001648,0,321,0,348
0,0.767757,466,0,0,34.25,16,8192,0,1,54,0,0,0,0.001648,0,321,0,348
0,0.811458,493,0,0,28.619,16,8192,0,1,56,0,0,0,0.001648,0,321,0,348
0,0.874302,531,0,0,32.68,16,8192,0,1,56,0,0,0,0.001648,0,321,0,348
0,0.902392,548,0,0,35.204,16,8192,0,1,61,0,0,0,0.001648,0,321,0,348
0,0.937334,569,0,0,28.47,16,8192,0,1,57,0,0,0,0.001648,0,321,0,348
0,1.0182,618,0,0,33.024,16,8192,0,1,57,0,0,0,0.001648,0,321,0,348
0,1.29313,785,0,0,68.164,16,8192,0,1,62,0,0,0,0.001648,0,321,0,348
0,1.77198,1076,0,2,93.534,16,8192,0,1,59,2,0,0,0.001648,0,323,0,350
0,1.96555,1193,0,8,87.722,16,8192,0,1,22,8,0,0,0.001648,0,331,0,358
0,2.04654,1243,0,25,91.15,16,8192,0,1,22,25,0,0,0.001648,0,356,0,383
0,0.988648,600,0,29,87.698,16,8192,0,1,2,29,0,0,0.001648,0,385,0,412
0,0.294912,179,0,0,32.665,16,8192,0,1,51,0,0,0,0.001648,0,385,0,412
0,0.345645,210,0,0,21.762,16,8192,0,1,58,0,0,0,0.001648,0,385,0,412
0,0.380316,231,0,0,55.311,16,8192,0,1,52,0,0,0,0.001648,0,385,0,412
0,0.431436,262,0,0,23.899,16,8192,0,1,57,0,0,0,0.001648,0,385,0,412
0,0.477713,290,0,0,26.866,16,8192,0,1,54,0,0,0,0.001648,0,385,0,412
0,0.596367,362,0,0,54.79,16,8192,0,1,48,0,0,0,0.001648,0,385,0,412
0,0.943511,573,0,0,33.663,16,8192,0,1,54,0,0,0,0.001648,0,385,0,412
0,1.64592,999,0,4,82.614,16,8192,0,1,48,4,0,0,0.001648,0,389,0,416
0,1.73813,1055,0,17,84.313,16,8192,0,1,34,17,0,0,0.001648,0,406,0,433
0,1.89574,1151,0,62,97.94,16,8192,0,1,6,59,0,0,0.001648,0,465,0,495
0,0.932812,567,0,24,39.621,16,8192,0,1,18,19,0,0,0.001648,0,484,0,519
0,0.884359,537,0,0,35.976,16,8192,0,1,55,0,0,0,0.001648,0,484,0,519
0,1.23318,749,0,0,34.716,16,8192,0,1,55,0,0,0,0.001648,0,484,0,519
0,1.76663,1073,0,2,77.352,16,8192,0,1,59,2,0,0,0.001648,0,486,0,521
0,1.6883,1025,0,16,77.894,16,8192,0,1,17,16,0,0,0.001648,0,502,0,537
0,0.834248,508,0,0,42.047,16,8192,0,1,52,0,0,0,0.001648,0,502,0,537
0,0.907828,551,0,0,40.561,16,8192,0,1,50,0,0,0,0.001648,0,502,0,537
0,1.7105,1039,0,2,80.336,16,8192,0,1,57,2,0,0,0.001648,0,504,0,539
0,1.67358,1016,0,42,99.924,16,8192,0,1,22,40,0,0,0.001648,0,544,0,581
0,1.58934,965,0,60,99.924,16,8192,0,1,0,52,0,0,0.001648,0,596,0,641
0,0.594544,361,0,0,29.837,16,8192,0,1,34,0,0,0,0.001648,0,596,0,641
0,1.28966,783,0,0,32.82,16,8192,0,1,57,0,0,0,0.001648,0,596,0,641
0,1.86483,1132,0,9,83.974,16,8192,0,1,37,9,0,0,0.001648,0,605,0,650
0,1.49258,906,0,33,80.659,16,8192,0,1,0,33,0,0,0.001648,0,638,0,683
0,1.70682,1036,0,13,77.084,16,8192,0,1,44,13,0,0,0.001648,0,651,0,696
0,1.06372,646,0,8,31.25,16,8192,0,1,48,8,0,0,0.001648,0,659,0,704
0,1.517,921,0,12,95.971,16,8192,0,1,39,12,0,0,0.001648,0,671,0,716
0,1.87994,1141,0,50,57.743,16,8192,0,1,35,49,0,0,0.001648,0,720,0,766
0,0.688475,418,0,0,40.903,16,8192,0,1,53,0,0,0,0.001648,0,720,0,766
0,1.05572,641,0,1,71.564,16,8192,0,1,53,1,0,0,0.001648,0,721,0,767
0,2.13975,1304,0,23,98.9,16,8192,0,1,27,23,0,0,0.001648,0,744,0,790
0,1.74956,1062,0,13,88.927,16,8192,0,1,31,13,0,0,0.001648,0,757,0,803
0,2.03281,1235,0,44,80.702,16,8192,0,1,27,42,0,0,0.001648,0,799,0,847
0,1.26197,766,0,0,26.458,16,8192,0,1,46,0,0,0,0.001648,0,799,0,847
0,1.31001,795,0,0,58.45,16,8192,0,1,60,0,0,0,0.001648,0,799,0,847
0,1.33295,809,0,0,51.529,16,8192,0,1,60,0,0,0,0.001648,0,799,0,847
0,1.3801,838,0,0,28.971,16,8192,0,1,60,0,0,0,0.001648,0,799,0,847
0,1.412,857,0,0,36.678,16,8192,0,1,64,0,0,0,0.001648,0,799,0,847
0,1.48883,905,0,0,41.498,16,8192,0,1,62,0,0,0,0.001648,0,799,0,847
0,1.52219,924,0,0,34.82,16,8192,0,1,68,0,0,0,0.001648,0,799,0,847
0,1.56517,950,0,0,35.643,16,8192,0,1,65,0,0,0,0.001648,0,799,0,847
0,1.59974,971,0,0,41.486,16,8192,0,1,62,0,0,0,0.001648,0,799,0,847
0,1.77447,1077,0,3,101.03,16,8192,0,1,55,3,0,0,0.001648,0,802,0,850
0,2.01157,1221,0,27,91.946,16,8192,0,1,1,27,0,0,0.001648,0,829,0,877
0,1.22244,742,0,2,47.338,16,8192,0,1,25,2,0,0,0.001648,0,831,0,879
0,1.55261,943,0,10,34.331,16,8192,0,1,39,10,0,0,0.001648,0,841,0,889
0,1.18714,722,0,0,38.308,16,8192,0,1,63,0,0,0,0.001648,0,841,0,889
