MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,0.948147,2402,0,0,64.248,2,8192,0,0,1206,0,0,0,0.000448,0,0,0,0
0,1.2862,2872,0,0,28.491,2,8192,0,0,1441,0,0,0,0.000448,0,0,0,0
0,1.43057,3194,0,0,161.093,2,8192,0,0,1599,0,0,0,0.000448,0,0,0,0
0,1.26748,2830,0,0,105.078,2,8192,0,0,1417,0,0,0,0.000448,0,0,0,0
0,1.38324,3094,0,0,60.683,2,8192,0,0,1551,0,0,0,0.000448,0,0,0,0
0,1.43651,3208,0,0,43.277,2,8192,0,0,1607,0,0,0,0.000448,0,0,0,0
0,1.39609,3117,0,0,106.228,2,8192,0,0,1561,0,0,0,0.000448,0,0,0,0
0,1.25065,2793,0,0,53.047,2,8192,0,0,1400,0,0,0,0.000448,0,0,0,0
0,1.2907,2887,0,0,57.458,2,8192,0,0,1357,0,0,0,0.000448,0,0,0,0
0,1.24163,2774,0,0,63.627,2,8192,0,0,1390,0,0,0,0.000448,0,0,0,0
0,1.19937,2678,0,0,112.112,2,8192,0,0,1343,0,0,0,0.000448,0,0,0,0
0,1.4006,3127,0,0,119.083,2,8192,0,0,1568,0,0,0,0.000448,0,0,0,0
0,1.34155,2995,0,0,110.209,2,8192,0,0,1501,0,0,0,0.000448,0,0,0,0
0,1.26481,2826,0,0,31.816,2,8192,0,0,1419,0,0,0,0.000448,0,0,0,0
0,1.42439,3180,0,0,48.005,2,8192,0,0,1592,0,0,0,0.000448,0,0,0,0
0,1.35441,3024,0,0,83.131,2,8192,0,0,1516,0,0,0,0.000448,0,0,0,0
0,1.36208,3042,0,0,90.673,2,8192,0,0,1523,0,0,0,0.000448,0,0,0,0
