MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,1.27011,3177,0,0,30.401,16,8192,0,1,74,0,0,0,0.000448,0,0,0,0
0,1.65891,3704,0,0,35.091,16,8192,0,1,76,0,0,0,0.000448,0,0,0,0
0,1.6506,3693,0,0,24.521,16,8192,0,1,78,0,0,0,0.000448,0,0,0,0
0,1.72264,3846,0,0,28.71,16,8192,0,1,78,0,0,0,0.000448,0,0,0,0
0,1.58147,3532,0,0,31.697,16,8192,0,1,76,0,0,0,0.000448,0,0,0,0
0,1.74601,3900,0,0,30.717,16,8192,0,1,80,0,0,0,0.000448,0,0,0,0
0,1.73388,3871,0,0,34.179,16,8192,0,1,77,0,0,0,0.000448,0,0,0,0
0,1.75517,3919,0,0,31.312,16,8192,0,1,80,0,0,0,0.000448,0,0,0,0
0,1.71398,3827,0,0,28.371,16,8192,0,1,76,0,0,0,0.000448,0,0,0,0
0,1.51221,3376,0,0,35.887,16,8192,0,1,76,0,0,0,0.000448,0,0,0,0
0,1.62279,3625,0,0,30.118,16,8192,0,1,79,0,0,0,0.000448,0,0,0,0
0,1.71948,3839,0,0,32.879,16,8192,0,1,79,0,0,0,0.000448,0,0,0,0
0,1.6052,3585,0,0,30.445,16,8192,0,1,78,0,0,0,0.000448,0,0,0,0
0,1.61837,3614,0,0,27.933,16,8192,0,1,78,0,0,0,0.000448,0,0,0,0
0,1.72764,3857,0,0,26.337,16,8192,0,1,77,0,0,0,0.000448,0,0,0,0
0,1.72161,3844,0,0,32.193,16,8192,0,1,80,0,0,0,0.000448,0,0,0,0
0,1.71565,3831,0,0,35.407,16,8192,0,1,79,0,0,0,0.000448,0,0,0,0
0,1.73123,3866,0,0,27.217,16,8192,0,1,81,0,0,0,0.000448,0,0,0,0
0,1.63609,3653,0,0,29.815,16,8192,0,1,80,0,0,0,0.000448,0,0,0,0
0,1.70529,3807,0,0,31.973,16,8192,0,1,79,0,0,0,0.000448,0,0,0,0
0,1.6632,3715,0,0,33.007,16,8192,0,1,77,0,0,0,0.000448,0,0,0,0
