MSS,1250
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,3.10803,372,0,13,165.583,2,8192,0,0,108,13,0,0,0.009648,0,13,0,13
0,1.87086,194,0,4,69.654,2,8192,0,0,45,4,0,0,0.009648,0,17,0,17
0,3.11556,323,0,10,125.441,2,8192,0,0,83,10,0,0,0.009648,0,27,0,27
0,2.91108,302,0,10,137.67,2,8192,0,0,76,10,0,0,0.009648,0,37,0,37
0,2.81487,292,0,11,139.865,2,8192,0,0,66,11,0,0,0.009648,0,48,0,48
0,3.18178,330,0,10,151.881,2,8192,0,0,75,10,0,0,0.009648,0,58,0,58
0,3.69058,383,0,8,139.88,2,8192,0,0,95,8,0,0,0.009648,0,66,0,66
0,2.64251,274,0,5,122.953,2,8192,0,0,52,5,0,0,0.009648,0,71,0,71
0,3.26851,339,0,3,67.711,2,8192,0,0,133,3,0,0,0.009648,0,74,0,74
0,3.07687,319,0,5,96.484,2,8192,0,0,101,5,0,0,0.009648,0,79,0,79
0,2.95091,306,0,5,104.333,2,8192,0,0,88,5,0,0,0.009648,0,84,0,84
0,2.98048,309,0,7,100.569,2,8192,0,0,104,7,0,0,0.009648,0,91,0,91
0,3.24097,336,0,6,101.33,2,8192,0,0,112,6,0,0,0.009648,0,97,0,97
0,3.11579,323,0,5,113.509,2,8192,0,0,79,5,0,0,0.009648,0,102,0,102
0,3.0098,312,0,5,92.96,2,8192,0,0,96,5,0,0,0.009648,0,107,0,107
0,3.03855,315,0,6,120.755,2,8192,0,0,88,6,0,0,0.009648,0,113,0,113
0,3.38983,352,0,4,124.022,2,8192,0,0,93,4,0,0,0.009648,0,117,0,117
0,3.05689,317,0,7,109.641,2,8192,0,0,89,7,0,0,0.009648,0,124,0,124
0,3.26008,338,0,8,136.952,2,8192,0,0,80,8,0,0,0.009648,0,132,0,132
0,3.18888,331,0,9,177.648,2,8192,0,0,93,9,0,0,0.009648,0,141,0,141
0,2.93245,304,0,10,169.478,2,8192,0,0,71,10,0,0,0.009648,0,151,0,151
0,3.28605,341,0,10,140.746,2,8192,0,0,93,10,0,0,0.009648,0,161,0,161
0,3.07584,319,0,9,160.472,2,8192,0,0,78,9,0,0,0.009648,0,170,0,170
