MSS,750
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,7.07029,1779,0,12,55.139,2,8192,0,0,839,2,0,0,0.005648,0,2,0,12
0,21.1784,3751,0,4,92.362,2,8192,0,0,1759,1,0,0,0.005648,0,3,0,16
0,23.0394,4080,0,0,73.191,2,8192,0,0,2041,0,0,0,0.005648,0,3,0,16
0,22.7973,4037,0,0,147.959,2,8192,0,0,2020,0,0,0,0.005648,0,3,0,16
0,22.8045,4038,0,0,80.087,2,8192,0,0,2019,0,0,0,0.005648,0,3,0,16
0,25.2898,4478,0,12,64.362,2,8192,0,0,2061,1,0,0,0.005648,0,4,0,28
0,23.7575,4208,0,0,85.393,2,8192,0,0,2105,0,0,0,0.005648,0,4,0,28
0,23.6286,4184,0,0,188.686,2,8192,0,0,2093,0,0,0,0.005648,0,4,0,28
0,23.5207,4165,0,0,120.679,2,8192,0,0,2083,0,0,0,0.005648,0,4,0,28
0,24.0022,4250,0,0,116.591,2,8192,0,0,2126,0,0,0,0.005648,0,4,0,28
0,23.7803,4211,0,28,80.179,2,8192,0,0,1761,6,0,0,0.005648,0,10,0,56
0,4.79415,849,0,16,70.719,2,8192,0,0,5,2,0,0,0.005648,0,12,0,72
0,12.6825,2246,0,0,67.363,2,8192,0,0,966,0,0,0,0.005648,0,12,0,72
0,24.0467,4259,0,0,75.459,2,8192,0,0,2130,0,0,0,0.005648,0,12,0,72
0,23.9777,4246,0,0,83.907,2,8192,0,0,2124,0,0,0,0.005648,0,12,0,72
0,24.1124,4270,0,0,85.707,2,8192,0,0,2136,0,0,0,0.005648,0,12,0,72
0,24.7615,4385,0,0,85.19,2,8192,0,0,2193,0,0,0,0.005648,0,12,0,72
0,23.2434,4116,0,0,115.222,2,8192,0,0,2060,0,0,0,0.005648,0,12,0,72
0,24.1972,4285,0,0,134.702,2,8192,0,0,2143,0,0,0,0.005648,0,12,0,72
0,25.3173,4483,0,39,83.7,2,8192,0,0,1800,5,0,0,0.005648,0,17,0,111
0,24.9363,4416,0,8,142.203,2,8192,0,0,2031,1,0,0,0.005648,0,18,0,119
0,24.7543,4384,0,9,70.932,2,8192,0,0,1969,1,0,0,0.005648,0,19,0,128
0,23.0141,4076,0,0,73.942,2,8192,0,0,2039,0,0,0,0.005648,0,19,0,128
0,22.6245,4007,0,0,93.631,2,8192,0,0,2005,0,0,0,0.005648,0,19,0,128
