MSS,100
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,2.46205,7347,0,0,52.513,2,8192,0,0,3679,0,0,0,0.000448,0,0,0,0
0,4.00703,8946,0,33,73.206,2,8192,0,0,3678,3,0,0,0.000448,0,3,0,33
0,3.99913,8928,0,137,38.805,2,8192,0,0,553,11,0,0,0.000448,0,14,0,170
0,1.9742,4408,0,0,46.834,2,8192,0,0,1875,0,0,0,0.000448,0,14,0,170
0,3.90802,8725,0,0,85.978,2,8192,0,0,4362,0,0,0,0.000448,0,14,0,170
0,3.66535,8183,0,0,71.757,2,8192,0,0,4093,0,0,0,0.000448,0,14,0,170
0,2.97282,6638,0,149,55.362,2,8192,0,0,1488,12,0,0,0.000448,0,26,0,319
0,1.27217,2840,0,0,58.61,2,8192,0,0,1115,0,0,0,0.000448,0,26,0,319
0,3.72796,8323,0,0,71.11,2,8192,0,0,4162,0,0,0,0.000448,0,26,0,319
0,3.54025,7905,0,0,75.613,2,8192,0,0,3955,0,0,0,0.000448,0,26,0,319
0,4.04273,9026,0,0,63.668,2,8192,0,0,4514,0,0,0,0.000448,0,26,0,319
0,3.52804,7876,0,242,41.809,2,8192,0,0,2997,19,0,0,0.000448,0,45,0,561
0,0.564843,1261,0,0,31.322,2,8192,0,0,71,0,0,0,0.000448,0,45,0,561
0,3.38224,7552,0,0,55.859,2,8192,0,0,3776,0,0,0,0.000448,0,45,0,561
0,3.78057,8440,0,0,72.543,2,8192,0,0,4220,0,0,0,0.000448,0,45,0,561
0,3.7763,8430,0,0,53.127,2,8192,0,0,4217,0,0,0,0.000448,0,45,0,561
0,3.8133,8515,0,55,61.417,2,8192,0,0,4170,5,0,0,0.000448,0,50,0,616
0,4.12697,9213,0,29,82.638,2,8192,0,0,4268,1,0,0,0.000448,0,51,0,645
0,3.86621,8631,0,0,57.508,2,8192,0,0,4317,0,0,0,0.000448,0,51,0,645
0,3.75748,8389,0,0,56.213,2,8192,0,0,4198,0,0,0,0.000448,0,51,0,645
0,3.40725,7607,0,0,63.562,2,8192,0,0,3806,0,0,0,0.000448,0,51,0,645
0,1.21753,2718,0,164,41.322,2,8192,0,0,873,11,0,0,0.000448,0,62,0,809
0,1.56553,3495,0,0,41.421,2,8192,0,0,1439,0,0,0,0.000448,0,62,0,809
0,3.51978,7858,0,0,51.783,2,8192,0,0,3931,0,0,0,0.000448,0,62,0,809
0,3.52814,7877,0,0,49.977,2,8192,0,0,3939,0,0,0,0.000448,0,62,0,809
0,3.58722,8010,0,0,47.748,2,8192,0,0,4006,0,0,0,0.000448,0,62,0,809
