MSS,750
SendRate(Mb/s),ReceiveRate(Mb/s),RecvPackets,Send Loss,Recv Loss,RTT(ms),CWnd,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
0,25.6791,6411,0,24,54.715,16,8192,0,1,102,4,0,0,0.005648,0,4,0,24
0,30.3479,5374,0,6,60.316,16,8192,0,1,86,2,0,0,0.005648,0,6,0,30
0,31.1442,5516,0,0,57.783,16,8192,0,1,91,0,0,0,0.005648,0,6,0,30
0,30.5966,5418,0,0,56.508,16,8192,0,1,92,0,0,0,0.005648,0,6,0,30
0,29.478,5221,0,2,58.609,16,8192,0,1,86,1,0,0,0.005648,0,7,0,32
0,30.6363,5425,0,23,54.699,16,8192,0,1,78,4,0,0,0.005648,0,11,0,55
0,30.5462,5410,0,4,60.149,16,8192,0,1,86,2,0,0,0.005648,0,13,0,59
0,30.8384,5461,0,15,49.443,16,8192,0,1,83,4,0,0,0.005648,0,17,0,74
0,28.2268,4999,0,103,51.301,16,8192,0,1,68,18,0,0,0.005648,0,35,0,177
0,30.4157,5386,0,0,50.974,16,8192,0,1,61,0,0,0,0.005648,0,35,0,177
0,30.9785,5486,0,0,55.733,16,8192,0,1,88,0,0,0,0.005648,0,35,0,177
0,29.3819,5203,0,0,53.861,16,8192,0,1,88,0,0,0,0.005648,0,35,0,177
0,32.0789,5681,0,8,52.59,16,8192,0,1,84,2,0,0,0.005648,0,37,0,185
0,33.0745,5857,0,0,56.224,16,8192,0,1,91,0,0,0,0.005648,0,37,0,185
0,32.9169,5829,0,16,52.745,16,8192,0,1,78,3,0,0,0.005648,0,40,0,201
0,29.4866,5222,0,0,53.636,16,8192,0,1,90,0,0,0,0.005648,0,40,0,201
0,30.1689,5342,0,0,55.472,16,8192,0,1,91,0,0,0,0.005648,0,40,0,201
0,29.8683,5289,0,0,57.976,16,8192,0,1,90,0,0,0,0.005648,0,40,0,201
0,30.4174,5387,0,60,55.807,16,8192,0,1,63,12,0,0,0.005648,0,52,0,261
0,29.9767,5309,0,39,45.052,16,8192,0,1,49,4,0,0,0.005648,0,56,0,300
0,31.0763,5503,0,0,50.481,16,8192,0,1,91,0,0,0,0.005648,0,56,0,300
0,30.9829,5487,0,0,48.808,16,8192,0,1,92,0,0,0,0.005648,0,56,0,300
0,30.912,5474,0,0,55.712,16,8192,0,1,90,0,0,0,0.005648,0,56,0,300
0,28.321,5016,0,0,54.234,16,8192,0,1,88,0,0,0,0.005648,0,56,0,300
0,30.6787,5433,0,0,60.05,16,8192,0,1,91,0,0,0,0.005648,0,56,0,300
0,30.9801,5486,0,74,57.376,16,8192,0,1,73,9,0,0,0.005648,0,65,0,374
0,30.9359,5478,0,55,54.767,16,8192,0,1,70,7,0,0,0.005648,0,72,0,429
0,31.1171,5511,0,0,56.301,16,8192,0,1,90,0,0,0,0.005648,0,72,0,429
0,31.146,5515,0,0,62.11,16,8192,0,1,92,0,0,0,0.005648,0,72,0,429
0,30.6903,5435,0,11,61.612,16,8192,0,1,88,2,0,0,0.005648,0,74,0,440
0,31.5448,5586,0,49,53.005,16,8192,0,1,74,5,0,0,0.005648,0,79,0,489
0,28.7539,5092,0,71,46.312,16,8192,0,1,83,11,0,0,0.005648,0,90,0,560
0,29.9075,5296,0,0,47.184,16,8192,0,1,92,0,0,0,0.005648,0,90,0,560
0,31.1165,5510,0,0,53.238,16,8192,0,1,92,0,0,0,0.005648,0,90,0,560
0,29.1827,5168,0,0,59.253,16,8192,0,1,90,0,0,0,0.005648,0,90,0,560
0,29.4422,5214,0,0,56.781,16,8192,0,1,91,0,0,0,0.005648,0,90,0,560
0,29.5405,5231,0,0,57.703,16,8192,0,1,91,0,0,0,0.005648,0,90,0,560
0,30.5949,5418,0,24,55.476,16,8192,0,1,76,5,0,0,0.005648,0,95,0,584
0,30.0439,5320,0,0,58.53,16,8192,0,1,90,0,0,0,0.005648,0,95,0,584
0,32.0954,5684,0,60,53.602,16,8192,0,1,75,9,0,0,0.005648,0,104,0,644
0,28.9302,5123,0,0,55.542,16,8192,0,1,88,0,0,0,0.005648,0,104,0,644
0,28.068,4970,0,115,56.298,16,8192,0,1,64,22,0,0,0.005648,0,126,0,759
0,31.4644,5572,0,0,50.486,16,8192,0,1,74,0,0,0,0.005648,0,126,0,759
0,31.7179,5617,0,0,49.866,16,8192,0,1,92,0,0,0,0.005648,0,126,0,759
0,30.0145,5315,0,0,55.309,16,8192,0,1,92,0,0,0,0.005648,0,126,0,759
0,32.2811,5717,0,0,58.772,16,8192,0,1,91,0,0,0,0.005648,0,126,0,759
0,31.7328,5620,0,0,59.276,16,8192,0,1,90,0,0,0,0.005648,0,126,0,759
0,31.7887,5630,0,7,59.003,16,8192,0,1,86,1,0,0,0.005648,0,127,0,766
0,29.6414,5249,0,18,64.56,16,8192,0,1,78,5,0,0,0.005648,0,132,0,784
0,32.2059,5704,0,0,58.367,16,8192,0,1,94,0,0,0,0.005648,0,132,0,784
0,31.7767,5627,0,12,58.485,16,8192,0,1,86,1,0,0,0.005648,0,133,0,796
0,27.4605,4863,0,0,55.535,16,8192,0,1,89,0,0,0,0.005648,0,133,0,796
0,27.7109,4907,0,0,60.413,16,8192,0,1,87,0,0,0,0.005648,0,133,0,796
0,30.7765,5450,0,5,62.365,16,8192,0,1,84,2,0,0,0.005648,0,135,0,801
0,29.281,5185,0,156,60.801,16,8192,0,1,26,27,0,0,0.005648,0,162,0,957
0,30.0896,5329,0,0,51.816,16,8192,0,1,87,0,0,0,0.005648,0,162,0,957
0,28.9435,5125,0,0,56.558,16,8192,0,1,90,0,0,0,0.005648,0,162,0,957
0,29.561,5236,0,0,57.994,16,8192,0,1,89,0,0,0,0.005648,0,162,0,957
0,26.9992,4781,0,0,57.783,16,8192,0,1,88,0,0,0,0.005648,0,162,0,957
0,31.5344,5584,0,0,61.638,16,8192,0,1,93,0,0,0,0.005648,0,162,0,957
0,29.7755,5273,0,0,61.631,16,8192,0,1,89,0,0,0,0.005648,0,162,0,957
0,29.72,5264,0,17,62.007,16,8192,0,1,78,4,0,0,0.005648,0,166,0,974
0,28.1729,4989,0,32,58.723,16,8192,0,1,83,2,0,0,0.005648,0,168,0,1006
0,31.4389,5568,0,2,61.241,16,8192,0,1,85,1,0,0,0.005648,0,169,0,1008
0,30.5117,5404,0,4,59.796,16,8192,0,1,85,1,0,0,0.005648,0,170,0,1012
0,28.8787,5114,0,0,56.101,16,8192,0,1,90,0,0,0,0.005648,0,170,0,1012
0,30.2459,5358,0,67,49.311,16,8192,0,1,43,6,0,0,0.005648,0,176,0,1079
0,30.0946,5330,0,27,48.606,16,8192,0,1,88,6,0,0,0.005648,0,182,0,1106
0,27.8394,4931,0,0,53.245,16,8192,0,1,89,0,0,0,0.005648,0,182,0,1106
0,29.2634,5182,0,0,52.866,16,8192,0,1,91,0,0,0,0.005648,0,182,0,1106
0,30.1625,5342,0,0,57.006,16,8192,0,1,92,0,0,0,0.005648,0,182,0,1106
0,29.86,5292,0,0,60.023,16,8192,0,1,88,0,0,0,0.005648,0,182,0,1106
0,30.1587,5341,0,0,61.526,16,8192,0,1,93,0,0,0,0.005648,0,182,0,1106
0,30.4333,5389,0,9,62.465,16,8192,0,1,76,3,0,0,0.005648,0,185,0,1115
0,27.3287,4840,0,65,70.236,16,8192,0,1,77,10,0,0,0.005648,0,195,0,1180
0,29.2685,5183,0,33,63.477,16,8192,0,1,85,5,0,0,0.005648,0,200,0,1213
0,29.1991,5171,0,2,57.503,16,8192,0,1,81,2,0,0,0.005648,0,202,0,1215
0,27.1264,4804,0,0,59.905,16,8192,0,1,89,0,0,0,0.005648,0,202,0,1215
0,26.3676,4669,0,139,59.001,16,8192,0,1,76,12,0,0,0.005648,0,214,0,1354
0,29.6403,5249,0,0,60.977,16,8192,0,1,53,0,0,0,0.005648,0,214,0,1354
0,29.5454,5232,0,0,57.707,16,8192,0,1,92,0,0,0,0.005648,0,214,0,1354
0,31.4789,5575,0,0,64.569,16,8192,0,1,90,0,0,0,0.005648,0,214,0,1354
0,29.694,5259,0,4,62.88,16,8192,0,1,86,2,0,0,0.005648,0,216,0,1358
0,29.4286,5212,0,84,55.606,16,8192,0,1,35,12,0,0,0.005648,0,228,0,1442
0,30.2661,5360,0,43,50.094,16,8192,0,1,87,3,0,0,0.005648,0,231,0,1485
0,28.8466,5110,0,0,52.494,16,8192,0,1,89,0,0,0,0.005648,0,231,0,1485
0,30.1972,5348,0,0,54.361,16,8192,0,1,90,0,0,0,0.005648,0,231,0,1485
0,28.7037,5083,0,0,57.313,16,8192,0,1,91,0,0,0,0.005648,0,231,0,1485
0,28.8827,5115,0,0,58.92,16,8192,0,1,89,0,0,0,0.005648,0,231,0,1485
0,28.2067,4995,0,0,61.853,16,8192,0,1,89,0,0,0,0.005648,0,231,0,1485
0,30.2319,5354,0,78,66.1,16,8192,0,1,75,12,0,0,0.005648,0,243,0,1563
0,26.4036,4676,0,24,55.717,16,8192,0,1,77,4,0,0,0.005648,0,247,0,1587
0,28.7141,5085,0,0,63.353,16,8192,0,1,88,0,0,0,0.005648,0,247,0,1587
0,29.1207,5158,0,0,60.721,16,8192,0,1,86,0,0,0,0.005648,0,247,0,1587
0,30.6882,5436,0,53,62.386,16,8192,0,1,80,6,0,0,0.005648,0,253,0,1640
0,29.7573,5270,0,2,57.154,16,8192,0,1,43,1,0,0,0.005648,0,254,0,1642
0,29.7806,5274,0,0,59.057,16,8192,0,1,89,0,0,0,0.005648,0,254,0,1642
0,29.0436,5143,0,0,67.669,16,8192,0,1,88,0,0,0,0.005648,0,254,0,1642
0,29.5129,5226,0,0,65.97,16,8192,0,1,89,0,0,0,0.005648,0,254,0,1642
0,30.61,5420,0,148,52.354,16,8192,0,1,40,15,0,0,0.005648,0,269,0,1790
0,28.8514,5109,0,0,54.515,16,8192,0,1,91,0,0,0,0.005648,0,269,0,1790
0,32.8734,5821,0,0,58.464,16,8192,0,1,91,0,0,0,0.005648,0,269,0,1790
0,31.9132,5652,0,0,56.433,16,8192,0,1,93,0,0,0,0.005648,0,269,0,1790
0,30.4179,5387,0,0,59.894,16,8192,0,1,88,0,0,0,0.005648,0,269,0,1790
0,30.3134,5368,0,0,63.377,16,8192,0,1,88,0,0,0,0.005648,0,269,0,1790
0,30.1153,5334,0,10,64.498,16,8192,0,1,89,1,0,0,0.005648,0,270,0,1800
0,29.9864,5310,0,39,60.733,16,8192,0,1,78,6,0,0,0.005648,0,276,0,1839
0,31.3662,5554,0,0,53.851,16,8192,0,1,92,0,0,0,0.005648,0,276,0,1839
0,28.7861,5098,0,0,58.112,16,8192,0,1,91,0,0,0,0.005648,0,276,0,1839
0,29.8149,5280,0,0,58.074,16,8192,0,1,90,0,0,0,0.005648,0,276,0,1839
0,30.361,5376,0,0,62.163,16,8192,0,1,91,0,0,0,0.005648,0,276,0,1839
0,28.8235,5104,0,0,61.576,16,8192,0,1,91,0,0,0,0.005648,0,276,0,1839
0,28.3305,5017,0,0,65.474,16,8192,0,1,91,0,0,0,0.005648,0,276,0,1839
0,30.0504,5322,0,21,60.796,16,8192,0,1,80,6,0,0,0.005648,0,282,0,1860
0,26.9081,4767,0,5,63.883,16,8192,0,1,86,1,0,0,0.005648,0,283,0,1865
0,29.0965,5153,0,0,58.765,16,8192,0,1,87,0,0,0,0.005648,0,283,0,1865
0,31.4917,5578,0,7,65.505,16,8192,0,1,86,1,0,0,0.005648,0,284,0,1872
0,29.9476,5304,0,0,65.336,16,8192,0,1,89,0,0,0,0.005648,0,284,0,1872
0,29.8939,5294,0,44,62.155,16,8192,0,1,81,6,0,0,0.005648,0,290,0,1916
0,30.9991,5489,0,0,68.906,16,8192,0,1,91,0,0,0,0.005648,0,290,0,1916
0,33.531,5939,0,24,64.703,16,8192,0,1,68,5,0,0,0.005648,0,295,0,1940
0,30.9069,5473,0,0,64.015,16,8192,0,1,92,0,0,0,0.005648,0,295,0,1940
0,28.3671,5024,0,10,63.264,16,8192,0,1,77,3,0,0,0.005648,0,298,0,1950
0,28.0444,4966,0,0,61.137,16,8192,0,1,90,0,0,0,0.005648,0,298,0,1950
0,28.0829,4973,0,0,63.556,16,8192,0,1,83,0,0,0,0.005648,0,298,0,1950
0,27.8978,4940,0,15,60.058,16,8192,0,1,83,2,0,0,0.005648,0,300,0,1965
0,31.4493,5569,0,0,66.57,16,8192,0,1,91,0,0,0,0.005648,0,300,0,1965
0,28.9078,5119,0,0,64.135,16,8192,0,1,89,0,0,0,0.005648,0,300,0,1965
0,28.36,5022,0,18,61.36,16,8192,0,1,83,1,0,0,0.005648,0,301,0,1983
0,29.3442,5197,0,85,64.603,16,8192,0,1,83,13,0,0,0.005648,0,314,0,2068
0,29.5591,5234,0,28,51.266,16,8192,0,1,44,7,0,0,0.005648,0,321,0,2096
0,31.159,5518,0,0,54.55,16,8192,0,1,91,0,0,0,0.005648,0,321,0,2096
0,29.5889,5240,0,0,55.868,16,8192,0,1,90,0,0,0,0.005648,0,321,0,2096
0,31.0659,5501,0,0,57.435,16,8192,0,1,90,0,0,0,0.005648,0,321,0,2096
0,32.0165,5670,0,0,60.344,16,8192,0,1,89,0,0,0,0.005648,0,321,0,2096
0,29.8056,5278,0,23,65.584,16,8192,0,1,76,6,0,0,0.005648,0,327,0,2119
0,29.5853,5239,0,0,62.32,16,8192,0,1,90,0,0,0,0.005648,0,327,0,2119
0,32.4205,5742,0,50,60.071,16,8192,0,1,72,6,0,0,0.005648,0,333,0,2169
0,30.0668,5324,0,0,63.076,16,8192,0,1,91,0,0,0,0.005648,0,333,0,2169
0,29.4339,5212,0,0,64.847,16,8192,0,1,90,0,0,0,0.005648,0,333,0,2169
0,30.4154,5386,0,67,63.817,16,8192,0,1,82,10,0,0,0.005648,0,343,0,2236
0,30.0222,5317,0,0,63.86,16,8192,0,1,91,0,0,0,0.005648,0,343,0,2236
0,29.4331,5212,0,7,58.465,16,8192,0,1,84,1,0,0,0.005648,0,344,0,2243
0,30.1002,5330,0,0,63.984,16,8192,0,1,91,0,0,0,0.005648,0,344,0,2243
0,28.9306,5123,0,0,62.997,16,8192,0,1,92,0,0,0,0.005648,0,344,0,2243
0,30.6368,5426,0,3,65.562,16,8192,0,1,86,1,0,0,0.005648,0,345,0,2246
0,31.4535,5570,0,163,61.719,16,8192,0,1,70,25,0,0,0.005648,0,370,0,2409
0,31.1197,5511,0,0,55.816,16,8192,0,1,63,0,0,0,0.005648,0,370,0,2409
0,30.701,5438,0,0,59.754,16,8192,0,1,90,0,0,0,0.005648,0,370,0,2409
0,31.1609,5518,0,0,60.317,16,8192,0,1,90,0,0,0,0.005648,0,370,0,2409
0,32.3394,5728,0,0,62.436,16,8192,0,1,92,0,0,0,0.005648,0,370,0,2409
0,29.4783,5220,0,0,63.545,16,8192,0,1,88,0,0,0,0.005648,0,370,0,2409
0,28.8346,5106,0,0,62.673,16,8192,0,1,90,0,0,0,0.005648,0,370,0,2409
0,32.852,5818,0,11,67.424,16,8192,0,1,45,2,0,0,0.005648,0,372,0,2420
0,30.4106,5385,0,0,66.344,16,8192,0,1,91,0,0,0,0.005648,0,372,0,2420
0,32.5316,5763,0,79,59.189,16,8192,0,1,30,15,0,0,0.005648,0,387,0,2499
0,31.3034,5543,0,0,59.504,16,8192,0,1,89,0,0,0,0.005648,0,387,0,2499
0,28.4498,5038,0,0,61.622,16,8192,0,1,88,0,0,0,0.005648,0,387,0,2499
0,29.5828,5239,0,0,62.798,16,8192,0,1,91,0,0,0,0.005648,0,387,0,2499
0,33.0276,5849,0,0,65.015,16,8192,0,1,91,0,0,0,0.005648,0,387,0,2499
0,29.202,5171,0,0,66.409,16,8192,0,1,89,0,0,0,0.005648,0,387,0,2499
